ELSI Export,,,,
,,,,
National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/,,,,
,,,,
This is a District based table with the following filters applied: State(s) (All Years): All 50 + DC,,,,
,,,,
Agency Name,State Name [District] Latest available year,Agency Name [District] 2021-22,County Number [District] 2021-22,Agency ID - NCES Assigned [District] Latest available year
BUTTEVILLE UNION ELEMENTARY,California,Butteville Union Elementary,06093,0606690
BUTTONWILLOW UNION ELEMENTARY,California,Buttonwillow Union Elementary,06029,0606720
BUTTS COUNTY,Georgia,Butts County,13035,1300690
BYERS SCHOOL DISTRICT NO. 32J,Colorado,Byers School District No. 32J,08005,0802700
BYNG,Oklahoma,BYNG,40123,4006060
BYNUM ELEM,Montana,Bynum Elem,30099,3005330
BYNUM ISD,Texas,BYNUM ISD,48217,4812360
BYRAM HILLS CENTRAL SCHOOL DISTRICT,New York,BYRAM HILLS CENTRAL SCHOOL DISTRICT,36119,3606060
BYRAM TOWNSHIP SCHOOL DISTRICT,New Jersey,Byram Township School District,34037,3402550
BYRON AREA SCHOOLS,Michigan,Byron Area Schools,26155,2607530
BYRON CENTER CHARTER SCHOOL,Michigan,Byron Center Charter School,26081,2600096
BYRON CENTER PUBLIC SCHOOLS,Michigan,Byron Center Public Schools,26081,2607560
BYRON CUSD 226,Illinois,Byron CUSD 226,17141,1708010
BYRON PUBLIC SCHOOL DISTRICT,Minnesota,BYRON PUBLIC SCHOOL DISTRICT,27109,2707350
BYRON PUBLIC SCHOOLS,MAINE,Byron Public Schools,23017,2314835
BYRON UNION ELEMENTARY,California,Byron Union Elementary,06013,0606750
BYRON-BERGEN CENTRAL SCHOOL DISTRICT,New York,BYRON-BERGEN CENTRAL SCHOOL DISTRICT,36037,3606090
C A BEARD MEMORIAL SCHOOL CORP,Indiana,C A Beard Memorial School Corp,18065,1801060
C.A.S.E. CONCORD AREA SPED COLLABORATIVE,MASSACHUSETTS,C.A.S.E. Concord Area SPED Collaborative,25017,2500580
C.O.O.R. ISD,Michigan,C.O.O.R. ISD,26143,2680920
C.S. LEWIS ACADEMY,Utah,C.S. Lewis Academy,49049,4900074
CA ADVANCING PATHWAYS FOR STUDENTS IN LOS ANGELES CO JPA,CALIFORNIA,CA Advancing Pathways for Students in Los Angeles Co JPA,06037,0601443
CA ADVANCING PATHWAYS FOR STUDENTS IN LOS ANGELES CO ROC/P,CALIFORNIA,CA Advancing Pathways for Students in Los Angeles Co ROC/P,06037,0601440
CA MONTESSORI PROJECT-SHINGLE SPRINGS CAMPUS DIST,CALIFORNIA,CA Montessori Project-Shingle Springs Campus District,06017,0601976
CA SCH FOR THE DEAF-RIVERSIDE (STATE SPECIAL SCHL),California,CA Sch for the Deaf-Riverside (State Special Schl),06065,0600007
CABARRUS COUNTY SCHOOLS,North Carolina,Cabarrus County Schools,37025,3700530
CABELL COUNTY SCHOOLS,West Virginia,CABELL COUNTY SCHOOLS,54011,5400180
CABINET MOUNTAIN COOPERATIVE,Montana,Cabinet Mountain Cooperative,30089,3000074
CABOOL R-IV,Missouri,CABOOL R-IV,29215,2906430
CABOT SCHOOL DISTRICT,Vermont,Cabot School District,50023,5002850
CABOT SCHOOL DISTRICT,Arkansas,CABOT SCHOOL DISTRICT,05085,0503750
CABRILLO POINT ACADEMY DISTRICT,CALIFORNIA,Cabrillo Point Academy District,06073,0602274
CABRILLO UNIFIED,California,Cabrillo Unified,06081,0606780
CACHE,Oklahoma,CACHE,40031,4006120
CACHE DISTRICT,Utah,Cache District,49005,4900120
CADDO,Oklahoma,CADDO,40013,4006150
CADDO HILLS SCHOOL DISTRICT,Arkansas,CADDO HILLS SCHOOL DISTRICT,05097,0503770
CADDO MILLS ISD,Texas,CADDO MILLS ISD,48231,4812390
CADDO PARISH,Louisiana,Caddo Parish,22017,2200300
CADDO-KIOWA TECHNOLOGY CENTER,Oklahoma,CADDO-KIOWA TECHNOLOGY CENTER,40015,4000051
CADILLAC AREA PUBLIC SCHOOLS,Michigan,Cadillac Area Public Schools,26165,2607590
CADOTT COMMUNITY SCHOOL DISTRICT,Wisconsin,Cadott Community School District,55017,5502040
CAESAR RODNEY SCHOOL DISTRICT,Delaware,Caesar Rodney School District,10001,1000180
CAFA INC. DBA LEARNING FOUNDATION AND PERFORMING  (90327),Arizona,CAFA Inc. dba Learning Foundation and Performing  (90327),04013,0400803
CAFA INC. DBA LEARNING FOUNDATION AND PERFORMING  (90328),Arizona,CAFA Inc. dba Learning Foundation and Performing  (90328),04013,0400796
CAFA INC. DBA LEARNING FOUNDATION PERFORMING ARTS (79971),Arizona,CAFA Inc. dba Learning Foundation Performing Arts (79971),04013,0400397
CAHOKIA CUSD 187,Illinois,Cahokia CUSD 187,17163,1708040
CAINSVILLE R-I,Missouri,CAINSVILLE R-I,29081,2906450
CAIRO USD 1,Illinois,Cairo USD 1,17003,1708070
CAIRO-DURHAM CENTRAL SCHOOL DISTRICT,New York,CAIRO-DURHAM CENTRAL SCHOOL DISTRICT,36039,3606160
CAJON VALLEY UNION,California,Cajon Valley Union,06073,0606810
CAL COMM SCHOOL DISTRICT,Iowa,CAL Comm School District,19069,1905970
CALAIS PUBLIC SCHOOLS,Maine,Calais Public Schools,23029,2303870
CALALLEN ISD,Texas,CALALLEN ISD,48355,4812420
CALAMUS-WHEATLAND COMM SCHOOL DISTRICT,Iowa,Calamus-Wheatland Comm School District,19045,1906000
CALAVERAS COUNTY OFFICE OF EDUCATION,California,Calaveras County Office of Education,06009,0691003
CALAVERAS UNIFIED,California,Calaveras Unified,06009,0606870
CALCASIEU PARISH,Louisiana,Calcasieu Parish,22019,2200330
CALDWELL,Kansas,Caldwell,20191,2004380
CALDWELL COUNTY,Kentucky,Caldwell County,21033,2100840
CALDWELL COUNTY SCHOOLS,North Carolina,Caldwell County Schools,37027,3700580
CALDWELL DISTRICT,Idaho,CALDWELL DISTRICT,16027,1600510
CALDWELL EXEMPTED VILLAGE,Ohio,Caldwell Exempted Village,39121,3904525
CALDWELL ISD,Texas,CALDWELL ISD,48051,4812460
CALDWELL PARISH,Louisiana,Caldwell Parish,22021,2200360
CALDWELL-WEST SCHOOL DISTRICT,New Jersey,Caldwell-West School District,34013,3402580
CALEDONIA CENTRAL SUPERVISORY UNION,Vermont,Caledonia Central Supervisory Union,50005,5099909
CALEDONIA COMMUNITY SCHOOLS,Michigan,Caledonia Community Schools,26081,2607620
CALEDONIA COOPERATIVE UNIFIED SCHOOL DISTRICT #78,VERMONT,Caledonia Cooperative Unified School District,50005,5000412
CALEDONIA PUBLIC SCHOOL DISTRICT,Minnesota,CALEDONIA PUBLIC SCHOOL DISTRICT,27055,2707380
CALEDONIA-MUMFORD CENTRAL SCHOOL DISTRICT,New York,CALEDONIA-MUMFORD CENTRAL SCHOOL DISTRICT,36051,3606180
CALERA,Oklahoma,CALERA,40013,4006180
CALEXICO UNIFIED,California,Calexico Unified,06025,0606900
CALHAN DISTRICT NO. RJ1,Colorado,Calhan District No. RJ1,08041,0802730
CALHOUN,Florida,CALHOUN,12013,1200210
CALHOUN 01,South Carolina,Calhoun 01,45017,4501250
CALHOUN CITY,Georgia,Calhoun City,13129,1300720
CALHOUN CO SCHOOL DIST,Mississippi,CALHOUN CO SCHOOL DIST,28013,2800870
CALHOUN COUNTY,Georgia,Calhoun County,13037,1300750
CALHOUN COUNTY,Alabama,Calhoun County,01015,0100540
CALHOUN COUNTY ISD,Texas,CALHOUN COUNTY ISD,48057,4812480
CALHOUN COUNTY SCHOOLS,West Virginia,CALHOUN COUNTY SCHOOLS,54013,5400210
CALHOUN CUSD 40,Illinois,Calhoun CUSD 40,17013,1718180
CALHOUN INTERMEDIATE SCHOOL DISTRICT,Michigan,Calhoun Intermediate School District,26025,2680200
CALHOUN R-VIII,Missouri,CALHOUN R-VIII,29083,2906480
CALHOUN/GREENE/JERSY/MACOUPIN ROE,Illinois,Calhoun/Greene/Jersy/Macoupin ROE,17117,1700169
CALIBER: BETA ACADEMY DISTRICT,CALIFORNIA,Caliber: Beta Academy District,06013,0601726
CALIBER: CHANGEMAKERS ACADEMY DISTRICT,CALIFORNIA,Caliber: ChangeMakers Academy District,06095,0601582
CALIBRE ACADEMY (79055),Arizona,Calibre Academy (79055),04013,0400310
CALICO ROCK SCHOOL DISTRICT,Arkansas,CALICO ROCK SCHOOL DISTRICT,05065,0503840
CALIENTE UNION ELEMENTARY,California,Caliente Union Elementary,06029,0606960
CALIFON BOROUGH SCHOOL DISTRICT,New Jersey,Califon Borough School District,34019,3402610
CALIFORNIA AREA SD,Pennsylvania,California Area SD,42125,4204710
CALIFORNIA CONNECTIONS ACADEMY CENTRAL COAST DISTRICT,CALIFORNIA,California Connections Academy Central Coast District,06083,0602488
CALIFORNIA CONNECTIONS ACADEMY CENTRAL VALLEY DISTRICT,CALIFORNIA,California Connections Academy@Central District,06077,0602411
CALIFORNIA CONNECTIONS ACADEMY MONTEREY BAY DISTRICT,CALIFORNIA,California Connections Academy Monterey Bay District,06087,0602517
CALIFORNIA CONNECTIONS ACADEMY NORTH BAY DISTRICT,CALIFORNIA,California Connections Academy North Bay District,06033,0602127
CALIFORNIA CONNECTIONS ACADEMY NORTHERN CALIFORNIA DISTRICT,CALIFORNIA,California Connections Academy @ Ripon District,06077,0602388
CALIFORNIA CONNECTIONS ACADEMY SOUTHERN CALIFORNIA DISTRICT,CALIFORNIA,California Connections Academy Southern California District,06059,0601851
CALIFORNIA CREATIVE LEARNING ACADEMY DISTRICT,CALIFORNIA,Los Feliz Charter School for the Arts District,06037,0601550
CALIFORNIA CREATIVE LEARNING ACADEMY MS DISTRICT,CALIFORNIA,Los Feliz Charter Middle School for the Arts District,06037,0601735
CALIFORNIA EDUCATION AUTHORITY (CEA) HEADQUARTERS,California,California Education Authority (CEA) Headquarters,06067,0601422
CALIFORNIA HERITAGE YOUTHBUILD ACADEMY II DISTRICT,CALIFORNIA,California Heritage Youthbuild Academy II District,06089,0601531
CALIFORNIA INNOVATIVE CAREER ACADEMY DISTRICT,CALIFORNIA,California Innovative Career Academy District,06067,0602509
CALIFORNIA MONTESSORI PROJECT - CAPITOL CAMPUS DISTRICT,CALIFORNIA,California Montessori Project - Capitol Campus District,06067,0602305
CALIFORNIA MONTESSORI PROJECT - ELK GROVE CAMPUS DISTRICT,CALIFORNIA,California Montessori Project - Elk Grove Campus District,06067,0601776
CALIFORNIA MONTESSORI PROJECT-SAN JUAN CAMPUSES DISTRICT,CALIFORNIA,California Montessori Project-San Juan Campuses District,06067,0601653
CALIFORNIA PACIFIC CHARTER - SAN DIEGO DISTRICT,CALIFORNIA,California Pacific Charter - San Diego District,06059,0602328
CALIFORNIA PACIFIC CHARTER - SONOMA DISTRICT,CALIFORNIA,California Pacific Charter - Sonoma District,06097,0602510
CALIFORNIA PACIFIC CHARTER- LOS ANGELES DISTRICT,CALIFORNIA,California Pacific Charter- Los Angeles District,06059,0602354
CALIFORNIA SCHOOL FOR THE BLIND (STATE SPECIAL SCHL),California,California School for the Blind (State Special Schl),06001,0600002
CALIFORNIA SCHOOL FOR THE DEAF-FREMONT (STATE SPECIAL SCHL),California,California School for the Deaf-Fremont (State Special Schl),06001,0600003
CALIFORNIA SCHOOL OF THE ARTS - SAN GABRIEL VALLEY DISTRICT,CALIFORNIA,California School of the Arts - San Gabriel Valley District,06037,0601914
CALIFORNIA VIRTUAL ACADEMY @ LOS ANGELES DISTRICT,CALIFORNIA,California Virtual Academy @ Los Angeles District,06111,0601716
CALIFORNIA VIRTUAL ACADEMY @ SAN DIEGO DISTRICT,CALIFORNIA,California Virtual Academy @ San Diego District,06111,0601805
CALIFORNIA VIRTUAL ACADEMY @ SAN JOAQUIN DISTRICT,CALIFORNIA,California Virtual Academy @ San Joaquin District,06111,0601990
CALIFORNIA VIRTUAL ACADEMY @ SONOMA DISTRICT,CALIFORNIA,California Virtual Academy @ Sonoma District,06111,0602316
CALIFORNIA VIRTUAL ACADEMY AT FRESNO DISTRICT,CALIFORNIA,California Virtual Academy at Fresno District,06111,0601616
CALIFORNIA VIRTUAL ACADEMY AT KINGS DISTRICT,CALIFORNIA,California Virtual Academy at Kings District,06111,0601884
CALIFORNIA VIRTUAL ACADEMY AT MARICOPA DISTRICT,CALIFORNIA,California Virtual Academy at Maricopa District,06111,0602451
CALIFORNIA VIRTUAL ACADEMY AT SUTTER DISTRICT,CALIFORNIA,California Virtual Academy at Sutter District,06111,0601810
CALIFORNIA VIRTUAL ACADEMY SAN MATEO DISTRICT,CALIFORNIA,California Virtual Academy San Mateo District,06111,0601802
CALIPATRIA UNIFIED,California,Calipatria Unified,06025,0606990
CALISTOGA JOINT UNIFIED,California,Calistoga Joint Unified,06055,0607020
CALLAO C-8,Missouri,CALLAO C-8,29121,2906540
CALLAWAY PUBLIC SCHOOLS,Nebraska,CALLAWAY PUBLIC SCHOOLS,31041,3100012
CALLIOPE ACADEMY DISTRICT,CALIFORNIA,Calliope Academy District,06037,0602572
CALLISBURG ISD,Texas,CALLISBURG ISD,48097,4812510
CALLOWAY COUNTY,Kentucky,Calloway County,21035,2100870
CALUMET,Oklahoma,CALUMET,40017,4006240
CALUMET CITY SD 155,Illinois,Calumet City SD 155,17031,1741520
CALUMET COUNTY CDEB,Wisconsin,Calumet Co CDEB,55015,5500049
CALUMET PUBLIC SD 132,Illinois,Calumet Public SD 132,17031,1708130
CALVERT COUNTY PUBLIC SCHOOLS,Maryland,Calvert County Public Schools,24009,2400150
CALVERT ISD,Texas,CALVERT ISD,48395,4812540
CALVIN,Oklahoma,CALVIN,40063,4006270
CALVIN NELMS CHARTER SCHOOLS,Texas,CALVIN NELMS CHARTER SCHOOLS,48201,4800124
CAM COMM SCHOOL DISTRICT,Iowa,CAM Comm School District,19029,1905940
CAMANCHE COMM SCHOOL DISTRICT,Iowa,Camanche Comm School District,19045,1906060
CAMARILLO ACADEMY OF PROGRESSIVE EDUCATION DISTRICT,CALIFORNIA,Camarillo Academy of Progressive Education District,06111,0602022
CAMAS COUNTY DISTRICT,Idaho,CAMAS COUNTY DISTRICT,16025,1600540
CAMAS SCHOOL DISTRICT,Washington,Camas School District,53011,5300810
CAMAS VALLEY SD 21J,Oregon,Camas Valley SD 21J,41019,4102610
CAMBRIA HEIGHTS SD,Pennsylvania,Cambria Heights SD,42021,4204740
CAMBRIA-FRIESLAND SCHOOL DISTRICT,Wisconsin,Cambria-Friesland School District,55021,5502070
CAMBRIAN,California,Cambrian,06085,0607140
CAMBRIDGE,Massachusetts,Cambridge,25017,2503270
CAMBRIDGE ACADEMY  EAST  INC (78888),Arizona,Cambridge Academy  East  Inc (78888),04013,0400182
CAMBRIDGE CENTRAL SCHOOL DISTRICT,New York,CAMBRIDGE CENTRAL SCHOOL DISTRICT,36115,3606210
CAMBRIDGE CITY,Ohio,Cambridge City,39059,3904369
CAMBRIDGE CUSD 227,Illinois,Cambridge CUSD 227,17073,1708160
CAMBRIDGE JOINT DISTRICT,Idaho,CAMBRIDGE JOINT DISTRICT,16087,1600570
CAMBRIDGE PUBLIC SCHOOLS,Nebraska,CAMBRIDGE PUBLIC SCHOOLS,31065,3100015
CAMBRIDGE SCHOOL DISTRICT,Wisconsin,Cambridge School District,55055,5502100
CAMBRIDGE SCHOOL DISTRICT,Vermont,Cambridge School District,50015,5002910
CAMBRIDGE-ISANTI PUBLIC SCHOOL DIST,Minnesota,CAMBRIDGE-ISANTI PUBLIC SCHOOL DIST,27059,2707410
CAMDEN CENTRAL SCHOOL DISTRICT,New York,CAMDEN CENTRAL SCHOOL DISTRICT,36065,3606240
CAMDEN CITY SCHOOL DISTRICT,New Jersey,Camden City School District,34007,3402640
CAMDEN CO JDC,NEW JERSEY,CAMDEN CO JDC,34007,3400802
CAMDEN COUNTY,Georgia,Camden County,13039,1300780
CAMDEN COUNTY EDUCATIONAL SERVICES COMMISSION,New Jersey,Camden County Educational Services Commission,34007,3480340
CAMDEN COUNTY SCHOOLS,North Carolina,Camden County Schools,37029,3700600
CAMDEN COUNTY TECHNICAL SCHOOL DISTRICT,New Jersey,Camden County Technical School District,34007,3402670
CAMDEN FAIRVIEW SCHOOL DISTRICT,Arkansas,CAMDEN FAIRVIEW SCHOOL DISTRICT,05103,0506060
CAMDEN PREP INC.,NEW JERSEY,Camden Prep Inc.,34007,3400776
CAMDEN'S PROMISE CHARTER SCHOOL,NEW JERSEY,Camden's Promise Charter School,34007,3400785
CAMDEN-FRONTIER SCHOOL,Michigan,Camden-Frontier School,26059,2607710
CAMDENTON R-III,Missouri,CAMDENTON R-III,29029,2906990
CAMELBACK EDUCATION INC (79905),Arizona,Camelback Education Inc (79905),04013,0400390
CAMERON,Oklahoma,CAMERON,40079,4006330
CAMERON COUNTY SD,Pennsylvania,Cameron County SD,42023,4204830
CAMERON ISD,Texas,CAMERON ISD,48331,4812640
CAMERON PARISH,Louisiana,Cameron Parish,22023,2200390
CAMERON R-I,Missouri,CAMERON R-I,29049,2907020
CAMERON SCHOOL DISTRICT,Wisconsin,Cameron School District,55005,5502130
CAMINO NUEVO CHARTER ACADEMY #2 DISTRICT,CALIFORNIA,Camino Nuevo Charter Academy #2 District,06037,0601741
CAMINO NUEVO CHARTER ACADEMY #4 DISTRICT,CALIFORNIA,Camino Nuevo Charter Academy #4 District,06037,0601837
CAMINO NUEVO CHARTER ACADEMY DISTRICT,CALIFORNIA,Camino Nuevo Charter Academy District,06037,0602237
CAMINO NUEVO ELEMENTARY #3 DISTRICT,CALIFORNIA,Camino Nuevo Elementary School #3 District,06037,0602077
CAMINO NUEVO HIGH #2 DISTRICT,CALIFORNIA,Camino Nuevo High #2 District,06037,0602000
CAMINO POLYTECHNIC DISTRICT,CALIFORNIA,Camino Polytechnic District,06017,0601983
CAMINO UNION ELEMENTARY,California,Camino Union Elementary,06017,0607170
CAMP HILL SD,Pennsylvania,Camp Hill SD,42041,4204860
CAMP LEJEUNE,NORTH CAROLINA,Camp Lejeune,37133,3700383
CAMP VERDE UNIFIED DISTRICT (4470),Arizona,Camp Verde Unified District (4470),04025,0401600
CAMP VERDE UNIFIED SCHOOL DISTRICT DBA SOUTH VERDE (90136),Arizona,Camp Verde Unified School District dba South Verde (90136),04025,0400813
CAMPBELL CITY,Ohio,Campbell City,39099,3904370
CAMPBELL COUNTY,Tennessee,Campbell County,47013,4700420
CAMPBELL COUNTY,Kentucky,Campbell County,21037,2100900
CAMPBELL COUNTY PUBLIC SCHOOLS,Virginia,CAMPBELL CO PBLC SCHS,51031,5100600
CAMPBELL COUNTY SCHOOL DISTRICT #1,Wyoming,Campbell County School District #1,56005,5601470
CAMPBELL ISD,Texas,CAMPBELL ISD,48231,4812660
CAMPBELL R-II,Missouri,CAMPBELL R-II,29069,2907050
CAMPBELL UNION,California,Campbell Union,06085,0607200
CAMPBELL UNION HIGH,California,Campbell Union High,06085,0607230
CAMPBELL-SAVONA CENTRAL SCHOOL DISTRICT,New York,CAMPBELL-SAVONA CENTRAL SCHOOL DISTRICT,36101,3600020
CAMPBELL-TINTAH PUBLIC SCHOOLS,Minnesota,Campbell-Tintah Public Schools,27167,2707450
CAMPBELLSPORT SCHOOL DISTRICT,Wisconsin,Campbellsport School District,55039,5502160
CAMPBELLSVILLE INDEPENDENT,Kentucky,Campbellsville Independent,21217,2100930
CAMPO SCHOOL DISTRICT NO. RE-6,Colorado,Campo School District No. Re-6,08009,0802760
CAMPTON SCHOOL DISTRICT,New Hampshire,Campton School District,33009,3302100
CAMPTONVILLE ELEMENTARY,California,Camptonville Elementary,06115,0607260
CAMPUS COMMUNITY SCHOOL,Delaware,Campus Community School,10001,1000007
CANAAN COMMUNITY ACADEMY,Indiana,Canaan Community Academy,18077,1800129
CANAAN SCHOOL DISTRICT,Connecticut,Canaan School District,09005,0900630
CANAAN SCHOOL DISTRICT,Vermont,Canaan School District,50009,5002940
CANADIAN,Oklahoma,CANADIAN,40121,4006390
CANADIAN ISD,Texas,CANADIAN ISD,48211,4812700
CANADIAN VALLEY,Oklahoma,CANADIAN VALLEY,40017,4000052
CANADIAN VALLEY,Oklahoma,CANADIAN VALLEY,40051,4000062
CANAJOHARIE CENTRAL SCHOOL DISTRICT,New York,CANAJOHARIE CENTRAL SCHOOL DISTRICT,36057,3606300
CANAL WINCHESTER LOCAL,Ohio,Canal Winchester Local,39049,3904694
CANANDAIGUA CITY SCHOOL DISTRICT,New York,CANANDAIGUA CITY SCHOOL DISTRICT,36069,3606330
CANARSIE ASCEND CHARTER SCHOOL,New York,CANARSIE ASCEND CHARTER SCHOOL,36047,3601102
CANASERAGA CENTRAL SCHOOL DISTRICT,New York,CANASERAGA CENTRAL SCHOOL DISTRICT,36003,3606360
CANASTOTA CENTRAL SCHOOL DISTRICT,New York,CANASTOTA CENTRAL SCHOOL DISTRICT,36053,3606390
CANBY PUBLIC SCHOOL DISTRICT,Minnesota,CANBY PUBLIC SCHOOL DISTRICT,27173,2707470
CANBY SD 86,Oregon,Canby SD 86,41005,4102640
CANDEO SCHOOLS INC. (1001161),ARIZONA,Candeo Schools Inc. (1001161),04013,0401004
CANDEO SCHOOLS INC. (89758),Arizona,Candeo Schools Inc. (89758),04013,0400758
CANDIA SCHOOL DISTRICT,New Hampshire,Candia School District,33013,3302130
CANDLER COUNTY,Georgia,Candler County,13043,1300810
CANDOR CENTRAL SCHOOL DISTRICT,New York,CANDOR CENTRAL SCHOOL DISTRICT,36107,3606420
CANEY,Oklahoma,CANEY,40005,4006420
CANEY VALLEY,Kansas,Caney Valley,20125,2004410
CANEY VALLEY,Oklahoma,CANEY VALLEY,40147,4025470
CANFIELD LOCAL,Ohio,Canfield Local,39099,3904831
CANIFF LIBERTY ACADEMY,Michigan,Caniff Liberty Academy,26163,2601016
CANISTEO-GREENWOOD CSD,New York,CANISTEO-GREENWOOD CSD,36101,3600124
CANISTOTA SCHOOL DISTRICT 43-1,South Dakota,Canistota School District 43-1,46087,4610320
CANNELTON CITY SCHOOLS,Indiana,Cannelton City Schools,18123,1801170
CANNON COUNTY,Tennessee,Cannon County,47015,4700450
CANNON FALLS PUBLIC SCHOOL DISTRICT,Minnesota,CANNON FALLS PUBLIC SCHOOL DISTRICT,27049,2707500
CANNON RIVER STEM SCHOOL,Minnesota,CANNON RIVER STEM SCHOOL,27131,2700324
CANNON VALLEY SPECIAL EDUCATION COO,MINNESOTA,Cannon Valley Special Education Coo,27131,2700424
CANON ELEMENTARY DISTRICT (4484),Arizona,Canon Elementary District (4484),04025,0401650
CANON-MCMILLAN SD,Pennsylvania,Canon-McMillan SD,42125,4204890
CANTERBURY SCHOOL DISTRICT,Connecticut,Canterbury School District,09015,0900660
CANTON,Oklahoma,CANTON,40011,4006480
CANTON,Massachusetts,Canton,25021,2503300
CANTON AREA SD,Pennsylvania,Canton Area SD,42015,4204920
CANTON CENTRAL SCHOOL DISTRICT,New York,CANTON CENTRAL SCHOOL DISTRICT,36089,3606470
CANTON CHARTER ACADEMY,Michigan,Canton Charter Academy,26163,2600263
CANTON CITY,Ohio,Canton City,39151,3904371
CANTON COLLEGE PREPARATORY SCHOOL,Ohio,Canton College Preparatory School,39151,3901470
CANTON HARBOR HIGH SCHOOL,Ohio,Canton Harbor High School,39151,3900285
CANTON ISD,Texas,CANTON ISD,48467,4812750
CANTON LOCAL,Ohio,Canton Local,39151,3904983
CANTON PREPARATORY HIGH SCHOOL,MICHIGAN,Canton Preparatory High School,26163,2601080
CANTON PUBLIC SCHOOL DIST,Mississippi,CANTON PUBLIC SCHOOL DIST,28089,2800900
CANTON R-V,Missouri,CANTON R-V,29111,2907080
CANTON SCHOOL DISTRICT,Connecticut,Canton School District,09003,0900690
CANTON SCHOOL DISTRICT 41-1,South Dakota,Canton School District 41-1,46083,4610560
CANTON UNION SD 66,Illinois,Canton Union SD 66,17057,1708280
CANTON-GALVA,Kansas,Canton-Galva,20113,2004440
CANUTE,Oklahoma,CANUTE,40149,4006510
CANUTILLO ISD,Texas,CANUTILLO ISD,48141,4812780
CANYON CREEK ELEM,Montana,Canyon Creek Elem,30111,3005460
CANYON ELEMENTARY,California,Canyon Elementary,06013,0607350
CANYON GROVE ACADEMY,Utah,Canyon Grove Academy,49049,4900143
CANYON ISD,Texas,CANYON ISD,48381,4812810
CANYON RIM ACADEMY,Utah,Canyon Rim Academy,49035,4900071
CANYON ROSE ACADEMY INC. (81029),Arizona,Canyon Rose Academy Inc. (81029),04019,0400633
CANYON-OWYHEE SCHOOL SERVICE AGENCY (COSSA),Idaho,CANYON-OWYHEE SCHOOL SERVICE AGENCY (COSSA),16027,1600152
CANYONS DISTRICT,Utah,Canyons District,49035,4900142
CAPAC COMMUNITY SCHOOLS,Michigan,Capac Community Schools,26147,2607800
CAPAY JOINT UNION ELEMENTARY,California,Capay Joint Union Elementary,06103,0607410
CAPE COD COLLABORATIVE,MASSACHUSETTS,Cape Cod Collaborative,25001,2500563
CAPE COD LIGHTHOUSE CHARTER (DISTRICT),Massachusetts,Cape Cod Lighthouse Charter (District),25001,2500024
CAPE COD REGIONAL VOCATIONAL TECHNICAL,Massachusetts,Cape Cod Regional Vocational Technical,25001,2503310
CAPE ELIZABETH PUBLIC SCHOOLS,Maine,Cape Elizabeth Public Schools,23005,2303930
CAPE FEAR CENTER FOR INQUIRY,North Carolina,Cape Fear Center for Inquiry,37129,3700108
CAPE FLATTERY SCHOOL DISTRICT,Washington,Cape Flattery School District,53009,5300840
CAPE GIRARDEAU 63,Missouri,CAPE GIRARDEAU 63,29031,2907120
CAPE HENLOPEN SCHOOL DISTRICT,Delaware,Cape Henlopen School District,10005,1000170
CAPE MAY CITY SCHOOL DISTRICT,New Jersey,Cape May City School District,34009,3402700
CAPE MAY COUNTY SPECIAL SERVICES SCHOOL DISTRICT,New Jersey,Cape May County Special Services School District,34009,3402740
CAPE MAY COUNTY TECHNICAL HIGH SCHOOL DISTRICT,New Jersey,Cape May County Technical High School District,34009,3402730
CAPE MAY POINT SCHOOL DISTRICT,New Jersey,Cape May Point School District,34009,3402760
CAPISTRANO UNIFIED,California,Capistrano Unified,06059,0607440
CAPITAL AREA IU 15,Pennsylvania,Capital Area IU 15,42041,4289250
CAPITAL AREA SCHOOL FOR THE ARTS CS,Pennsylvania,Capital Area School for the Arts CS,42043,4200876
CAPITAL CITY CAREER PREP HIGH SCHOOL,Ohio,Capital City Career Prep High School,39049,3900381
CAPITAL CITY PCS,District of Columbia,Capital City PCS,11001,1100035
CAPITAL COLLEGIATE PREPARATORY ACADEMY,OHIO,Capital Collegiate Preparatory Academy,39049,3901610
CAPITAL HIGH SCHOOL,Ohio,Capital High School,39049,3901416
CAPITAL PREPARATORY (CP) HARLEM CHARTER SCHOOL,NEW YORK,CAPITAL PREPARATORY (CP) HARLEM CHARTER SCHOOL,36061,3601144
CAPITAL PREPARATORY BRONX CHARTER SCHOOL,NEW YORK,CAPITAL PREPARATORY BRONX CHARTER SCHOOL,36005,3601223
CAPITAL PREPARATORY HARBOR SCHOOL DISTRICT,CONNECTICUT,Capital Preparatory Harbor School District,09001,0900221
CAPITAL REGION ESD 113,Washington,Capital Region ESD 113,53067,5300011
CAPITAL SCHOOL DISTRICT,Delaware,Capital School District,10001,1000190
CAPITAL VILLAGE PCS,DISTRICT OF COLUMBIA,Capital Village PCS,11001,1100112
CAPITAN,New Mexico,CAPITAN MUNICIPAL SCHOOLS,35027,3500270
CAPITOL COLLEGIATE ACADEMY DISTRICT,CALIFORNIA,Capitol Collegiate Academy District,06067,0602447
CAPITOL REGION EDUCATION COUNCIL,Connecticut,Capitol Region Education Council,09003,0900700
CAPS EDUCATION COLLABORATIVE,MASSACHUSETTS,CAPS Education Collaborative,25027,2500570
CAPSTONE ACADEMY CHARTER SCHOOL (SDA),Michigan,Capstone Academy Charter School (SDA),26163,2601013
