fips,stateabb,sedafips,sedafipsname,subject,grade,year,cs_mn_all,cs_mn_se_all,tot_asmt_all,cs_mn_asn,cs_mn_se_asn,tot_asmt_asn,cs_mn_blk,cs_mn_se_blk,tot_asmt_blk,cs_mn_ecd,cs_mn_se_ecd,tot_asmt_ecd,cs_mn_fem,cs_mn_se_fem,tot_asmt_fem,cs_mn_hsp,cs_mn_se_hsp,tot_asmt_hsp,cs_mn_mal,cs_mn_se_mal,tot_asmt_mal,cs_mn_mfg,cs_mn_se_mfg,tot_asmt_mfg,cs_mn_nam,cs_mn_se_nam,tot_asmt_nam,cs_mn_nec,cs_mn_se_nec,tot_asmt_nec,cs_mn_neg,cs_mn_se_neg,tot_asmt_neg,cs_mn_wag,cs_mn_se_wag,tot_asmt_wag,cs_mn_wbg,cs_mn_se_wbg,tot_asmt_wbg,cs_mn_whg,cs_mn_se_whg,tot_asmt_whg,cs_mn_wht,cs_mn_se_wht,tot_asmt_wht,cs_mn_wng,cs_mn_se_wng,tot_asmt_wng
18,IN,18,Indiana,mth,8,2010,.0915459550084887,.0176629108554689,78456,.6664260607161823,.0444822222563644,1157,-.5159208750144086,.0218237127000578,9033,-.2411739373331494,.0185607928399602,33110,.0887022836571004,.0179944641555411,38429,-.1860460660681732,.0217601053439202,5487,.0939952981133842,.0180514757463159,40027,.0051711463202523,.0254883670599985,78456,.0077457204295319,.0666611864953532,238,.3357584820499261,.0181418912774084,45346,.5766369099728079,.0259544588123004,78456,-.4607976924495367,.0479168182920111,60652,.7243469243806154,.0281671582788064,68528,.3940084845416607,.0281183079286701,64982,.2080815535056432,.0178068693410619,59495,.1991545584185404,.0690081641288015,59733
18,IN,18,Indiana,rla,8,2010,.0085223829017009,.0194056676390137,78068,.3640972824222904,.0423104933313399,1110,-.527311083086942,.0240325067986062,8995,-.3335135130257954,.020632652428519,32932,.1889395132833828,.0199624256070482,38301,-.2981527433344878,.0242246310526687,5434,-.1668639483438706,.0199827176075978,39767,-.3555249129185458,.0282454920904622,78068,-.1403016932787374,.0741281286705391,237,.2564323959700116,.0200101105552689,45136,.5899454104603504,.0287422016918828,78068,-.2481125586454671,.0466256936185285,60366,.6449531707995393,.0310005799771783,68251,.4165742990185458,.0311502048468955,64690,.1179751710753341,.0195815836509058,59256,.2476749792127223,.0766813599944217,59493
18,IN,18,Indiana,mth,8,2011,.0784228991665412,.0260906515839649,76928,.6138182223469345,.0478071175727161,1179,-.5297595939894537,.030283925375614,8847,-.2418510031490557,.027014160799196,33766,.0669614440400315,.026328812699398,38134,-.2010014236188036,.0292160768119684,5815,.0902319172076552,.0263510902964101,38794,.0227021920371304,.0372503241295065,76928,-.1058914826113661,.0617564399768934,264,.3291037181888544,.0266626636262207,43162,.5709793327014667,.0379561206985784,76928,-.4188845382936708,.0545415685647556,58960,.7249492166108698,.0400733321310165,66628,.3977550674122765,.0392730893524752,63596,.1952557715553667,.0262429016199357,57781,.3055830248578327,.0671203914186574,58045
18,IN,18,Indiana,rla,8,2011,.0130385177097683,.0269088938997196,76868,.2574009082386495,.0470226534661389,1131,-.5427884071187904,.0319831332413746,8844,-.3206156341034141,.0282791130748676,33727,.1490540740133101,.0273598671019839,38116,-.317189171615368,.0308211160577596,5803,-.1221179950097896,.0273654663531887,38752,-.2713750849608829,.0386966587577126,76868,-.1993537241751012,.0666148199178149,263,.2690494186556663,.0276928530601974,43141,.5895869195961408,.0395803904565508,76868,-.1265035135675701,.0542877469656711,58917,.6715058749853547,.0419330794194974,66630,.4456554626299732,.0410541972241918,63589,.1293742620788202,.0271181103915897,57786,.3271601785410866,.0719424227727639,58049
18,IN,18,Indiana,mth,8,2012,.110524396053908,.0201411474870493,77199,.694916528437259,.0473244629457306,1299,-.4958464387042522,.0242069848032872,9030,-.2098679653526421,.0209596905301245,35235,.1230085566276029,.0204886904174056,38106,-.1625347035353306,.0235008597509648,6126,.0986505770373752,.0204902088422358,39093,-.0243616196698647,.0289764623718954,77199,.0372058249553173,.0717999640661785,223,.3798822989789499,.0207087443945302,41964,.5897545953791754,.0294646003395243,77199,-.4630979023642182,.0514965074309897,58698,.7267941758292727,.0315910116572412,66429,.3938222361327995,.0310535978872943,63525,.2314022621949596,.020297178575429,57399,.1954349426437238,.07462608513907,57622
18,IN,18,Indiana,rla,8,2012,.0486328022571485,.0210923344145556,76889,.3776406032721592,.0412949987833608,1255,-.459916707069905,.0252695623184278,8994,-.2573870332014957,.0219987371870629,35066,.1998212183201167,.0215422763409893,38000,-.2419062134690725,.0249077403878273,6065,-.1006223749630356,.021577264680393,38889,-.3004902890649791,.03049013448834,76889,-.1137280914513486,.0677375560190555,220,.3025344835715745,.0216584648621562,41823,.5603303701643333,.0308712762815457,76889,-.2214189212636067,.0464478872880792,58504,.6152769623114067,.0330207551855668,66243,.3963424798384042,.0327450650329926,63314,.1547429967061588,.0212550500618349,57249,.2634277578077899,.0710084613788439,57469
18,IN,18,Indiana,mth,8,2013,.1452589787029834,.0302316196569633,77310,.7777587423671442,.0551736880191759,1354,-.4730564948662751,.0344315843901906,9023,-.1705327074242802,.0311497935158601,35366,.1408499768753848,.0304691738921395,37973,-.0863401159617523,.0328511708611915,6723,.1497399136300418,.0305050988976397,39337,.0095840413256376,.0431153391051005,77310,-.0054621835362837,.0782626973986017,203,.4114554658723118,.0308633641061754,41944,.5820865727486515,.0438504401801417,77310,-.5161784606004576,.0629963331417148,58200,.7403504846437685,.0459277277748367,65869,.3537395834376697,.0447555206339854,63569,.2683072759162692,.0303930263017268,56846,.2655964011525966,.0839840791460119,57049
18,IN,18,Indiana,rla,8,2013,.083927849195881,.0320169444210725,77185,.4403721576758011,.0486488912817293,1335,-.406464454432598,.0351001066560209,8994,-.2177331351605108,.0328131566924786,35313,.2313228144271723,.0323677692348784,37948,-.1691836128168367,.0345529349964255,6688,-.0595680109560273,.0323795396503342,39237,-.2907983330797874,.045783271844966,77185,.0061722740278126,.0832295400550099,205,.3370541204399344,.0325430971080512,41872,.5545274981626165,.0462142956160312,77185,-.2483853835092968,.0583215029148568,58152,.5960603421315865,.0476029507154408,65811,.3598133492792293,.0472013599933826,63505,.1899423150307443,.0321547301069231,56817,.1828327591430677,.0892530919088075,57022
18,IN,18,Indiana,mth,8,2014,.1394921394485729,.0218217409827624,78517,.6992841167884393,.0441015573820151,1503,-.4955612240870512,.0263469866871737,9295,-.184079440559433,.0227245629602922,36533,.1452025106021139,.0221493423205885,38334,-.1523271626819149,.0251449152254051,7121,.134066804027502,.0221849726636837,40183,-.0111601741805611,.0313491143112391,78517,-.0827923740747951,.0794961570357638,214,.4209013697847719,.0224967742739709,41984,.6049429505996593,.0319767480070139,78517,-.4286888289252387,.0492891365456883,58581,.7657919205280217,.0343273249503717,66373,.4234464852841889,.0334138323949473,64199,.2704902784335788,.0220035889015741,57078,.351160026332704,.0824988087748172,57292
18,IN,18,Indiana,rla,8,2014,.1028770485944135,.0219919245111178,78209,.413360330708605,.0390476753643356,1451,-.4428927807440908,.0264808420852349,9248,-.1941194327666301,.0229056467470694,36344,.2588609041928985,.0224797964137289,38222,-.1590776142774281,.0254873475130909,7046,-.0470504256006014,.0224807548183099,39987,-.305884966161298,.0317919198480059,78209,-.0814986540180996,.081680317392356,213,.3595711681294476,.0226244329656415,41865,.5536986033685026,.03219527103829,78209,-.1922715985049785,.0449131303378881,58409,.6625556291041067,.0345458726205265,66206,.3779347110397372,.0337905879260186,64004,.2199225429263379,.0221841777338772,56958,.3185810850777072,.0846529180115774,57171
18,IN,18,Indiana,mth,8,2015,.145837702073996,.0310135848978174,80033,.7569932681115654,.0474716782740958,1550,-.4590643312619735,.0382568433296522,9506,-.1816672554891686,.0323610793280399,37360,.1862595346111388,.0312446073282221,39187,-.1440375538391236,.0344339529680096,8110,.104188944931789,.0313428227804065,40846,-.0821672167739533,.0442560622414802,80033,.0157077906477388,.0866521635950243,185,.4417927691696963,.0319563937144526,42673,.6237116523172082,.0454802589892921,80033,-.4731360015083108,.0568366965489705,58827,.7403520296797254,.0493954317213419,66783,.4260170375141273,.0464977140152013,65387,.2812507722644551,.0312447909173494,57277,.2670061393518952,.092141746057699,57462
