"","statecode","countycode","v153_rawvalue","v153_cihigh","v153_cilow","v153_numerator","v153_denominator"
"1","00","000",0.650221008133132,0.653340319734359,0.647101696531905,82892037,127482865
"2","01","000",0.699333961368236,0.703602330649851,0.695065592086621,1377062,1969105
"3","01","001",0.749100919060516,0.778211079490679,0.719990758630353,16872,22523
"4","01","003",0.775353437163204,0.789638597177689,0.76106827714872,73381,94642
"5","01","005",0.67488986784141,0.710877618685362,0.638902116997458,6128,9080
"6","01","007",0.771760665698058,0.813285820325972,0.730235511070145,5843,7571
"7","01","009",0.795058470218865,0.818826006355418,0.771290934082312,17473,21977
"8","01","011",0.635099913119027,0.689737942606611,0.580461883631443,2193,3453
"9","01","013",0.684109060864776,0.709163741182184,0.659054380547367,4968,7262
"10","01","015",0.70386703601108,0.720861482754996,0.686872589267165,31762,45125
"11","01","017",0.70988896341009,0.744983265463465,0.674794661356715,9526,13419
"12","01","019",0.794502243008495,0.825961390669302,0.763043095347688,8324,10477
"13","01","021",0.76831491397972,0.800793204367135,0.735836623592305,13487,17554
"14","01","023",0.822187862388867,0.855584352023894,0.788791372753841,4254,5174
"15","01","025",0.709181258873639,0.742380155594439,0.675982362152839,5994,8452
"16","01","027",0.77692974848222,0.806568986977103,0.747290509987337,4479,5765
"17","01","029",0.800478714310139,0.835135812876409,0.765821615743868,4682,5849
"18","01","031",0.692329817833173,0.715270123092992,0.669389512573355,14442,20860
"19","01","033",0.708015030763513,0.736006986024568,0.680023075502459,17146,24217
"20","01","035",0.749337455830389,0.803498027846571,0.695176883814207,3393,4528
"21","01","037",0.813139728636039,0.851319887853794,0.774959569418284,3416,4201
"22","01","039",0.757157640565712,0.779754158046653,0.734561123084772,10975,14495
"23","01","041",0.742068965517241,0.77349002452763,0.710647906506853,3766,5075
"24","01","043",0.763570043134644,0.78275492980044,0.744385156468847,26376,34543
"25","01","045",0.613435176286105,0.637836126243878,0.589034226328332,12127,19769
"26","01","047",0.610145303580695,0.645666756564478,0.574623850596913,9406,15416
"27","01","049",0.767594234178679,0.784616804403444,0.750571663953914,19916,25946
"28","01","051",0.768637216022626,0.788692839384625,0.748581592660627,25003,32529
"29","01","053",0.686878960957672,0.723757832456329,0.650000089459014,8779,12781
"30","01","055",0.737512768130746,0.755869419839942,0.719156116421549,28881,39160
"31","01","057",0.781854238968765,0.815683184767912,0.748025293169619,4731,6051
"32","01","059",0.717588199775727,0.745385378425183,0.689791021126271,8319,11593
"33","01","061",0.782748815165877,0.810035636834165,0.755461993497589,8258,10550
"34","01","063",0.697398748765229,0.750017720634127,0.64477977689633,2118,3037
"35","01","065",0.7700776033207,0.812417738218497,0.727737468422903,4267,5541
"36","01","067",0.808946738479952,0.853846404687869,0.764047072272035,5407,6684
"37","01","069",0.639158310044386,0.651550292317265,0.626766327771507,27216,42581
"38","01","071",0.750401208345134,0.770726869351648,0.730075547338619,15898,21186
"39","01","073",0.637173637374447,0.645168173886615,0.629179100862279,171343,268911
"40","01","075",0.740324844595949,0.772952862887244,0.707696826304655,3692,4987
"41","01","077",0.678340253242902,0.69943999313029,0.657240513355513,26304,38777
"42","01","079",0.814149866869532,0.840799654917353,0.787500078821711,10702,13145
"43","01","081",0.65729129871659,0.671653935565477,0.642928661867703,44659,67944
"44","01","083",0.774968141725594,0.802305848676439,0.747630434774749,31015,40021
"45","01","085",0.773131458783946,0.813092170896364,0.733170746671529,3217,4161
"46","01","087",0.648021255768424,0.680159408146186,0.615883103390662,4634,7151
"47","01","089",0.687768128073663,0.697852717697812,0.677683538449515,111741,162469
"48","01","091",0.690479317137229,0.729587901571139,0.651370732703319,5258,7615
"49","01","093",0.752253080743057,0.78612675777481,0.718379403711304,8180,10874
"50","01","095",0.754775741734561,0.773509404514947,0.736042078954174,27144,35963
"51","01","097",0.648744291526226,0.657577011294567,0.639911571757885,104128,160507
"52","01","099",0.702136289886425,0.748434703253115,0.655837876519735,5193,7396
"53","01","101",0.577044665969048,0.58999891917256,0.564090412765536,52387,90785
"54","01","103",0.725057433541188,0.741982253242922,0.708132613839454,35348,48752
"55","01","105",0.693270735524257,0.765410166088813,0.6211313049597,2215,3195
"56","01","107",0.754391016412324,0.788292547059488,0.72048948576516,5240,6946
"57","01","109",0.628718762395875,0.652340945189349,0.6050965796024,7925,12605
"58","01","111",0.787005587816369,0.813240396153408,0.76077077947933,7183,9127
"59","01","113",0.605533131516986,0.632261906844887,0.578804356189085,14402,23784
"60","01","115",0.82472372886272,0.841758843571823,0.807688614153617,28434,34477
"61","01","117",0.812595124920973,0.822434015559807,0.802756234282139,69407,85414
"62","01","119",0.696117523609654,0.754317298195081,0.637917749024227,3317,4765
"63","01","121",0.725622548572471,0.749058170895624,0.702186926249318,23865,32889
"64","01","123",0.756043026347595,0.782104658788803,0.729981393906386,12511,16548
"65","01","125",0.621578893102224,0.634493124374244,0.608664661830203,54257,87289
"66","01","127",0.774986917844061,0.790627456036301,0.759346379651821,19253,24843
"67","01","129",0.858929200422684,0.903321410725038,0.81453699012033,4877,5678
"68","01","131",0.779041429731925,0.813556959881925,0.744525899581925,2877,3693
"69","01","133",0.766295025728988,0.795094477203699,0.737495574254277,7148,9328
"70","02","000",0.665891400518918,0.674454495424504,0.657328305613332,178369,267865
"71","02","013",0.570140280561122,0.627268175960904,0.51301238516134,569,998
"72","02","016",0.294779938587513,0.377556735285064,0.212003141889961,288,977
"73","02","020",0.637362331738792,0.675131416053519,0.599593247424065,68751,107868
"74","02","050",0.605020381892298,0.63265302497237,0.577387738812226,2820,4661
