"","statecode","countycode","b_tractsum","w_tractsum","tot_tractsum","bdiff","wdiff"
"159","01","019",907,23117,24941,0,0
"160","01","019",907,23117,24941,0,0
"161","01","019",907,23117,24941,0,0
"162","01","019",907,23117,24941,0,0
"163","01","021",3754,37082,45099,0,0
"164","01","021",3754,37082,45099,0,0
"165","01","021",3754,37082,45099,0,0
"166","01","021",3754,37082,45099,0,0
"167","01","021",3754,37082,45099,0,0
"168","01","021",3754,37082,45099,0,0
"169","01","021",3754,37082,45099,0,0
"170","01","021",3754,37082,45099,0,0
"171","01","021",3754,37082,45099,0,0
"172","01","021",3754,37082,45099,0,0
"173","01","021",3754,37082,45099,0,0
"174","01","021",3754,37082,45099,0,0
"175","01","023",4692,7115,12379,0,0
"176","01","023",4692,7115,12379,0,0
"177","01","023",4692,7115,12379,0,0
"178","01","023",4692,7115,12379,0,0
"179","01","025",10235,11772,22431,0,0
"180","01","025",10235,11772,22431,0,0
"181","01","025",10235,11772,22431,0,0
"182","01","025",10235,11772,22431,0,0
"183","01","025",10235,11772,22431,0,0
"184","01","025",10235,11772,22431,0,0
"185","01","025",10235,11772,22431,0,0
"186","01","025",10235,11772,22431,0,0
"187","01","025",10235,11772,22431,0,0
"188","01","027",1812,11192,13943,0,0
"189","01","027",1812,11192,13943,0,0
"190","01","027",1812,11192,13943,0,0
"191","01","027",1812,11192,13943,0,0
"192","01","029",492,14067,15091,0,0
"193","01","029",492,14067,15091,0,0
"194","01","029",492,14067,15091,0,0
"195","01","029",492,14067,15091,0,0
"196","01","031",8917,39264,53492,0,0
"197","01","031",8917,39264,53492,0,0
"198","01","031",8917,39264,53492,0,0
"199","01","031",8917,39264,53492,0,0
"200","01","031",8917,39264,53492,0,0
"201","01","031",8917,39264,53492,0,0
"202","01","031",8917,39264,53492,0,0
"203","01","031",8917,39264,53492,0,0
"204","01","031",8917,39264,53492,0,0
"205","01","031",8917,39264,53492,0,0
"206","01","031",8917,39264,53492,0,0
"207","01","031",8917,39264,53492,0,0
"208","01","031",8917,39264,53492,0,0
"209","01","031",8917,39264,53492,0,0
"210","01","031",8917,39264,53492,0,0
"211","01","031",8917,39264,53492,0,0
"212","01","033",8881,45093,57197,0,0
"213","01","033",8881,45093,57197,0,0
"214","01","033",8881,45093,57197,0,0
"215","01","033",8881,45093,57197,0,0
"216","01","033",8881,45093,57197,0,0
"217","01","033",8881,45093,57197,0,0
