"year","measure_id","state_fips","county_fips","raw_value","ci_low","ci_high","numerator","denominator","other_data_1","other_data_1_ci_low","other_data_1_ci_high","other_data_1_flag","other_data_2","other_data_2_ci_low","other_data_2_ci_high","other_data_2_flag","other_data_3","other_data_3_ci_low","other_data_3_ci_high","other_data_3_flag","other_data_4","other_data_4_ci_low","other_data_4_ci_high","other_data_4_flag","race_aian","race_aian_ci_low","race_aian_ci_high","race_aian_flag","race_asian","race_asian_ci_low","race_asian_ci_high","race_asian_flag","race_black","race_black_ci_low","race_black_ci_high","race_black_flag","race_hispanic","race_hispanic_ci_low","race_hispanic_ci_high","race_hispanic_flag","race_white","race_white_ci_low","race_white_ci_high","race_white_flag","reliability","rank_ready","display","correction","show_details","state_min","state_max","trend_graph","last_updated"
2022,1,"00","000",7281.93556380514,7271.40623367016,7292.46489394011,4125218,917267406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13059.747575239,12904.7507040812,13214.7444463968,NA,3301.32426279949,3272.89955524473,3329.74897035426,NA,11430.4946281893,11394.5201842595,11466.4690721191,NA,5632.78424170672,5612.2534243548,5653.31505905864,NA,7147.90558899125,7134.23050601092,7161.58067197158,NA,0,1,1,0,0,NA,NA,0,"2022-04-01 15:30:00"
2022,1,"01","000",10350.0714556913,10246.1332572845,10454.0096540981,88086,13668498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5967.15277240287,4839.91833271453,7094.38721209122,NA,3410.77241211124,2945.3678175412,3876.17700668128,NA,13245.0583851983,13022.7787978906,13467.337972506,NA,5244.42484734256,4900.91731863234,5587.93237605277,NA,9562.51671754558,9438.71533228041,9686.31810281074,NA,0,1,1,0,1,6125.24725545417,17713.5931323202,5,"2022-04-01 15:30:00"
2022,1,"02","000",8269.14335494655,8029.74266730139,8508.54404259171,8663,2109679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18599.7229142077,17699.6812281177,19499.7646002977,NA,4686.7831468337,4094.7791938439,5278.78709982349,NA,8889.2314476692,7754.62769520251,10023.8352001359,NA,4876.53444835028,4187.34996073615,5565.71893596441,NA,6380.78612067537,6119.14437869015,6642.4278626606,NA,0,1,1,0,1,6129.88907158342,20938.5313383476,5,"2022-04-01 15:30:00"
2022,1,"04","000",7745.32757280931,7670.72698350093,7819.92816211769,90822,20195672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19265.6929779819,18697.3564258968,19834.029530067,NA,3811.14439806554,3551.63199899687,4070.65679713421,NA,10500.9562854962,10125.1549575927,10876.7576133996,NA,6855.3811080712,6737.81759367854,6972.94462246386,NA,7180.69220270642,7077.86652088561,7283.51788452723,NA,0,1,1,0,1,6336.37961951351,18660.5014534656,5,"2022-04-01 15:30:00"
2022,1,"05","000",9749.67041829987,9622.14957289774,9877.191263702,50906,8399465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3989.29548613133,3084.20558739995,4894.38538486271,NA,5640.49564453638,4958.13192268407,6322.85936638868,NA,13912.2203605407,13536.1214876376,14288.3192334438,NA,4320.00088532372,4028.19230245607,4611.80946819137,NA,9513.03132898331,9363.25340525498,9662.80925271164,NA,0,1,1,0,1,6155.90644510565,17709.0235881721,5,"2022-04-01 15:30:00"
2022,1,"06","000",5678.81695029572,5652.66116758663,5704.97273300481,378883,111095669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10423.2363051656,9920.36143053615,10926.111179795,NA,3248.46977814148,3196.71236723439,3300.22718904857,NA,10748.2326862951,10603.1461194496,10893.3192531406,NA,5504.64767438497,5464.75299448888,5544.54235428107,NA,5892.29693605613,5847.05497809257,5937.53889401969,NA,0,1,1,0,1,3314.8918160103,14307.2339511681,5,"2022-04-01 15:30:00"
2022,1,"08","000",6322.52826564402,6248.01274926042,6397.04378202762,58091,16301283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11720.0728803845,10612.6210736747,12827.5246870942,NA,3566.08254934032,3278.77475463416,3853.39034404649,NA,9853.9153176618,9431.83154751385,10275.9990878098,NA,7178.46358479471,7015.93296923319,7340.99420035623,NA,5853.12395306362,5765.13734499243,5941.11056113481,NA,0,1,1,0,1,3101.01512005885,14160.0976897912,5,"2022-04-01 15:30:00"
2022,1,"09","000",6106.50596385571,6011.65142379179,6201.36050391963,38493,9863750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4725.59382996119,3291.54924866611,6572.15706855073,NA,2331.34006995387,2072.47655765441,2590.20358225334,NA,8803.034178058,8474.56654774046,9131.50180837554,NA,5889.81779880002,5679.78204862643,6099.85354897361,NA,6003.7423160026,5883.63775190911,6123.84688009609,NA,0,1,1,0,1,4781.1913239782,7521.63436065493,5,"2022-04-01 15:30:00"
2022,1,"10","000",8148.53372875808,7934.40481094234,8362.66264657382,13471,2699672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2964.25977420989,1421.47778136462,5451.37926487511,1,2319.54180128748,1774.99779883716,2864.08580373779,NA,10875.8159775167,10369.1202322464,11382.5117227869,NA,4884.35098866503,4392.43417903625,5376.2677982938,NA,7954.29046649118,7679.6594925465,8228.92144043585,NA,0,1,1,0,1,8092.43279933125,8555.00371841544,5,"2022-04-01 15:30:00"
2022,1,"11","000",8357.20514104204,8124.91134402855,8589.49893805552,8978,2009421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2032.35665532989,1476.71345703026,2728.3439486239,NA,14991.7551486738,14501.6650130117,15481.8452843358,NA,4643.74486524699,4130.97022532161,5156.51950517237,NA,2302.48719305409,2102.39722654475,2502.57715956343,NA,0,1,1,0,1,8357.20514104204,8357.20514104204,5,"2022-04-01 15:30:00"
