statecode,countycode,v052_numerator,v052_denominator,v052_rawvalue,v052_flag_CT
00,000,72831861,334914895,0.2174637858372946,NA
01,000,1130840,5108468,0.22136577932953677,NA
01,001,14089,60342,0.23348579762023136,NA
01,003,53110,253507,0.20950111831231485,NA
01,005,5068,24585,0.20614195647752695,NA
01,007,4346,21868,0.1987378818364734,NA
01,009,13717,59816,0.2293199144041728,NA
01,011,2019,9897,0.20400121248863293,NA
01,013,4106,18382,0.22337068871722338,NA
01,015,24874,116429,0.21364093138307466,NA
01,017,7109,34079,0.20860353883623345,NA
01,019,4789,25666,0.18658926205875478,NA
01,021,11162,46431,0.24039973293704636,NA
01,023,2413,12252,0.19694743715311785,NA
01,025,4893,22337,0.2190535882168599,NA
01,027,2954,14111,0.20934023102544114,NA
01,029,3623,15639,0.23166442867190998,NA
01,031,13408,55643,0.24096472152831444,NA
01,033,12471,58361,0.2136872226315519,NA
01,035,2280,11174,0.20404510470735637,NA
01,037,1665,10268,0.16215426567978183,NA
01,039,8438,37952,0.22233347386172006,NA
01,041,3035,13101,0.2316617052133425,NA
01,043,20585,92016,0.22371109372283082,NA
01,045,11644,49871,0.23348238455214454,NA
01,047,8429,36165,0.23307064841697775,NA
01,049,17272,72569,0.23800796483346884,NA
01,051,19431,90441,0.21484724848243605,NA
01,053,8276,36558,0.22637999890584823,NA
01,055,22589,103241,0.2187987330614775,NA
01,057,3435,15967,0.21513120811674077,NA
01,059,8003,31802,0.25165083956983836,NA
01,061,5927,26988,0.21961612568548985,NA
01,063,1586,7341,0.2160468601008037,NA
01,065,3642,14888,0.24462654486835034,NA
01,067,3663,17899,0.20464830437454606,NA
01,069,24753,108462,0.2282181777949881,NA
01,071,11112,53467,0.20782912824733013,NA
01,073,151180,662895,0.22806025086929302,NA
01,075,3013,13661,0.22055486421199033,NA
01,077,18552,96814,0.19162517817671,NA
01,079,7316,33502,0.21837502238672318,NA
01,081,38165,183215,0.2083071800889665,NA
01,083,25201,114654,0.21980044307219984,NA
01,085,2147,9717,0.22095296902336112,NA
01,087,3048,18370,0.16592270005443657,NA
01,089,88468,412600,0.21441589917595735,NA
01,091,4182,18684,0.22382787411689145,NA
01,093,6136,29244,0.20982081794556148,NA
01,095,26218,100756,0.26021279129778874,NA
01,097,95366,411640,0.23167330677290837,NA
01,099,4054,19229,0.21082739612044307,NA
01,101,54247,224980,0.24111921059649746,NA
01,103,29034,125133,0.2320251252667162,NA
01,105,1657,7738,0.21413802016024813,NA
01,107,3534,18688,0.1891053082191781,NA
01,109,6472,33137,0.19531037812716903,NA
01,111,4798,22786,0.21056789256561045,NA
01,113,14401,58744,0.24514844069181532,NA
01,115,21110,95552,0.2209268251841929,NA
01,117,52318,233000,0.22454077253218885,NA
01,119,2293,11727,0.1955316790312953,NA
01,121,16665,81132,0.20540600502884188,NA
01,123,8070,40677,0.1983922118150306,NA
01,125,48286,237373,0.2034182489162626,NA
01,127,14814,64728,0.22886540600667407,NA
01,129,3216,15022,0.21408600718945547,NA
01,131,2189,9944,0.22013274336283187,NA
01,133,4774,23611,0.20219389267714202,NA
02,000,175507,733406,0.23930401442038926,NA
02,013,191,3461,0.055186362323028024,NA
02,016,426,5160,0.08255813953488372,NA
02,020,66690,286075,0.23312068513501705,NA
02,050,6426,18224,0.35261194029850745,NA
02,060,181,844,0.21445497630331753,NA
02,063,1501,6769,0.22174619589304181,NA
02,066,680,2674,0.2543006731488407,NA
02,068,293,1584,0.1849747474747475,NA
02,070,1427,4607,0.30974603863685696,NA
02,090,22535,94840,0.23761071277941798,NA
02,100,352,2070,0.17004830917874397,NA
02,105,373,2262,0.16489832007073385,NA
02,110,6288,31555,0.19927111392806213,NA
02,122,13502,61223,0.22053803309213857,NA
02,130,2715,13738,0.197627019944679,NA
02,150,2933,12565,0.23342618384401115,NA
