statecode,countycode,v001_numerator,v001_denominator,v001_rawvalue,ypll_se,v001_cilow,v001_cihigh,flag2_cb,v001_flag_CT
00,000,4622957,929344876,8122.824043552479,5.672568413331005,8111.705809462351,8133.942277642608,,
01,000,99954,14120528,11613.387429034938,55.252146036375954,11505.09322280364,11721.681635266235,,
01,001,1014,166787,10186.130215290776,481.1582891607674,9243.059968535672,11129.20046204588,,
01,003,3944,674498,8693.120941550873,227.3448770752316,8247.524982483419,9138.716900618327,,
01,005,565,67741,12049.953016413374,778.6260465019778,10523.845965269498,13576.06006755725,,
01,007,516,61360,12289.932186952658,833.1918822848808,10656.87609767429,13922.988276231024,,
01,009,1212,164060,11612.828103395364,511.73658070523913,10609.824405213096,12615.831801577633,,
01,011,272,28186,17984.82222959971,1617.5110679747277,14814.500536369245,21155.14392283018,,
01,013,469,50686,14364.880389359469,1045.0242352311716,12316.632888306372,16413.127890412565,,
01,015,2905,322749,14731.780649652983,406.11876355161684,13935.787873091815,15527.773426214151,,
01,017,800,93906,12952.202059244024,730.284432232598,11520.844572068132,14383.559546419916,,
01,019,684,68483,13510.912010406531,877.1534016797433,11791.691343114235,15230.132677698828,,
01,021,1039,128079,12250.005867987165,571.1641803164969,11130.52407456683,13369.4876614075,,
01,023,298,33204,12431.989087142085,1258.19610402617,9965.924723250791,14898.053451033378,,
01,025,549,61232,13726.293962694877,917.1529498745515,11928.674180940756,15523.913744448999,,
01,027,335,38563,11438.14221780086,1034.712273995408,9410.106160769861,13466.178274831858,,
01,029,392,42269,15039.843559058609,1173.531362280838,12739.722088988166,17339.965029129053,,
01,031,975,152752,9414.149919700574,448.06949749328675,8535.933704613732,10292.366134787417,,
01,033,1282,158839,12190.061683664557,522.1654760696041,11166.617350568133,13213.50601676098,,
01,035,336,29979,20827.244558300918,1768.8653021927194,17360.268566003186,24294.22055059865,,
01,037,253,27663,13520.703277756786,1500.620330858183,10579.487429274746,16461.919126238823,,
01,039,997,102026,13929.096683755864,698.415288901181,12560.20271750955,15297.990650002179,,
01,041,360,36074,13255.859102296807,1141.773267764279,11017.983497478821,15493.734707114792,,
01,043,1907,250677,11328.406444420805,394.52282863228214,10555.141700301532,12101.671188540078,,
01,045,1045,137644,11884.765817120882,547.102055830356,10812.445787693385,12957.08584654838,,
01,047,1062,101659,19876.382910026445,898.1913480691795,18115.927867810853,21636.837952242036,,
01,049,1572,200883,11490.768131404286,441.8297291157672,10624.781862337382,12356.754400471189,,
01,051,1528,251646,8895.021910629079,353.0501126960286,8203.043689744864,9587.000131513294,,
01,053,940,101071,14622.507488679255,714.6948728083999,13221.70553797479,16023.30943938372,,
01,055,2730,285213,14214.25241392844,420.5878883006188,13389.900152859227,15038.604674997652,,
01,057,447,43698,13893.479440529003,1067.9006174222195,11800.394230381453,15986.564650676553,,
01,059,719,88837,12477.535975823595,685.5531799466249,11133.85174312821,13821.22020851898,,
01,061,730,73426,14179.969537631825,856.1994262901379,12501.818662103155,15858.120413160495,,
01,063,215,20141,16195.720956551091,1811.4957529151936,12645.189280837312,19746.25263226487,,
01,065,396,40648,16092.543291305026,1233.7479018821937,13674.397403615927,18510.689178994126,,
01,067,379,47885,10231.58998345428,889.812198989185,8487.558073435477,11975.621893473082,,
01,069,2108,298628,10877.390144099189,362.65062184888814,10166.594925275367,11588.18536292301,,
01,071,1420,145462,13803.336199806265,579.4331389771576,12667.647247411036,14939.025152201493,,
01,073,13319,1864095,13112.79428412015,164.2937764593955,12790.778482259735,13434.810085980564,,
01,075,352,36949,13197.842195326453,1141.5600968481183,10960.38440550414,15435.299985148766,,
01,077,1801,261579,10265.50616351108,382.5825375187683,9515.644389974294,11015.367937047866,,
01,079,815,91949,12720.692654110078,698.6922049856823,11351.255932338141,14090.129375882016,,
01,081,2149,513359,7504.434977833527,235.1896533835618,7043.463257201746,7965.406698465308,,
01,083,1712,312147,8463.670186892712,309.1161012434828,7857.802628455486,9069.537745329939,,
01,085,305,26874,19778.102556643145,1706.6369321093825,16433.094169708755,23123.110943577536,,
01,087,401,50860,13837.3358704827,1102.071365761878,11677.27599358942,15997.395747375982,,
01,089,5834,1132692,9076.957301433114,173.3928697378888,8737.107276746852,9416.807326119377,,
01,091,491,51553,14118.287300078406,1020.196166801305,12118.702813147847,16117.871787008964,,
01,093,644,79163,10596.685130281212,666.3665361369505,9290.60671945279,11902.763541109634,,
01,095,2112,277403,12592.907782275232,400.77441493879377,11807.389928995195,13378.425635555268,,
01,097,8614,1150668,12603.373363861037,201.18130384574638,12209.058008323374,12997.6887193987,,
01,099,490,52981,14487.545299974874,1032.0495215979554,12464.728237642881,16510.362362306867,,
01,101,4324,635346,13000.158221331227,281.02848708306396,12449.34238664842,13550.974056014033,,
01,103,2458,344746,11372.992261328987,352.35598040958695,10682.374539726197,12063.609982931777,,
01,105,234,21791,17906.852072415837,1830.9588893970363,14318.172649197646,21495.53149563403,,
01,107,471,51616,12640.923128074579,985.983927526261,10708.394630123108,14573.45162602605,,
01,109,621,92388,12509.55319901236,723.0689170378853,11092.338121618104,13926.768276406616,,
01,111,520,61315,11981.14863312633,886.6789545092635,10243.257882288173,13719.039383964486,,
01,113,1384,165663,14873.294165310092,579.0851292650804,13738.287311950535,16008.301018669648,,
01,115,1966,261799,11466.834183408613,396.1287615685076,10690.421810734339,12243.246556082888,,
01,117,2576,643306,6401.862137773562,193.6290140948838,6022.34927014759,6781.375005399534,,
01,119,285,32876,16102.482432594035,1464.0081953252968,13233.026369756453,18971.938495431616,,
01,121,2065,224867,15223.218202698647,522.398794336843,14199.316565798434,16247.11983959886,,
01,123,960,111054,11761.975870524973,657.6754979257452,10472.931894590512,13051.019846459434,,
01,125,3491,663563,10121.200414372077,251.01659431408285,9629.207889516474,10613.19293922768,,
01,127,1947,178143,18088.72416502338,612.6585452967623,16887.913416241725,19289.534913805037,,
01,129,334,41370,12859.08031326545,1123.3845622763338,10657.246571203836,15060.914055327063,,
01,131,295,27623,19632.025111292318,1705.8703368652593,16288.51925103641,22975.530971548225,,
01,133,589,64136,13455.229357561399,918.3240336271946,11655.314251652097,15255.1444634707,,
02,000,10805,2098073,10338.830639488666,137.10628848980306,10070.102314048652,10607.55896492868,,
02,013,27,9771,4128.198937654428,948.4002006915023,2485.44543275324,6446.694010185251,1,
02,016,41,15107,5051.688797509594,1482.1162101064845,2610.2813179040713,8824.28369716001,1,
02,020,4177,822591,10403.997000200185,214.5679541070702,9983.443810150327,10824.550190250042,,
02,050,297,53688,16770.002973607076,1153.5209740215855,14509.101864524768,19030.904082689383,,
02,060,24,2364,17002.061025622887,4958.732151488896,8785.213032704449,29699.179015240734,1,
02,063,,,,,,,2,
02,066,,,,,,,2,
02,068,21,4588,11150.565800003476,3947.8286929911415,4814.022868625426,21971.05982720888,1,
02,070,101,13598,19476.465174580375,2441.1152877005657,14691.879210687266,24261.051138473485,,
02,090,1243,273861,9203.892337698802,346.05212519499673,8525.630172316609,9882.154503080996,,
02,100,22,5669,6345.428066829985,2280.979900178924,2739.5054540575557,12503.022912570816,1,
02,105,41,6288,12645.248364478677,3586.0874231203197,6533.9843543664,22088.70408727836,1,
02,110,392,90017,7943.309746871231,581.2616178254161,6804.036975933415,9082.582517809047,,
02,122,937,169521,8331.11976922076,442.337310854741,7464.138639945469,9198.100898496054,,
02,130,231,38534,10198.982214712121,1071.2761435096725,8099.280973433163,12298.683455991079,,
02,150,162,36345,8657.23598389555,998.876575971613,6699.43789499119,10615.034072799912,,
02,158,163,24190,27017.592020234326,2336.286891618361,22438.46971266234,31596.714327806312,,
02,164,28,3947,18790.85175063417,4540.524456049665,10946.363609304219,30085.973951210115,1,
02,170,1626,325093,8752.854209986992,312.714427420506,8139.9339322428,9365.774487731183,,
02,180,183,28696,17514.51174176014,1580.193788169722,14417.331916947485,20611.691566572794,,
02,185,138,31651,10132.738724293877,1125.3823480688618,7926.989322078907,12338.488126508846,,
02,188,159,21592,21353.54789236899,2029.5727920295778,17375.58521999102,25331.510564746965,,
02,195,43,9371,5189.638578215783,1298.6612609492804,2966.3268496222354,8427.647919374396,1,
02,198,145,16036,14453.41902310497,2022.9498427822364,10488.437331251787,18418.400714958152,,
02,220,101,23309,6679.779094887961,952.0497082083868,4813.761666799523,8545.7965229764,,
02,230,,,,,,,2,
02,240,123,19983,11546.66367971037,1505.8702030637498,8595.15808170542,14498.169277715318,,
02,275,33,5558,13268.465177666227,3844.23426516923,6856.009575965392,23177.33844003541,1,
02,282,,,,,,,2,
02,290,167,14691,25587.59318328592,2715.4515808016313,20265.308084914723,30909.87828165712,,
04,000,107454,20285549,9154.436627010637,41.34199543895314,9073.406315950288,9235.466938070986,,
04,001,2003,183349,26905.409449347117,779.903626844411,25376.79834073207,28434.02055796216,,
04,003,2380,336717,9596.477235986928,329.371703824781,8950.908696490356,10242.045775483499,,
04,005,1981,411233,11136.038464710053,342.0558767424134,10465.608946294922,11806.467983125183,,
04,007,1464,140648,18295.227782293503,797.6827311885091,16731.769629164024,19858.685935422982,,
04,009,649,110512,11163.48250961382,593.1185091006166,10000.970231776611,12325.994787451027,,
04,011,154,26464,11469.448162571332,1306.453569938384,8908.7991654921,14030.097159650564,,
04,012,650,37714,25194.842959518082,1709.2598810124769,21844.693592733627,28544.992326302538,,
04,013,57972,12689683,8293.326595936209,49.35482138061766,8196.591146030198,8390.06204584222,,
04,015,6134,569579,13280.71638559339,319.5406848327436,12654.416643321212,13907.016127865569,,
