statecode,countycode,v067_numerator,v067_denominator,v067_rawvalue,v067_cilow,v067_cihigh,v067_sourceflag,v067_flag_CT
00,000,110653318,157645183,0.7019137273607656,0.7007577096854272,0.7030697450361041,,
01,000,1793843,2202219,0.8145615853827435,0.811340262449604,0.817782908315883,,
01,001,22907,26976,0.8491622182680901,0.8190131386703418,0.8793112978658385,,
01,003,86914,108241,0.8029674522593102,0.7891338881111857,0.8168010164074347,,
01,005,6980,8470,0.8240850059031877,0.7868351807917444,0.8613348310146309,,
01,007,7318,8326,0.8789334614460725,0.8450300272821663,0.9128368956099788,,
01,009,21389,25141,0.8507617039894992,0.8287824413919789,0.8727409665870196,,
01,011,3107,3544,0.8766930022573364,0.7891828132255215,0.9642031912891512,,
01,013,6271,7365,0.851459606245757,0.8211346102191163,0.8817846022723977,,
01,015,41217,48427,0.8511161129122183,0.8299675735980433,0.8722646522263934,,
01,017,12133,14113,0.8597038191738113,0.8194535449605578,0.8999540933870649,,
01,019,8768,10223,0.8576738726401252,0.838211948367064,0.8771357969131863,,
01,021,15306,18600,0.8229032258064516,0.7948449242250933,0.8509615273878098,,
01,023,3660,4472,0.8184257602862254,0.7745310531026213,0.8623204674698295,,
01,025,6991,7843,0.8913680989417315,0.8813678226043045,0.9013683752791586,,
01,027,4391,5464,0.803623718887262,0.7465460538802632,0.8607013838942609,,
01,029,5178,5944,0.8711305518169583,0.8279723655436204,0.9142887380902962,,
01,031,19646,23079,0.8512500541617921,0.8320008648054882,0.870499243518096,,
01,033,21225,25611,0.8287454609347547,0.8009905818520122,0.8565003400174971,,
01,035,2822,3374,0.8363959691760522,0.7788101930295454,0.893981745322559,,
01,037,3057,3868,0.7903309203722855,0.7316795237665081,0.8489823169780628,,
01,039,13072,14971,0.8731547658807027,0.8519836061047181,0.8943259256566873,,
01,041,4068,5161,0.7882193373377252,0.7417370174883182,0.8347016571871322,,
01,043,32655,39147,0.8341635374358188,0.8168484417427915,0.8514786331288462,,
01,045,16155,19531,0.8271465874763198,0.8041655216586554,0.8501276532939841,,
01,047,11565,13672,0.8458894090111176,0.8239837541449149,0.8677950638773204,,
01,049,24567,30110,0.8159083361009631,0.7891145883262478,0.8427020838756785,,
01,051,33038,39304,0.8405760227966619,0.8139572208201772,0.8671948247731466,,
01,053,11266,12655,0.8902410114579218,0.8614431845081871,0.9190388384076564,,
01,055,37267,42546,0.8759225309077234,0.8533307281043605,0.8985143337110864,,
01,057,5354,6045,0.8856906534325889,0.8405548187273348,0.930826488137843,,
01,059,11349,13305,0.8529875986471251,0.8190908973622029,0.8868842999320474,,
01,061,9527,10862,0.8770944577425889,0.8546516689773611,0.8995372465078166,,
01,063,1781,2243,0.7940258582255907,0.6702188412572133,0.9178328751939681,,
01,065,4679,5390,0.8680890538033396,0.807293936395199,0.9288841712114801,,
01,067,6243,7249,0.8612222375500069,0.8333323817990264,0.8891120933009875,,
01,069,39458,46126,0.8554394484672418,0.8456450845423049,0.8652338123921788,,
01,071,17471,20720,0.8431949806949807,0.8164080399930288,0.8699819213969325,,
01,073,238585,304796,0.7827694589167837,0.7743435754937549,0.7911953423398126,,
01,075,4209,5059,0.8319826052579561,0.794926076315724,0.8690391342001882,,
01,077,34245,42652,0.8028931820313233,0.7809795096720002,0.8248068543906464,,
01,079,12695,14333,0.8857182725179655,0.8627559230397994,0.9086806219961316,,
01,081,64997,81788,0.7947009341223651,0.7780288778230702,0.81137299042166,,
