"statecode","countycode","v014_numerator","v014_denominator","v014_rawvalue","v014_cihigh","v014_cilow"
"40","059",10,800,12.5,22.9879450525222,5.99423587016554
"20","119",10,876,11.4155251141553,20.9935571255911,5.4741880092836
"20","007",10,825,12.1212121212121,22.2913406569912,5.81259235894841
"20","141",10,595,16.8067226890756,30.9081614151559,8.05947680022258
"29","087",10,816,12.2549019607843,22.5372010318845,5.87670183349563
"20","147",10,1087,9.19963201471941,16.9184508206235,4.41158113719635
"51","735",10,2781,3.59582883854728,6.61285726070398,1.72433969655967
"31","123",10,1005,9.9502487562189,18.298861733351,4.77153104092779
"31","175",10,836,11.9617224880383,21.9980335430835,5.73611088054119
"46","053",10,789,12.6742712294043,23.3084360481848,6.0778056985202
"20","089",10,482,20.746887966805,38.1542656473398,9.94893920359426
"20","097",10,742,13.4770889487871,24.7848464178137,6.46278800017848
"08","121",10,988,10.1214574898785,18.6137206903014,4.85363228353485
"31","105",10,640,15.625,28.7349313156528,7.49279483770693
"20","157",11,852,12.9107981220657,23.1009841705422,6.44502390520756
"13","007",11,594,18.5185185185185,33.1347449718888,9.24437772262094
"48","137",11,272,40.4411764705882,72.360435710669,20.1880895854296
"31","023",11,1819,6.04727872457394,10.8202520688851,3.01877975109227
"30","057",11,1331,8.26446280991736,14.7874068469586,4.12559005802918
"08","009",11,670,16.4179104477612,29.3761768855253,8.19576174214454
"31","061",11,507,21.6962524654832,38.820588783633,10.8306910596387
"48","095",11,533,20.6378986866792,36.9269015258948,10.3023646664856
"38","025",11,762,14.4356955380577,25.8294468678503,7.20624720109821
"49","017",11,1091,10.0824931255729,18.0403652734207,5.03314424128033
"29","199",11,1115,9.86547085201794,17.6520524782977,4.92480750424829
"21","201",11,375,29.3333333333333,52.4854360354719,14.6430943126316
"31","163",11,647,17.0015455950541,30.4204613806831,8.48711030484828
"46","003",11,590,18.6440677966102,33.3593873106813,9.30705146989295
"53","013",12,714,16.8067226890756,29.3579622523487,8.68427886375661
"48","319",12,801,14.9812734082397,26.1692697230674,7.74104258267443
"31","065",12,1039,11.5495668912416,20.1747690550308,5.96782974852956
"35","033",12,770,15.5844155844156,27.2228377249051,8.05269494639249
"31","003",12,1235,9.7165991902834,16.9729433588477,5.02070859005847
"16","061",12,820,14.6341463414634,25.5629085953377,7.56167696185636
"49","029",12,3883,3.09039402523822,5.39829643270074,1.59685168908633
"29","129",12,755,15.8940397350993,27.7636888055324,8.21268226320823
"27","051",12,1166,10.2915951972556,17.9773456673902,5.317817417429
"13","061",12,557,21.5439856373429,37.6330072678222,11.1320917571314
"49","055",12,631,19.0174326465927,33.2196276516275,9.82658495835534
"46","115",12,1240,9.67741935483871,16.9045040711104,5.00046379735663
"38","097",12,1867,6.42742367434387,11.2274156658687,3.32114360402904
"20","069",12,1496,8.02139037433155,14.0117547113482,4.14476945770202
"19","009",12,1050,11.4285714285714,19.9634143315971,5.90530962735449
"27","077",13,664,19.578313253012,33.4795119249381,10.4246272454877
