v133_rawvalue,statecode,countycode,v133_numerator,v133_denominator
6.6,05,089,0.032087566,0.206
6,05,091,0.122464158,0.192
6.1,05,093,0.089944279,0.201
5.5,05,095,0.149839698,0.203
5.7,05,097,0.105365059,0.216
3.9,05,099,0.273622813,0.215
6.6,05,101,0.113547135,0.171
5.5,05,103,0.181491471,0.185
6.7,05,105,0.053058966,0.193
4.6,05,107,0.189356577,0.222
6.1,05,109,0.09372835,0.201
5.7,05,111,0.103256579,0.216
5.4,05,113,0.169463209,0.197
6.3,05,115,0.093706147,0.192
7.6,05,117,0.021533284,0.167
6.6,05,119,0.128814554,0.163
6,05,121,0.093797695,0.205
4.9,05,123,0.192963379,0.209
7.4,05,125,0.076862536,0.149
5.1,05,127,0.208100978,0.195
4.6,05,129,0.146403971,0.245
6.6,05,131,0.05492114,0.196
5.7,05,133,0.133954016,0.199
5.3,05,135,0.179947786,0.199
5.3,05,137,0.108406953,0.23
6.4,05,139,0.122015618,0.174
6.1,05,141,0.067285463,0.212
7.3,05,143,0.053029343,0.166
6.4,05,145,0.091191117,0.187
7.3,05,147,0.032273112,0.176
6.7,05,149,0.077791138,0.18
9.3,06,001,0.011173993,0.096
7.1,06,003,0.167851385,0.123
9.1,06,005,0.000956321,0.111
7.6,06,007,0.064508674,0.146
8,06,009,0.059895028,0.131
6.8,06,011,0.123562542,0.156
9.2,06,013,0.028674706,0.092
6.8,06,015,0.144451166,0.146
8.9,06,017,0.042585672,0.099
7.4,06,019,0.053493111,0.162
7.5,06,021,0.087453033,0.141
7.6,06,023,0.045402601,0.158
6.1,06,025,0.076487356,0.21
7.9,06,027,0.077716449,0.129
7.2,06,029,0.078299012,0.159
7.5,06,031,0.068228259,0.151
7.9,06,033,0.018896756,0.154
7.5,06,035,0.093014497,0.137
8.5,06,037,0.014529508,0.132
7.5,06,039,0.054188904,0.158
9.5,06,041,0.011658245,0.087
8.1,06,043,0.026113539,0.143
7.6,06,045,0.05922134,0.151
7.1,06,047,0.077115432,0.166
6.4,06,049,0.171759603,0.151
7.5,06,051,0.172374672,0.103
8.1,06,053,0.05080918,0.13
9,06,055,0.02629963,0.1
8.2,06,057,0.086130407,0.111
9.1,06,059,0.011212586,0.104
9,06,061,0.05106532,0.089
8.5,06,063,0.010710775,0.133
8.3,06,065,0.069654697,0.111
8.5,06,067,0.042269674,0.118
8.9,06,069,0.026969637,0.106
7.9,06,071,0.085285614,0.122
8.8,06,073,0.027630608,0.109
9,06,075,0.003025444,0.112
8.2,06,077,0.045353213,0.127
8.7,06,079,0.040541898,0.107
9.6,06,081,0.009193268,0.085
8.6,06,083,0.028816911,0.118
9.5,06,085,0.009662712,0.088
8.4,06,087,0.054188617,0.116
7.7,06,089,0.069163622,0.139
6.2,06,091,0.248214636,0.126
6.9,06,093,0.113828909,0.155
8.9,06,095,0.037806112,0.1
8.9,06,097,0.025819329,0.105
8.2,06,099,0.033693721,0.136
7.5,06,101,0.081368429,0.143
7.1,06,103,0.099667804,0.152
7.2,06,105,0.076658139,0.161
7.3,06,107,0.049164119,0.166
7.9,06,109,0.06160719,0.134
9,06,111,0.023098155,0.105
8.5,06,113,0.028844907,0.123
7.2,06,115,0.108820405,0.145
8.5,08,001,0.047352981,0.116
6.9,08,003,0.125746328,0.149
9,08,005,0.021031484,0.103
7.8,08,007,0.107082226,0.12
6.7,08,009,0.102930804,0.172
6.7,08,011,0.051260799,0.195
8.9,08,013,0.026040509,0.105
8.9,08,014,0.050412052,0.093
8.4,08,015,0.029234847,0.126
8.1,08,017,0.089192835,0.112
9,08,019,0.028015883,0.102
7.9,08,021,0.032568024,0.147
1.2,08,023,0.579652656,0.195
7.3,08,025,0.005715181,0.187
8.5,08,027,0.063059971,0.107
7.8,08,029,0.035130034,0.151
8.3,08,031,0.042579407,0.125
4.8,08,033,0.373097128,0.129
9.6,08,035,0.019500937,0.076
8.8,08,037,0.047114713,0.099
9.2,08,039,0.070130408,0.072
8.3,08,041,0.064522553,0.115
6.8,08,043,0.133919669,0.153
8.8,08,045,0.039831115,0.106
NA,08,047,NA,0.109
9.3,08,049,0.002609285,0.101
8.9,08,051,0.030766867,0.104
8.6,08,053,0.04090743,0.114
6.2,08,055,0.119722984,0.184
7.2,08,057,0.082349973,0.157
8.9,08,059,0.034688414,0.101
5.1,08,061,0.356277921,0.124
7.8,08,063,0.093387237,0.125
6.8,08,065,0.228574096,0.106
8.5,08,067,0.041778011,0.119
8.6,08,069,0.047174614,0.111
6.3,08,071,0.126236126,0.179
7.9,08,073,0.076808286,0.129
7.8,08,075,0.079147722,0.13
7.8,08,077,0.088438589,0.129
8.4,08,079,0.034362837,0.123
6.9,08,081,0.146987338,0.142
7.8,08,083,0.073100421,0.136
7.9,08,085,0.076567636,0.128
8.2,08,087,0.05310309,0.127
6.8,08,089,0.046192712,0.19
9.1,08,091,0.010584334,0.104
8.3,08,093,0.108694157,0.095
8.4,08,095,0.016336494,0.133
8.9,08,097,0.019727076,0.108
6.8,08,099,0.126221692,0.156
6.2,08,101,0.171478002,0.161
8.3,08,103,0.020724952,0.135
8.1,08,105,0.050717374,0.132
9.1,08,107,0.024610716,0.096
6.6,08,109,0.157275841,0.151
5.2,08,111,0.290066302,0.151
8.9,08,113,0.020006181,0.109
7.5,08,115,0.05030234,0.158
9.4,08,117,0.014729137,0.091
8.8,08,119,0.032231296,0.107
7.6,08,121,0.139602758,0.114
8.4,08,123,0.059144194,0.112
8.2,08,125,0.057969093,0.125
NA,09,001,0.030183379,NA
NA,09,003,0.036661013,NA
NA,09,005,0.033720153,NA
NA,09,007,0.057770321,NA
NA,09,009,0.048752355,NA
NA,09,011,0.076796184,NA
NA,09,013,0.065472527,NA
NA,09,015,0.025678379,NA
NA,09,110,NA,0.131
NA,09,120,NA,0.15
NA,09,130,NA,0.102
NA,09,140,NA,0.136
NA,09,150,NA,0.127
NA,09,160,NA,0.127
NA,09,170,NA,0.135
NA,09,180,NA,0.134
NA,09,190,NA,0.111
7.8,10,001,0.064975289,0.137
8.2,10,003,0.06022437,0.12
7.9,10,005,0.068727679,0.133
8.9,11,001,0.016061023,0.11
7.8,12,001,0.072112684,0.136
6.9,12,003,0.170749249,0.127
7.4,12,005,0.103361531,0.14
8.1,12,007,0.003741817,0.153
7.6,12,009,0.120568884,0.121
8.8,12,011,0.02378799,0.113
5.6,12,013,0.204800709,0.171
7,12,015,0.138042227,0.138
6.4,12,017,0.156636624,0.157
8.2,12,019,0.085847233,0.111
8.2,12,021,0.070185355,0.117
7.8,12,023,0.044498683,0.148
6.7,12,027,0.070438976,0.186
7.6,12,029,0.030058909,0.162
7.7,12,031,0.097460094,0.127
7.2,12,033,0.123076234,0.138
7,12,035,0.179052301,0.121
7.7,12,037,0.00674057,0.17
7.8,12,039,0.02694963,0.154
8.4,12,041,0.000730409,0.143
5.4,12,043,0.239213764,0.166
8.3,12,045,0.01889889,0.135
6.7,12,047,0.095122897,0.172
5.8,12,049,0.130227069,0.196
7,12,051,0.07249657,0.169
7.1,12,053,0.123389857,0.142
6.2,12,055,0.177081509,0.156
7.9,12,057,0.082191373,0.127
6.2,12,059,0.186505035,0.155
7.3,12,061,0.133789948,0.128
7.6,12,063,0.054333389,0.154
7.8,12,065,0.058029069,0.142
7.6,12,067,0.045584283,0.158
7.6,12,069,0.118439736,0.12
7.5,12,071,0.119953757,0.127
7.7,12,073,0.093984582,0.129
7.8,12,075,0.042103085,0.15
6.6,12,077,0.100695501,0.174
7,12,079,0.115819234,0.149
8.2,12,081,0.061415377,0.122
7.2,12,083,0.118759551,0.138
7.8,12,085,0.102407589,0.121
8.3,12,086,0.018187064,0.137
7.9,12,087,0.090901394,0.123
7.7,12,089,0.121279659,0.118
7.7,12,091,0.111042411,0.123
5.2,12,093,0.272912796,0.158
8,12,095,0.071800616,0.124
7,12,097,0.148817392,0.137
8.5,12,099,0.041301448,0.116
7.3,12,101,0.120717253,0.133
8.2,12,103,0.051209154,0.128
7.1,12,105,0.134411927,0.137
7,12,107,0.067026615,0.173
8.8,12,109,0.054761879,0.097
7.2,12,111,0.152181965,0.123
8,12,113,0.0951178,0.116
8.2,12,115,0.071106927,0.118
8.4,12,117,0.061275098,0.112
8.1,12,119,0.059882169,0.127
7.7,12,121,0.053752075,0.149
6.9,12,123,0.147476266,0.141
6.3,12,125,0.194967706,0.143
7.4,12,127,0.108403559,0.134
9.1,12,129,0.032366197,0.096
7.7,12,131,0.100732111,0.126
5.5,12,133,0.217164215,0.171
5.1,13,001,0.232049083,0.18
5.8,13,003,0.149505742,0.188
7.3,13,005,0.013038943,0.187
5.1,13,007,0.280434201,0.161
6.8,13,009,0.128798019,0.151
8,13,011,0.008716862,0.154
7.7,13,013,0.113112721,0.121
7.4,13,015,0.116931546,0.13
6.2,13,017,0.131624408,0.178
6.3,13,019,0.103960932,0.189
6.5,13,021,0.130602222,0.166
6,13,023,0.183848906,0.162
7.6,13,025,0.026510214,0.167
7.1,13,027,0.046672929,0.179
8,13,029,0.096445856,0.112
7.2,13,031,0.08438024,0.155
7.6,13,033,0.076075248,0.143
7.6,13,035,0.085464165,0.137
7.3,13,037,0.063109281,0.16
6.3,13,039,0.178078853,0.152
7.8,13,043,0.003869192,0.166
6.2,13,045,0.194697907,0.148
7.4,13,047,0.096568853,0.139
7.7,13,049,0.031613533,0.159
7.5,13,051,0.108062932,0.13
3.7,13,053,0.393412884,0.171
5.3,13,055,0.210529504,0.182
8.4,13,057,0.070521352,0.108
5.5,13,059,0.218288718,0.168
7.6,13,061,0.011143389,0.171
7.2,13,063,0.160225391,0.119
6.6,13,065,0.051487875,0.199
8.5,13,067,0.080151024,0.101
7.6,13,069,0.028242211,0.164
6.2,13,071,0.127413139,0.179
8.5,13,073,0.059153059,0.109
7.7,13,075,0.007765395,0.17
7.8,13,077,0.117294952,0.112
6.2,13,079,0.164456563,0.162
7.1,13,081,0.034997787,0.183
NA,13,083,NA,0.13
8.7,13,085,0.002594399,0.128
7.1,13,087,0.059520509,0.171
8.1,13,089,0.087224734,0.112
7.5,13,091,0.001543107,0.181
5.6,13,093,0.251720408,0.152
5.3,13,095,0.245028,0.166
7.6,13,097,0.149959136,0.105
8,13,099,0.026057291,0.149
6.6,13,101,0.183088008,0.136
8.5,13,103,0.065348165,0.107
6.9,13,105,0.104005724,0.161
6,13,107,0.147094835,0.182
7.9,13,109,0,0.164
8,13,111,0.004166368,0.156
8.9,13,113,0.058885187,0.09
6.4,13,115,0.146048429,0.165
8.6,13,117,0.080651791,0.093
NA,13,119,NA,0.169
8,13,121,0.08957599,0.117
7.2,13,123,0.070800721,0.164
5.2,13,125,0.277291836,0.156
7.1,13,127,0.123620511,0.142
7.1,13,129,0.104766823,0.153
7.8,13,131,0.013810084,0.161
7.8,13,133,0.100153643,0.121
8.2,13,135,0.097083321,0.107
7.3,13,137,0.078664806,0.154
7.7,13,139,0.073750799,0.14
4.7,13,141,0.297275945,0.17
7.5,13,143,0.061752013,0.151
9,13,145,0.003354732,0.111
NA,13,147,NA,0.138
7.4,13,149,0.011195522,0.18
8.3,13,151,0.123556642,0.088
7.9,13,153,0.09995312,0.115
7.8,13,155,0.028233414,0.157
7.9,13,157,0.093541358,0.119
8.4,13,159,0.011333791,0.136
5.5,13,161,0.180262361,0.19
8.3,13,163,0.003239832,0.143
7.3,13,165,0.005758648,0.188
6.7,13,167,0.110502315,0.168
7.4,13,169,0.123576037,0.13
7.7,13,171,0.091172568,0.128
6.9,13,173,0.002365889,0.21
6.7,13,175,0.097116143,0.174
8.4,13,177,0.068076937,0.11
6.6,13,179,0.17259928,0.14
7.9,13,181,0.018860003,0.157
7.9,13,183,0.002600875,0.164
7.3,13,185,0.082677568,0.152
8.6,13,187,0.002574229,0.131
8.5,13,189,0.001684954,0.136
7.3,13,191,0.059309804,0.164
7.7,13,193,0.002222837,0.17
7.5,13,195,0.015044009,0.177
8.4,13,197,2.6152339352504e-05,0.141
7.5,13,199,0.012189157,0.174
7.6,13,201,0.001281492,0.175
6.5,13,205,0.079440939,0.192
8.4,13,207,0.014294163,0.133
7.8,13,209,0.040246122,0.149
7.8,13,211,0.109814316,0.115
7.4,13,213,0.065685938,0.155
7,13,215,0.103872058,0.157
7.4,13,217,0.143655665,0.117
9,13,219,0.034027986,0.096
8.5,13,221,0.025047021,0.127
7.9,13,223,0.135176186,0.099
7.1,13,225,0.105431424,0.15
7.5,13,227,0.057179233,0.153
7.9,13,229,0.034061811,0.146
9,13,231,5.17052975541889e-05,0.114
6.6,13,233,0.121538771,0.167
8,13,235,0.016140882,0.153
7.2,13,237,0.095033881,0.153
8.1,13,239,0.013852713,0.148
7.9,13,241,0.000880434,0.164
5.6,13,243,0.184120717,0.18
5.9,13,245,0.210432802,0.157
7.9,13,247,0.133393991,0.102
8,13,249,0.002724762,0.16
7.3,13,251,0.097537759,0.145
7.1,13,253,0.065543318,0.169
6.9,13,255,0.126540763,0.149
7.6,13,257,0.053368517,0.153
6.6,13,259,0.116502927,0.167
7.4,13,261,0.052157844,0.161
6.7,13,263,0.160705285,0.145
3.2,13,265,0.474323597,0.154
7.2,13,267,0.06464889,0.164
6.9,13,269,0.021894991,0.199
4.4,13,271,0.222092558,0.217
7.2,13,273,0.026741232,0.181
6.7,13,275,0.124207572,0.158
7.5,13,277,0.057360224,0.153
7,13,279,0.052759619,0.181
7.8,13,281,6.3237027747086e-05,0.167
4.9,13,283,0.193276165,0.21
7.7,13,285,0.042870107,0.154
6.8,13,287,0.083369065,0.176
8.4,13,289,0.000315932,0.141
8.1,13,291,0.016825366,0.149
6.9,13,293,0.075294855,0.174
6.6,13,295,0.137211225,0.16
7.5,13,297,0.109016598,0.13
6.4,13,299,0.133680742,0.17
8,13,301,0.012417277,0.152
7.1,13,303,0.129389806,0.138
7,13,305,0.083612761,0.165
7.6,13,307,0.011133161,0.171
7.4,13,309,0.03169862,0.173
NA,13,311,NA,0.148
6.8,13,313,0.133942942,0.153
7.5,13,315,0.051234105,0.159
7.6,13,317,0.068096726,0.147
7,13,319,0.114165,0.151
7.9,13,321,0.010400151,0.161
7.5,15,001,0.080926997,0.144
8.3,15,003,0.046191187,0.123
NA,15,005,NA,0.153
8.1,15,007,0.073890132,0.121
8.3,15,009,0.057595475,0.121
8.7,16,001,0.062386902,0.097
7.4,16,003,0.085972666,0.145
7.6,16,005,0.116068186,0.124
8.4,16,007,0.060621533,0.114
7.2,16,009,0.092419424,0.151
7.8,16,011,0.11527895,0.115
9.2,16,013,0.028301543,0.093
7.7,16,015,0.138485928,0.107
8.4,16,017,0.029258775,0.127
7.9,16,019,0.114043644,0.109
7.8,16,021,0.036410132,0.151
7.1,16,023,0.076475947,0.164
4.6,16,025,0.444695258,0.104
8.2,16,027,0.074324839,0.114
9.3,16,029,0.01377435,0.094
8.1,16,031,0.089599808,0.114
3.7,16,033,0.506963789,0.116
8,16,035,0.034415662,0.142
7.5,16,037,0.082770608,0.144
7.2,16,039,0.141455619,0.13
9,16,041,0.013047738,0.106
7.4,16,043,0.147552864,0.118
7.7,16,045,0.097258957,0.127
8.6,16,047,0.00305939,0.13
7.9,16,049,0.082333777,0.126
8.4,16,051,0.106065447,0.093
7.6,16,053,0.118080516,0.123
8.3,16,055,0.072947128,0.113
8.5,16,057,0.046064659,0.115
7.5,16,059,0.117692719,0.127
6.2,16,061,0.162886357,0.164
4.6,16,063,0.417857116,0.118
7.4,16,065,0.118968768,0.129
6.9,16,067,0.176464592,0.127
7.9,16,069,0.072386976,0.13
8.4,16,071,0.053018658,0.117
7.5,16,073,0.103817076,0.133
8.1,16,075,0.072393029,0.123
8.4,16,077,0.058773345,0.115
7.4,16,079,0.04135682,0.165
9.3,16,081,0.022345126,0.088
8.4,16,083,0.047142903,0.12
8,16,085,0.075468773,0.125
7.4,16,087,0.066484034,0.155
8.4,17,001,0.032027827,0.128
4.9,17,003,0.282740722,0.166
7.4,17,005,0.090412438,0.144
8.1,17,007,0.074435407,0.122
7.9,17,009,0.103480351,0.115
7.6,17,011,0.097949444,0.131
8.3,17,013,0.052582063,0.12
8.3,17,015,0.04482814,0.124
8.3,17,017,0.034067972,0.129
8.2,17,019,0.048140594,0.127
8.4,17,021,0.019461783,0.131
8,17,023,0.09773276,0.114
7.6,17,025,0.056117842,0.152
8.9,17,027,0.037409996,0.101
6.9,17,029,0.104100072,0.161
8.7,17,031,0.01766665,0.121
8.7,17,033,0.024233678,0.118
9,17,035,0.001449168,0.115
7.2,17,037,0.145853596,0.126
8.7,17,039,0.021567963,0.117
8.7,17,041,0.037038427,0.11
9.2,17,043,0.032133701,0.09
7.1,17,045,0.139203882,0.134
7.5,17,047,0.076453957,0.144
8.5,17,049,0.046380903,0.115
6.5,17,051,0.184199761,0.142
7.8,17,053,0.077705396,0.13
7,17,055,0.080329585,0.166
8.1,17,057,0.045239851,0.132
4.7,17,059,0.298704639,0.17
8.4,17,061,0.006320852,0.14
8.8,17,063,0.055315365,0.098
8.1,17,065,0.033775297,0.141
7.1,17,067,0.14116469,0.136
7.4,17,069,0.062019589,0.157
8.9,17,071,0.004891578,0.117
8.1,17,073,0.091630874,0.114
7.5,17,075,0.107198788,0.13
6.4,17,077,0.151358227,0.16
8.5,17,079,0.041269679,0.117
7.4,17,081,0.096857716,0.142
8.7,17,083,0.039483725,0.108
8.7,17,085,0.037906071,0.111
8.2,17,087,0.026241075,0.14
8.9,17,089,0.035024162,0.102
7.9,17,091,0.060683285,0.134
9.2,17,093,0.061358802,0.076
7.4,17,095,0.087116606,0.147
8.7,17,097,0.059520755,0.099
7.8,17,099,0.075213263,0.134
7.5,17,101,0.078899505,0.146
8,17,103,0.058449932,0.133
8.2,17,105,0.064947944,0.122
8,17,107,0.072243541,0.127
7.3,17,109,0.098259859,0.147
8.8,17,111,0.064111477,0.092
8.2,17,113,0.087810539,0.109
7.6,17,115,0.084771071,0.137
8.1,17,117,0.042088218,0.135
7.5,17,119,0.128676519,0.12
7.1,17,121,0.102097799,0.151
8.2,17,123,0.043452306,0.129
7,17,125,0.132433034,0.141
8,17,127,0.033952421,0.143
8.8,17,129,0.021440352,0.111
8.3,17,131,0.075076767,0.112
9.2,17,133,0.04942858,0.084
7.7,17,135,0.06479142,0.142
7.2,17,137,0.133597925,0.135
9.1,17,139,0.006139706,0.109
8.5,17,141,0.04031121,0.12
7.3,17,143,0.131901929,0.131
7.1,17,145,0.092315742,0.157
9.2,17,147,0.015941169,0.098
7.4,17,149,0.100705621,0.139
7,17,151,0.107190065,0.155
5.8,17,153,0.161004289,0.184
8.9,17,155,0.00047708,0.12
8.1,17,157,0.044954556,0.133
8.2,17,159,0.027143972,0.139
8,17,161,0.059855056,0.132
7.6,17,163,0.129936971,0.117
7.1,17,165,0.064578285,0.169
8.3,17,167,0.059575566,0.12
7.3,17,169,0.062275331,0.161
6.7,17,171,0.198217318,0.125
8.2,17,173,0.059708876,0.124
6.6,17,175,0.196932507,0.132
8.4,17,177,0.016959271,0.133
8.1,17,179,0.092754665,0.111
7.5,17,181,0.02900413,0.167
7.5,17,183,0.084771801,0.143
8.1,17,185,0.033265222,0.141
8.3,17,187,0.028487708,0.134
8.9,17,189,0.03582785,0.102
7.6,17,191,0.084024116,0.139
7.9,17,193,0.023276618,0.152
8.1,17,195,0.062593336,0.126
8.8,17,197,0.073496638,0.088
7.2,17,199,0.123142937,0.14
7.6,17,201,0.072745542,0.145
8.9,17,203,0.046875722,0.098
8.3,18,001,0.04746254,0.125
7.4,18,003,0.120879337,0.13
7.4,18,005,0.104861593,0.137
8.1,18,007,0.011039868,0.148
6.9,18,009,0.075438062,0.174
9.1,18,011,0.024650284,0.1
8.6,18,013,0.010610946,0.127
8.7,18,015,0.0044186,0.127
7.9,18,017,0.026853129,0.152
8.3,18,019,0.044652838,0.127
7.8,18,021,0.055556266,0.142
8.6,18,023,0.011805369,0.125
6.9,18,025,0.054922247,0.183
8.3,18,027,0.0265342,0.132
8,18,029,0.0827756,0.122
8.2,18,031,0.042517835,0.129
7.8,18,033,0.088495171,0.127
6.5,18,035,0.128346362,0.167
8.4,18,037,0.036563306,0.122
7.7,18,039,0.087184041,0.134
6.7,18,041,0.077296899,0.18
8.2,18,043,0.054646378,0.124
7.9,18,045,0.028497609,0.151
8.6,18,047,0.031759391,0.119
7.7,18,049,0.042112612,0.152
8.4,18,051,0.016102236,0.133
6.9,18,053,0.082507345,0.172
7.3,18,055,0.059716481,0.165
8.9,18,057,0.054837281,0.092
8.3,18,059,0.084532495,0.107
8.8,18,061,0.000168497,0.124
8.7,18,063,0.069774712,0.097
7.4,18,065,0.065562132,0.157
7.1,18,067,0.104391031,0.152
7.5,18,069,0.097390588,0.138
7.4,18,071,0.098124824,0.142
8.4,18,073,0.035126005,0.127
7,18,075,0.11172051,0.151
7.8,18,077,0.027069671,0.156
7,18,079,0.101727747,0.155
8.4,18,081,0.058401203,0.115
7.9,18,083,0.019309776,0.154
8.2,18,085,0.049058261,0.127
9,18,087,0.017284784,0.106
7.3,18,089,0.104362797,0.14
7.5,18,091,0.083313223,0.145
8,18,093,0.029283345,0.144
6.5,18,095,0.146969195,0.157
7.2,18,097,0.122343463,0.14
8.1,18,099,0.049324804,0.133
7.9,18,101,0.031408677,0.151
7,18,103,0.09780708,0.157
7.7,18,105,0.053460591,0.15
7.9,18,107,0.037659389,0.146
8.1,18,109,0.060714305,0.125
7.6,18,111,0.054043915,0.15
8.4,18,113,0.037111792,0.122
NA,18,115,NA,0.134
7.9,18,117,0.003938805,0.162
8.1,18,119,0.002655702,0.154
7.5,18,121,0.064743422,0.152
7.7,18,123,0.070656383,0.141
8.4,18,125,0.008508719,0.136
8,18,127,0.079451651,0.123
7.9,18,129,0.083932994,0.123
7.9,18,131,0.035631766,0.148
8.3,18,133,0.035391195,0.129
7.3,18,135,0.078572297,0.156
8.5,18,137,0.008124976,0.132
7.8,18,139,0.044335625,0.148
7.5,18,141,0.081587167,0.142
6.6,18,143,0.098410761,0.177
7.9,18,145,0.04856451,0.143
8.8,18,147,0.000134387,0.121
7.9,18,149,0.012797194,0.156
7.6,18,151,0.114592147,0.124
7.7,18,153,0.054341531,0.148
7.5,18,155,0.031143258,0.167
6.5,18,157,0.174369071,0.145
