statecode,countycode,v161_numerator,v161_denominator,v161_rawvalue,v161_otherdata1,v161_cilow,v161_cihigh,v161_sourceflag,v161_flag_CT
00,000,240216,1657819843,13.965489432852628,14.489873614089682,13.9083906879547,14.022588177750556,,
01,000,4131,25047358,16.20698540235883,16.492757439726777,15.698762875678813,16.715207929038844,,
01,001,46,291210,15.791566058664197,15.796160846124788,11.474176073011447,21.199440355343363,,
01,003,228,1191757,19.080098465541354,19.1314168911951,16.481819257966034,21.678377673116675,,
01,005,17,123530,12.801563697147175,13.761839229337005,7.164938022731446,21.114232517645906,,
01,007,19,110880,17.469979443173923,17.135642135642136,10.353817007476474,27.610099282114103,,
01,009,69,294074,24.264967077908615,23.46348198072594,18.727189312192145,30.927692439201568,,
01,011,,,,,,,,
01,013,16,94868,15.371814660023656,16.865539486444323,8.40391411628832,25.7912930227881,,
01,015,109,575263,18.531525891622888,18.94785515494652,14.934060827142325,22.12899095610345,,
01,017,33,168827,18.88752946501825,19.546636497716598,12.743336815910332,26.963122734626673,,
01,019,33,128454,23.630986966274776,25.690130319024707,15.702619223990288,34.15335566032993,,
01,021,30,226414,13.262115057293423,13.250064041976202,8.812579142235277,19.167448782667673,,
01,023,,,,,,,,
01,025,18,114525,17.666007391915645,15.717092337917483,10.291100318538698,28.284989167514556,,
01,027,15,68846,22.968479777871423,21.787758184934493,12.55708162660344,38.537206266195845,,
01,029,21,75965,27.42200177220232,27.64430987954979,16.509836393784965,42.82285259067241,,
01,031,51,270194,18.45725518759342,18.875326617171364,13.654778996413777,24.401470192541804,,
01,033,60,284520,20.533632255602004,21.08814846056516,15.468741925165178,26.72734481277893,,
01,035,13,57626,15.9695653523804,22.559261444486864,7.971949485908168,28.57396366420396,,
01,037,,,,,,,,
01,039,30,187057,16.66308149780719,16.037892193288677,11.072496643149375,24.082792208546756,,
01,041,,,,,,,,
01,043,93,440460,20.658422079108675,21.114289606320664,16.524071103992366,25.512983209501197,,
01,045,52,246888,21.357727579951725,21.062182042059558,15.800564439607628,28.236048514566388,,
01,047,21,183845,12.533216666053272,11.422665832630749,7.545815158328621,19.572170341022257,,
01,049,83,359551,22.815230809838152,23.084346865952256,18.005423364751138,28.515123922440008,,
01,051,73,432675,15.257136177648439,16.871785982550414,11.893686145513714,19.27647369812954,,
01,053,44,182837,22.832642725683154,24.06515092678178,16.385098627451114,30.975058033496527,,
01,055,102,514130,20.073425552049866,19.839340244685197,16.024901367597117,24.121949736502614,,
01,057,20,80776,24.41322534263612,24.759829652371995,14.46882456743284,38.583421216913955,,
01,059,22,158616,15.549320873084675,13.869975286225854,9.625274695563437,23.76878868848219,,
01,061,29,133154,22.593533841176693,21.779293149285788,14.889281167179321,32.872405532497204,,
01,063,,,,,,,,
01,065,13,73558,15.426845954322346,17.673128687566276,7.971276419205264,26.9475952913877,,
01,067,24,87441,26.003240915257795,27.44707860157135,16.096415967433725,39.74871594555016,,
01,069,104,536461,18.218187120281026,19.386311400083137,14.599104235225216,21.837270005336837,,
01,071,43,262339,14.253366896540948,16.391005531011402,10.135537217561827,19.484821763232034,,
01,073,460,3310039,13.804397612549202,13.897117224298565,12.516175583121797,15.092619641976608,,
01,075,,,,,,,,
01,077,84,472832,17.71104019408483,17.765295073091497,14.021997310242877,22.073240510247334,,
01,079,26,165587,17.430969277982367,15.70171571439787,11.280404249910559,25.731549225027575,,
01,081,118,872579,12.882309493537894,13.523130856919545,10.49598444784143,15.268634539234359,,
01,083,79,534214,13.830622789639452,14.788081180949955,10.878662183706371,17.336805430570752,,
01,085,,,,,,,,
01,087,,,,,,,,
