statecode,countycode,v050_race_AIAN,v050_race_asian,v050_race_black,v050_race_hispanic,v050_race_white,v050_race_flag_CT
00,000,0.29,0.34,0.4,0.3,0.46,
01,000,0.43,0.37,0.42,0.25,0.43,
01,001,,0.35,0.45,0.33,0.46,
01,003,,0.47,0.43,0.26,0.45,
01,005,,,0.4,,0.5,
01,007,,,0.29,,0.37,
01,009,,,0.27,,0.39,
01,011,,,0.39,,0.56,
01,013,,,0.41,,0.42,
01,015,,0.43,0.4,0.25,0.35,
01,017,,,0.28,,0.42,
01,019,,,0.45,,0.36,
01,021,,,0.39,,0.37,
01,023,,,0.46,,0.47,
01,025,,,0.33,,0.33,
01,027,,,,,0.41,
01,029,,,,,0.3,
01,031,,0.52,0.46,0.38,0.44,
01,033,,,0.39,,0.34,
01,035,,,0.34,,0.4,
01,037,,,0.4,,0.38,
01,039,,,0.37,,0.44,
01,041,,,0.5,,0.44,
01,043,,0.67,,0.25,0.51,
01,045,,0.44,0.47,0.47,0.39,
01,047,,,0.38,,0.44,
01,049,,,0.18,,0.34,
01,051,,0.32,0.51,,0.46,
01,053,0.38,,0.32,,0.36,
01,055,,,0.32,,0.28,
01,057,,,0.55,,0.39,
01,059,,,0.26,0.33,0.34,
01,061,,,0.26,,0.37,
01,063,,,0.37,,0.46,
01,065,,,0.38,,0.41,
01,067,,,0.38,,0.43,
01,069,,0.23,0.49,0.19,0.43,
01,071,,,0.43,,0.49,
01,073,,0.32,0.42,0.18,0.48,
01,075,,,0.61,,0.38,
01,077,,0.21,0.39,,0.39,
01,079,,,0.49,,0.38,
01,081,,0.32,0.43,0.42,0.49,
01,083,,0.36,0.46,0.2,0.45,
01,085,,,0.42,,0.4,
01,087,,,0.38,,0.37,
01,089,,0.42,0.49,0.32,0.5,
01,091,,,0.39,,0.41,
01,093,,,0.33,,0.4,
01,095,,0.41,0.5,0.15,0.37,
01,097,,0.3,0.36,0.19,0.4,
01,099,,,0.28,,0.45,
01,101,,0.33,0.47,0.38,0.49,
01,103,,0.28,0.37,0.27,0.4,
01,105,,,0.46,,0.35,
01,107,,,0.34,,0.42,
01,109,,,0.45,,0.43,
01,111,,,0.29,,0.3,
01,113,,0.23,0.43,0.14,0.43,
01,115,,0.27,0.47,,0.42,
01,117,,0.48,0.51,0.31,0.44,
01,119,,,0.53,,0.49,
01,121,,,0.36,,0.39,
01,123,,,0.32,,0.42,
01,125,,0.41,0.43,,0.46,
01,127,,,0.32,,0.43,
01,129,,,0.43,,0.38,
01,131,,,0.41,,0.39,
01,133,,,,,0.45,
02,000,0.27,0.28,0.32,0.3,0.39,
02,013,,,,,,
02,016,,,,,,
02,020,0.33,0.29,0.33,0.32,0.42,
02,050,0.04,,,,0.15,
02,060,0.33,,,,0.45,
02,063,,,,,,
02,066,,,,,,
02,068,,,,,,
02,070,0.28,,,,0.28,
02,090,0.41,0.25,0.35,0.27,0.41,
02,100,0.22,,,,0.4,
02,105,,,,,,
02,110,0.36,0.22,,0.15,0.42,
02,122,,,,,,
02,130,0.41,0.31,,,0.41,
02,150,0.38,0.2,,,0.28,
02,158,0.03,,,,,
02,164,,,,,,
02,170,0.41,0.36,0.25,0.3,0.38,
02,180,0.19,,,,0.43,
02,185,,,,,,
02,188,,,,,,
02,195,,,,,,
02,198,,,,,,
02,220,0.43,0.31,,,0.44,
02,230,0.23,,,,0.38,
02,240,0.33,,,,0.26,
02,275,,,,,,
02,282,,,,,,
02,290,0.42,,,,0.35,
04,000,0.22,0.38,0.39,0.32,0.45,
04,001,0.22,0.12,,0.18,0.23,
04,003,0.23,0.43,0.4,0.31,0.37,
04,005,0.23,0.34,0.46,0.24,0.37,
04,007,0.2,0.18,,0.39,0.38,
04,009,0.13,,,0.41,0.36,
04,011,,,,0.28,0.35,
04,012,0.14,,,0.21,0.26,
04,013,0.22,0.37,0.38,0.31,0.45,
04,015,0.22,0.4,0.49,0.32,0.41,
04,017,0.25,0.3,0.3,0.31,0.34,
04,019,0.13,0.45,0.46,0.38,0.54,
04,021,0.24,0.38,0.36,0.34,0.44,
04,023,,,,0.27,0.42,
04,025,0.4,0.41,0.38,0.38,0.43,
04,027,0.41,0.5,0.35,0.31,0.4,
05,000,0.41,0.32,0.42,0.24,0.41,
05,001,,,0.41,,0.36,
05,003,,,0.49,,0.38,
05,005,,,,,0.48,
05,007,0.42,0.33,0.28,0.22,0.46,
05,009,,,,,0.45,
05,011,,,0.38,,0.4,
05,013,,,0.22,,0.38,
05,015,,,,,0.38,
05,017,,,0.41,,0.43,
05,019,,,0.47,,0.42,
05,021,,,,,0.32,
05,023,,,,,0.42,
05,025,,,0.45,,0.38,
05,027,,,0.4,,0.37,
05,029,,,0.45,,0.38,
05,031,,0.25,0.46,0.24,0.47,
05,033,0.45,0.14,,0.27,0.48,
05,035,,0.29,0.41,,0.44,
