statecode,countycode,v139_numerator,v139_denominator,v139_rawvalue,v139_cilow,v139_cihigh,v139_sourceflag,v139_flag_CT
00,000,44151000,,0.135,,,,
01,000,884270,,0.174,,,,
01,001,8860,,0.151,,,,
01,003,34770,,0.149,,,,
01,005,4730,,0.19,,,,
01,007,4260,,0.191,,,,
01,009,10300,,0.174,,,,
01,011,1750,,0.169,,,,
01,013,3250,,0.171,,,,
01,015,21180,,0.182,,,,
01,017,5840,,0.169,,,,
01,019,4490,,0.179,,,,
01,021,7900,,0.175,,,,
01,023,2280,,0.18,,,,
01,025,4370,,0.189,,,,
01,027,2560,,0.18,,,,
01,029,2690,,0.178,,,,
01,031,9560,,0.178,,,,
01,033,10070,,0.176,,,,
01,035,1980,,0.171,,,,
01,037,1630,,0.158,,,,
01,039,7210,,0.192,,,,
01,041,2160,,0.164,,,,
01,043,15340,,0.174,,,,
01,045,9390,,0.19,,,,
01,047,7310,,0.191,,,,
01,049,13930,,0.194,,,,
01,051,12330,,0.141,,,,
01,053,7090,,0.193,,,,
01,055,18100,,0.175,,,,
01,057,3350,,0.205,,,,
01,059,5850,,0.183,,,,
01,061,5480,,0.206,,,,
01,063,1630,,0.211,,,,
01,065,2820,,0.191,,,,
01,067,2860,,0.166,,,,
01,069,18650,,0.174,,,,
01,071,10530,,0.2,,,,
01,073,102050,,0.152,,,,
01,075,2590,,0.187,,,,
01,077,15470,,0.164,,,,
01,079,5970,,0.18,,,,
01,081,27170,,0.155,,,,
01,083,15400,,0.148,,,,
01,085,1820,,0.18,,,,
01,087,3170,,0.165,,,,
01,089,54270,,0.139,,,,
01,091,3400,,0.177,,,,
01,093,5850,,0.2,,,,
01,095,17210,,0.176,,,,
01,097,67610,,0.163,,,,
01,099,3690,,0.186,,,,
01,101,36550,,0.16,,,,
01,103,20170,,0.164,,,,
01,105,1820,,0.214,,,,
01,107,3640,,0.193,,,,
01,109,5600,,0.17,,,,
01,111,4070,,0.184,,,,
01,113,11030,,0.188,,,,
01,115,13970,,0.152,,,,
01,117,27890,,0.125,,,,
01,119,2280,,0.187,,,,
01,121,14660,,0.181,,,,
01,123,7260,,0.176,,,,
01,125,35110,,0.152,,,,
01,127,12700,,0.195,,,,
01,129,2500,,0.162,,,,
01,131,2070,,0.198,,,,
01,133,4730,,0.2,,,,
02,000,93620,,0.128,,,,
02,013,420,,0.122,,,,
02,016,670,,0.128,,,,
02,020,32410,,0.112,,,,
02,050,3740,,0.202,,,,
02,060,120,,0.135,,,,
02,063,770,,0.11,,,,
02,066,430,,0.166,,,,
02,068,220,,0.106,,,,
02,070,740,,0.153,,,,
02,090,10730,,0.111,,,,
02,100,270,,0.127,,,,
02,105,350,,0.149,,,,
02,110,3350,,0.104,,,,
02,122,8030,,0.136,,,,
02,130,1740,,0.125,,,,
02,150,1520,,0.116,,,,
02,158,2110,,0.252,,,,
02,164,150,,0.152,,,,
02,170,13390,,0.123,,,,
02,180,1760,,0.175,,,,
02,185,1430,,0.131,,,,
02,188,1350,,0.176,,,,
02,195,410,,0.123,,,,
02,198,960,,0.166,,,,
02,220,940,,0.111,,,,
02,230,160,,0.126,,,,
02,240,1030,,0.149,,,,
02,275,320,,0.148,,,,
02,282,80,,0.134,,,,
02,290,1040,,0.195,,,,
04,000,963130,,0.131,,,,
04,001,14180,,0.215,,,,
04,003,18550,,0.148,,,,
04,005,20820,,0.144,,,,
04,007,9000,,0.168,,,,
04,009,5620,,0.146,,,,
04,011,1290,,0.136,,,,
04,012,3110,,0.186,,,,
04,013,530930,,0.12,,,,
04,015,35030,,0.164,,,,
04,017,20340,,0.19,,,,
04,019,146200,,0.14,,,,
04,021,53400,,0.123,,,,
04,023,8430,,0.176,,,,
04,025,32260,,0.136,,,,
04,027,38510,,0.188,,,,
05,000,567110,,0.186,,,,
05,001,3060,,0.18,,,,
05,003,4080,,0.214,,,,
05,005,8220,,0.197,,,,
05,007,40000,,0.14,,,,
05,009,6830,,0.181,,,,
05,011,1900,,0.182,,,,
05,013,780,,0.164,,,,
05,015,4940,,0.174,,,,
05,017,2170,,0.212,,,,
05,019,4070,,0.19,,,,
05,021,3010,,0.207,,,,
05,023,4720,,0.189,,,,
05,025,1320,,0.175,,,,
05,027,4340,,0.191,,,,
05,029,4370,,0.211,,,,
05,031,20760,,0.187,,,,
05,033,11670,,0.193,,,,
05,035,8170,,0.17,,,,
05,037,3280,,0.195,,,,
05,039,1080,,0.166,,,,
05,041,2320,,0.206,,,,
05,043,3220,,0.186,,,,
05,045,20640,,0.166,,,,
05,047,3650,,0.213,,,,
05,049,2320,,0.191,,,,
05,051,19560,,0.196,,,,
05,053,3150,,0.175,,,,
05,055,9150,,0.199,,,,
05,057,3870,,0.193,,,,
05,059,6770,,0.204,,,,
05,061,2300,,0.18,,,,
05,063,7650,,0.202,,,,
05,065,3050,,0.222,,,,
05,067,3620,,0.216,,,,
05,069,11390,,0.17,,,,
05,071,5510,,0.212,,,,
05,073,1220,,0.194,,,,
05,075,3390,,0.208,,,,
05,077,1810,,0.209,,,,
05,079,2230,,0.171,,,,
05,081,1890,,0.157,,,,
05,083,4080,,0.192,,,,
05,085,12050,,0.162,,,,
05,087,3080,,0.184,,,,
05,089,3480,,0.206,,,,
05,091,8210,,0.192,,,,
05,093,8100,,0.201,,,,
05,095,1380,,0.203,,,,
05,097,1850,,0.216,,,,
05,099,1780,,0.215,,,,
05,101,1240,,0.171,,,,
05,103,4180,,0.185,,,,
05,105,1940,,0.193,,,,
05,107,3630,,0.222,,,,
05,109,2050,,0.201,,,,
05,111,4970,,0.216,,,,
05,113,3830,,0.197,,,,
05,115,12180,,0.192,,,,
05,117,1370,,0.167,,,,
05,119,65010,,0.163,,,,
05,121,3820,,0.205,,,,
05,123,4840,,0.209,,,,
05,125,18430,,0.149,,,,
05,127,1930,,0.195,,,,
05,129,1930,,0.245,,,,
05,131,25120,,0.196,,,,
05,133,3170,,0.199,,,,
05,135,3460,,0.199,,,,
05,137,2860,,0.23,,,,
05,139,6750,,0.174,,,,
05,141,3380,,0.212,,,,
05,143,41070,,0.166,,,,
05,145,14420,,0.187,,,,
05,147,1100,,0.176,,,,
05,149,3660,,0.18,,,,
06,000,4915450,,0.126,,,,
06,001,159150,,0.096,,,,
06,003,190,,0.123,,,,
06,005,4510,,0.111,,,,
06,007,31210,,0.146,,,,
06,009,5980,,0.131,,,,
06,011,3400,,0.156,,,,
06,013,107300,,0.092,,,,
06,015,4000,,0.146,,,,
06,017,19020,,0.099,,,,
06,019,163290,,0.162,,,,
06,021,4050,,0.141,,,,
06,023,21520,,0.158,,,,
06,025,37760,,0.21,,,,
06,027,2440,,0.129,,,,
06,029,144060,,0.159,,,,
06,031,22970,,0.151,,,,
06,033,10480,,0.154,,,,
06,035,4370,,0.137,,,,
06,037,1314070,,0.132,,,,
06,039,24880,,0.158,,,,
06,041,22650,,0.087,,,,
06,043,2450,,0.143,,,,
06,045,13760,,0.151,,,,
06,047,46740,,0.166,,,,
06,049,1310,,0.151,,,,
06,051,1370,,0.103,,,,
06,053,56940,,0.13,,,,
06,055,13740,,0.1,,,,
06,057,11340,,0.111,,,,
06,059,330460,,0.104,,,,
06,061,36350,,0.089,,,,
06,063,2620,,0.133,,,,
06,065,269660,,0.111,,,,
06,067,186690,,0.118,,,,
06,069,6840,,0.106,,,,
06,071,265220,,0.122,,,,
06,073,358890,,0.109,,,,
06,075,95450,,0.112,,,,
06,077,98860,,0.127,,,,
06,079,30120,,0.107,,,,
06,081,63940,,0.085,,,,
06,083,52630,,0.118,,,,
06,085,168960,,0.088,,,,
06,087,31230,,0.116,,,,
06,089,25280,,0.139,,,,
06,091,370,,0.126,,,,
06,093,6810,,0.155,,,,
06,095,45290,,0.1,,,,
06,097,51320,,0.105,,,,
06,099,74860,,0.136,,,,
06,101,14180,,0.143,,,,
06,103,9940,,0.152,,,,
06,105,2560,,0.161,,,,
06,107,78780,,0.166,,,,
06,109,7360,,0.134,,,,
06,111,88360,,0.105,,,,
06,113,26620,,0.123,,,,
06,115,11830,,0.145,,,,
08,000,671340,,0.115,,,,
08,001,60200,,0.116,,,,
08,003,2460,,0.149,,,,
08,005,67430,,0.103,,,,
08,007,1630,,0.12,,,,
08,009,600,,0.172,,,,
08,011,1080,,0.195,,,,
08,013,34460,,0.105,,,,
08,014,6860,,0.093,,,,
08,015,2460,,0.126,,,,
08,017,190,,0.112,,,,
08,019,960,,0.102,,,,
08,021,1110,,0.147,,,,
08,023,690,,0.195,,,,
08,025,1080,,0.187,,,,
08,027,520,,0.107,,,,
08,029,4720,,0.151,,,,
08,031,88660,,0.125,,,,
08,033,300,,0.129,,,,
08,035,27270,,0.076,,,,
08,037,5510,,0.099,,,,
08,039,1910,,0.072,,,,
08,041,83680,,0.115,,,,
08,043,7530,,0.153,,,,
08,045,6550,,0.106,,,,
08,047,640,,0.109,,,,
08,049,1580,,0.101,,,,
08,051,1770,,0.104,,,,
08,053,100,,0.114,,,,
08,055,1270,,0.184,,,,
08,057,230,,0.157,,,,
08,059,58370,,0.101,,,,
08,061,170,,0.124,,,,
08,063,880,,0.125,,,,
08,065,790,,0.106,,,,
08,067,6650,,0.119,,,,
08,069,39900,,0.111,,,,
08,071,2580,,0.179,,,,
08,073,720,,0.129,,,,
08,075,2760,,0.13,,,,
08,077,20190,,0.129,,,,
08,079,100,,0.123,,,,
08,081,1880,,0.142,,,,
08,083,3560,,0.136,,,,
08,085,5480,,0.128,,,,
08,087,3690,,0.127,,,,
08,089,3530,,0.19,,,,
08,091,510,,0.104,,,,
08,093,1670,,0.095,,,,
08,095,600,,0.133,,,,
08,097,1860,,0.108,,,,
08,099,1870,,0.156,,,,
08,101,27070,,0.161,,,,
08,103,880,,0.135,,,,
08,105,1510,,0.132,,,,
08,107,2400,,0.096,,,,
08,109,970,,0.151,,,,
08,111,100,,0.151,,,,
08,113,880,,0.109,,,,
08,115,380,,0.158,,,,
08,117,2830,,0.091,,,,
08,119,2650,,0.107,,,,
08,121,550,,0.114,,,,
08,123,37270,,0.112,,,,
08,125,1240,,0.125,,,,
09,000,468150,,0.129,,,,
09,001,,,,,,,U
09,003,,,,,,,U
09,005,,,,,,,U
09,007,,,,,,,U
09,009,,,,,,,U
09,011,,,,,,,U
09,013,,,,,,,U
09,015,,,,,,,U
09,110,127950,,0.131,,,,A
09,120,48960,,0.15,,,,A
09,130,17950,,0.102,,,,A
09,140,61370,,0.136,,,,A
09,150,12150,,0.127,,,,A
09,160,14270,,0.127,,,,A
09,170,77120,,0.135,,,,A
09,180,37660,,0.134,,,,A
09,190,68750,,0.111,,,,A
10,000,120130,,0.118,,,,
10,001,25060,,0.137,,,,
10,003,68260,,0.12,,,,
10,005,32050,,0.133,,,,
11,000,74070,,0.11,,,,
11,001,74070,,0.11,,,,
12,000,2935330,,0.132,,,,
12,001,38060,,0.136,,,,
12,003,3550,,0.127,,,,
12,005,25270,,0.14,,,,
12,007,4240,,0.153,,,,
12,009,73940,,0.121,,,,
12,011,220130,,0.113,,,,
12,013,2350,,0.171,,,,
12,015,26170,,0.138,,,,
12,017,24340,,0.157,,,,
12,019,24300,,0.111,,,,
12,021,44430,,0.117,,,,
12,023,10350,,0.148,,,,
12,027,6370,,0.186,,,,
12,029,2700,,0.162,,,,
12,031,126370,,0.127,,,,
12,033,44240,,0.138,,,,
12,035,14250,,0.121,,,,
12,037,2080,,0.17,,,,
12,039,6750,,0.154,,,,
12,041,2590,,0.143,,,,
12,043,2020,,0.166,,,,
12,045,2020,,0.135,,,,
12,047,2330,,0.172,,,,
12,049,4990,,0.196,,,,
12,051,6740,,0.169,,,,
12,053,27840,,0.142,,,,
12,055,15990,,0.156,,,,
12,057,186690,,0.127,,,,
12,059,3030,,0.155,,,,
12,061,20640,,0.128,,,,
12,063,7340,,0.154,,,,
12,065,2060,,0.142,,,,
12,067,1280,,0.158,,,,
12,069,46600,,0.12,,,,
12,071,98410,,0.127,,,,
12,073,37850,,0.129,,,,
12,075,6510,,0.15,,,,
12,077,1340,,0.174,,,,
12,079,2690,,0.149,,,,
12,081,49370,,0.122,,,,
12,083,52320,,0.138,,,,
12,085,19230,,0.121,,,,
12,086,369180,,0.137,,,,
12,087,10100,,0.123,,,,
12,089,10790,,0.118,,,,
12,091,26100,,0.123,,,,
12,093,6310,,0.158,,,,
12,095,177180,,0.124,,,,
12,097,53750,,0.137,,,,
12,099,173180,,0.116,,,,
12,101,75630,,0.133,,,,
12,103,123330,,0.128,,,,
12,105,101170,,0.137,,,,
12,107,12760,,0.173,,,,
12,109,26960,,0.097,,,,
12,111,41100,,0.123,,,,
12,113,21970,,0.116,,,,
12,115,51990,,0.118,,,,
12,117,53020,,0.112,,,,
12,119,16700,,0.127,,,,
12,121,6540,,0.149,,,,
12,123,3020,,0.141,,,,
12,125,2220,,0.143,,,,
12,127,74900,,0.134,,,,
12,129,3250,,0.096,,,,
12,131,9650,,0.126,,,,
12,133,4290,,0.171,,,,
13,000,1426880,,0.131,,,,
13,001,3310,,0.18,,,,
13,003,1550,,0.188,,,,
13,005,2080,,0.187,,,,
13,007,460,,0.161,,,,
13,009,6610,,0.151,,,,
13,011,2830,,0.154,,,,
13,013,10240,,0.121,,,,
13,015,14230,,0.13,,,,
13,017,3060,,0.178,,,,
13,019,3440,,0.189,,,,
13,021,26060,,0.166,,,,
13,023,2010,,0.162,,,,
13,025,3020,,0.167,,,,
13,027,2920,,0.179,,,,
13,029,5040,,0.112,,,,
13,031,12350,,0.155,,,,
13,033,3470,,0.143,,,,
13,035,3510,,0.137,,,,
13,037,900,,0.16,,,,
13,039,8370,,0.152,,,,
13,043,1820,,0.166,,,,
13,045,17750,,0.148,,,,
13,047,9430,,0.139,,,,
13,049,1990,,0.159,,,,
13,051,38460,,0.13,,,,
13,053,1610,,0.171,,,,
13,055,4540,,0.182,,,,
13,057,28950,,0.108,,,,
13,059,21590,,0.168,,,,
13,061,490,,0.171,,,,
13,063,35260,,0.119,,,,
13,065,1340,,0.199,,,,
13,067,77610,,0.101,,,,
13,069,7060,,0.164,,,,
13,071,8210,,0.179,,,,
13,073,17060,,0.109,,,,
13,075,2940,,0.17,,,,
13,077,16540,,0.112,,,,
13,079,1970,,0.162,,,,
13,081,3700,,0.183,,,,
13,083,2110,,0.13,,,,
13,085,3490,,0.128,,,,
13,087,4960,,0.171,,,,
13,089,85470,,0.112,,,,
13,091,3610,,0.181,,,,
13,093,1710,,0.152,,,,
13,095,14120,,0.166,,,,
13,097,15250,,0.105,,,,
13,099,1610,,0.149,,,,
13,101,500,,0.136,,,,
13,103,6970,,0.107,,,,
13,105,3150,,0.161,,,,
13,107,4160,,0.182,,,,
13,109,1770,,0.164,,,,
13,111,3960,,0.156,,,,
13,113,10670,,0.09,,,,
13,115,16260,,0.165,,,,
13,117,23610,,0.093,,,,
13,119,3970,,0.169,,,,
13,121,123800,,0.117,,,,
13,123,5180,,0.164,,,,
13,125,450,,0.156,,,,
13,127,12010,,0.142,,,,
13,129,8820,,0.153,,,,
13,131,4200,,0.161,,,,
13,133,2300,,0.121,,,,
13,135,102630,,0.107,,,,
13,137,7150,,0.154,,,,
13,139,28740,,0.14,,,,
13,141,1460,,0.17,,,,
13,143,4550,,0.151,,,,
13,145,3880,,0.111,,,,
13,147,3610,,0.138,,,,
13,149,2060,,0.18,,,,
13,151,21220,,0.088,,,,
13,153,18900,,0.115,,,,
13,155,1490,,0.157,,,,
13,157,9140,,0.119,,,,
13,159,2020,,0.136,,,,
13,161,2800,,0.19,,,,
13,163,2230,,0.143,,,,
13,165,1640,,0.188,,,,
13,167,1550,,0.168,,,,
13,169,3690,,0.13,,,,
13,171,2400,,0.128,,,,
13,173,2090,,0.21,,,,
13,175,8620,,0.174,,,,
13,177,3640,,0.11,,,,
13,179,9210,,0.14,,,,
13,181,1210,,0.157,,,,
13,183,2750,,0.164,,,,
13,185,18010,,0.152,,,,
13,187,4380,,0.131,,,,
13,189,2950,,0.136,,,,
13,191,1830,,0.164,,,,
13,193,2050,,0.17,,,,
13,195,5380,,0.177,,,,
13,197,1060,,0.141,,,,
13,199,3600,,0.174,,,,
13,201,1040,,0.175,,,,
13,205,4150,,0.192,,,,
13,207,3750,,0.133,,,,
13,209,1290,,0.149,,,,
13,211,2310,,0.115,,,,
13,213,6230,,0.155,,,,
13,215,32060,,0.157,,,,
13,217,13290,,0.117,,,,
13,219,4040,,0.096,,,,
13,221,1900,,0.127,,,,
13,223,16830,,0.099,,,,
13,225,4220,,0.15,,,,
13,227,5110,,0.153,,,,
13,229,2890,,0.146,,,,
13,231,2190,,0.114,,,,
13,233,7160,,0.167,,,,
13,235,1510,,0.153,,,,
13,237,3390,,0.153,,,,
13,239,320,,0.148,,,,
13,241,2780,,0.164,,,,
13,243,1140,,0.18,,,,
13,245,32320,,0.157,,,,
13,247,9520,,0.102,,,,
13,249,730,,0.16,,,,
13,251,2040,,0.145,,,,
13,253,1540,,0.169,,,,
13,255,10080,,0.149,,,,
13,257,4090,,0.153,,,,
13,259,850,,0.167,,,,
13,261,4730,,0.161,,,,
13,263,840,,0.145,,,,
13,265,250,,0.154,,,,
13,267,3980,,0.164,,,,
13,269,1550,,0.199,,,,
13,271,2730,,0.217,,,,
13,273,1630,,0.181,,,,
13,275,7200,,0.158,,,,
13,277,6300,,0.153,,,,
13,279,4890,,0.181,,,,
13,281,2090,,0.167,,,,
13,283,1350,,0.21,,,,
13,285,10690,,0.154,,,,
13,287,1570,,0.176,,,,
13,289,1120,,0.141,,,,
13,291,3710,,0.149,,,,
13,293,4810,,0.174,,,,
13,295,10920,,0.16,,,,
13,297,12700,,0.13,,,,
13,299,6120,,0.17,,,,
13,301,790,,0.152,,,,
13,303,2760,,0.138,,,,
13,305,4990,,0.165,,,,
13,307,400,,0.171,,,,
13,309,1310,,0.173,,,,
13,311,4170,,0.148,,,,
13,313,15720,,0.153,,,,
13,315,1410,,0.159,,,,
13,317,1420,,0.147,,,,
13,319,1340,,0.151,,,,
13,321,3330,,0.161,,,,
15,000,188280,,0.131,,,,
15,001,29030,,0.144,,,,
15,003,124550,,0.123,,,,
15,005,10,,0.153,,,,
15,007,8920,,0.121,,,,
15,009,19990,,0.121,,,,
16,000,220990,,0.114,,,,
16,001,48120,,0.097,,,,
16,003,650,,0.145,,,,
16,005,10820,,0.124,,,,
16,007,730,,0.114,,,,
16,009,1470,,0.151,,,,
16,011,5540,,0.115,,,,
16,013,2250,,0.093,,,,
16,015,830,,0.107,,,,
16,017,6080,,0.127,,,,
16,019,13530,,0.109,,,,
16,021,1860,,0.151,,,,
16,023,430,,0.164,,,,
16,025,120,,0.104,,,,
16,027,26680,,0.114,,,,
16,029,660,,0.094,,,,
16,031,2830,,0.114,,,,
16,033,90,,0.116,,,,
16,035,1250,,0.142,,,,
16,037,630,,0.144,,,,
16,039,3740,,0.13,,,,
16,041,1520,,0.106,,,,
16,043,1600,,0.118,,,,
16,045,2450,,0.127,,,,
16,047,2010,,0.13,,,,
