statecode,countycode,v057_numerator,v057_denominator,v057_rawvalue,v057_flag_CT
00,000,169165495,334914895,0.5050999448680836,NA
01,000,2629215,5108468,0.5146777859820204,NA
01,001,31065,60342,0.5148155513572636,NA
01,003,130010,253507,0.5128457991298071,NA
01,005,11519,24585,0.46853772625584705,NA
01,007,10338,21868,0.4727455642948601,NA
01,009,30060,59816,0.5025411261201016,NA
01,011,4437,9897,0.4483176720218248,NA
01,013,9783,18382,0.5322054183440322,NA
01,015,60010,116429,0.515421415626691,NA
01,017,17987,34079,0.5278030458640218,NA
01,019,12833,25666,0.5,NA
01,021,23612,46431,0.5085395533156727,NA
01,023,6417,12252,0.5237512242899118,NA
01,025,11756,22337,0.5263016519675874,NA
01,027,7236,14111,0.5127914393026717,NA
01,029,7886,15639,0.5042521900377261,NA
01,031,28062,55643,0.504322196862139,NA
01,033,30366,58361,0.5203132228714381,NA
01,035,5769,11174,0.5162878109897977,NA
01,037,5076,10268,0.49435138293728087,NA
01,039,19658,37952,0.5179700674536256,NA
01,041,6673,13101,0.509350431264789,NA
01,043,46195,92016,0.5020322552599548,NA
01,045,25407,49871,0.5094543923322171,NA
01,047,19330,36165,0.5344946771740633,NA
01,049,36291,72569,0.5000895699265526,NA
01,051,46447,90441,0.5135613272741345,NA
01,053,18279,36558,0.5,NA
01,055,53124,103241,0.5145630127565599,NA
01,057,8089,15967,0.5066073777165404,NA
01,059,15884,31802,0.49946544242500474,NA
01,061,13752,26988,0.5095598043574923,NA
01,063,3925,7341,0.5346683013213459,NA
01,065,7853,14888,0.5274717893605588,NA
01,067,9299,17899,0.5195262305156713,NA
01,069,56487,108462,0.5207999114897384,NA
01,071,27051,53467,0.50593824228028506,NA
01,073,348759,662895,0.5261149955875365,NA
01,075,6906,13661,0.5055266817948906,NA
01,077,50264,96814,0.5191811101700168,NA
01,079,17101,33502,0.5104471374843292,NA
01,081,92891,183215,0.5070054307780476,NA
01,083,57128,114654,0.49826434315418566,NA
01,085,5096,9717,0.5244417001132037,NA
01,087,10049,18370,0.5470332063146435,NA
01,089,209401,412600,0.507515753756665,NA
01,091,9818,18684,0.5254763433954185,NA
01,093,14666,29244,0.5015045821365066,NA
01,095,50806,100756,0.5042478859819762,NA
01,097,215078,411640,0.5224905257020698,NA
01,099,10028,19229,0.5215039783660097,NA
01,101,119390,224980,0.5306693928349187,NA
01,103,63147,125133,0.5046390640358659,NA
01,105,4146,7738,0.5357973636598604,NA
01,107,9176,18688,0.4910102739726027,NA
01,109,17324,33137,0.5227992878051725,NA
01,111,11624,22786,0.5101378039146844,NA
01,113,30821,58744,0.5246663489037178,NA
01,115,48211,95552,0.5045524949765573,NA
01,117,119603,233000,0.5133175965665236,NA
01,119,6325,11727,0.5393536283789545,NA
01,121,41676,81132,0.5136814080757285,NA
01,123,20798,40677,0.5112963099540281,NA
01,125,123050,237373,0.5183824613582843,NA
01,127,33175,64728,0.5125293536027685,NA
01,129,7626,15022,0.5076554386899215,NA
01,131,5308,9944,0.5337892196299276,NA
01,133,11858,23611,0.5022235398754817,NA
02,000,348061,733406,0.4745816096404993,NA
02,013,1030,3461,0.2976018491765386,NA
02,016,1521,5160,0.2947674418604651,NA
02,020,139759,286075,0.48853971860526085,NA
