statecode,countycode,v051_rawvalue,v051_flag_CT
00,000,334914895,NA
01,000,5108468,NA
01,001,60342,NA
01,003,253507,NA
01,005,24585,NA
01,007,21868,NA
01,009,59816,NA
01,011,9897,NA
01,013,18382,NA
01,015,116429,NA
01,017,34079,NA
01,019,25666,NA
01,021,46431,NA
01,023,12252,NA
01,025,22337,NA
01,027,14111,NA
01,029,15639,NA
01,031,55643,NA
01,033,58361,NA
01,035,11174,NA
01,037,10268,NA
01,039,37952,NA
01,041,13101,NA
01,043,92016,NA
01,045,49871,NA
01,047,36165,NA
01,049,72569,NA
01,051,90441,NA
01,053,36558,NA
01,055,103241,NA
01,057,15967,NA
01,059,31802,NA
01,061,26988,NA
01,063,7341,NA
01,065,14888,NA
01,067,17899,NA
01,069,108462,NA
01,071,53467,NA
01,073,662895,NA
01,075,13661,NA
01,077,96814,NA
01,079,33502,NA
01,081,183215,NA
01,083,114654,NA
01,085,9717,NA
01,087,18370,NA
01,089,412600,NA
01,091,18684,NA
01,093,29244,NA
01,095,100756,NA
01,097,411640,NA
01,099,19229,NA
01,101,224980,NA
01,103,125133,NA
01,105,7738,NA
01,107,18688,NA
01,109,33137,NA
01,111,22786,NA
01,113,58744,NA
01,115,95552,NA
01,117,233000,NA
01,119,11727,NA
01,121,81132,NA
01,123,40677,NA
01,125,237373,NA
01,127,64728,NA
01,129,15022,NA
01,131,9944,NA
01,133,23611,NA
02,000,733406,NA
02,013,3461,NA
02,016,5160,NA
02,020,286075,NA
02,050,18224,NA
02,060,844,NA
02,063,6769,NA
02,066,2674,NA
02,068,1584,NA
02,070,4607,NA
02,090,94840,NA
02,100,2070,NA
02,105,2262,NA
02,110,31555,NA
02,122,61223,NA
02,130,13738,NA
02,150,12565,NA
02,158,8001,NA
02,164,1331,NA
02,170,115239,NA
02,180,9763,NA
02,185,10603,NA
02,188,7361,NA
02,195,3427,NA
02,198,5696,NA
02,220,8282,NA
02,230,1095,NA
02,240,7077,NA
02,275,2064,NA
02,282,687,NA
02,290,5129,NA
04,000,7431344,NA
04,001,65036,NA
04,003,124640,NA
04,005,144472,NA
04,007,54003,NA
04,009,39525,NA
04,011,9369,NA
04,012,16710,NA
04,013,4585871,NA
04,015,223682,NA
04,017,109175,NA
04,019,1063162,NA
04,021,484239,NA
04,023,49158,NA
04,025,249081,NA
04,027,213221,NA
05,000,3067732,NA
05,001,16307,NA
05,003,18262,NA
05,005,42875,NA
05,007,311013,NA
05,009,38530,NA
05,011,10104,NA
05,013,4641,NA
05,015,28814,NA
05,017,9538,NA
05,019,21274,NA
05,021,14201,NA
05,023,25445,NA
05,025,7378,NA
05,027,22150,NA
05,029,21077,NA
05,031,113993,NA
05,033,61891,NA
05,035,47139,NA
05,037,16420,NA
05,039,6185,NA
05,041,10479,NA
05,043,16945,NA
05,045,129951,NA
05,047,17468,NA
05,049,12421,NA
05,051,99784,NA
05,053,18383,NA
05,055,46743,NA
05,057,19343,NA
05,059,33258,NA
05,061,12533,NA
05,063,38320,NA
05,065,14169,NA
05,067,16784,NA
05,069,63661,NA
05,071,26129,NA
05,073,6095,NA
05,075,16318,NA
05,077,8201,NA
05,079,12898,NA
05,081,11805,NA
05,083,21400,NA
05,085,75944,NA
05,087,17775,NA
05,089,17514,NA
05,091,42415,NA
05,093,38663,NA
05,095,6512,NA
05,097,8620,NA
05,099,8120,NA
05,101,7071,NA
05,103,21793,NA
05,105,10184,NA
05,107,14961,NA
05,109,10208,NA
05,111,22397,NA
05,113,19436,NA
05,115,64593,NA
05,117,8036,NA
05,119,400009,NA
05,121,18907,NA
05,123,22101,NA
05,125,129574,NA
05,127,9851,NA
05,129,7806,NA
05,131,129098,NA
