"","v133_rawvalue","statecode","countycode","v133_numerator","v133_denominator"
"132",5.1,"05","039",0.267926277559083,0.166
"133",5.2,"05","041",0.166131515337473,0.206
"134",6.5,"05","043",0.0920060508110088,0.186
"135",6.6,"05","045",0.119153985713645,0.166
"136",6.6,"05","047",0.0188945219314745,0.213
"137",6.7,"05","049",0.0593383121982599,0.191
"138",6.1,"05","051",0.106540740602857,0.196
"139",6.4,"05","053",0.124647592461621,0.175
"140",6.4,"05","055",0.0665071784924361,0.199
"141",5.6,"05","057",0.161088828143459,0.193
"142",5.8,"05","059",0.112131075353212,0.204
"143",5.9,"05","061",0.161200746346718,0.18
"144",6.4,"05","063",0.0609588143943338,0.202
"145",6.6,"05","065",0.00321216264620686,0.222
"146",5.3,"05","067",0.142693198563366,0.216
"147",6.7,"05","069",0.10606394868277,0.17
"148",5.5,"05","071",0.133292775566713,0.212
"149",6.1,"05","073",0.113577026362814,0.194
"150",5.2,"05","075",0.168136652681644,0.208
"151",4.8,"05","077",0.202868183569093,0.209
"152",5.9,"05","079",0.175038211978843,0.171
"153",7.9,"05","081",0.00987279787136703,0.157
"154",6.4,"05","083",0.0859997700862075,0.192
"155",7.4,"05","085",0.05296756825657,0.162
"156",6.3,"05","087",0.109862309166671,0.184
"157",6.6,"05","089",0.0320875659589764,0.206
"158",6,"05","091",0.122464157669353,0.192
"159",6.1,"05","093",0.0899442788767373,0.201
"160",5.5,"05","095",0.149839698176968,0.203
"161",5.7,"05","097",0.105365059231998,0.216
"162",3.9,"05","099",0.273622813495707,0.215
"163",6.6,"05","101",0.113547134732697,0.171
"164",5.5,"05","103",0.181491470841664,0.185
"165",6.7,"05","105",0.0530589656350319,0.193
"166",4.6,"05","107",0.189356576675709,0.222
"167",6.1,"05","109",0.0937283495733406,0.201
"168",5.7,"05","111",0.103256578924249,0.216
"169",5.4,"05","113",0.169463209310165,0.197
"170",6.3,"05","115",0.0937061471028566,0.192
"171",7.6,"05","117",0.021533284376461,0.167
"172",6.6,"05","119",0.128814554089659,0.163
"173",6,"05","121",0.0937976948700691,0.205
"174",4.9,"05","123",0.192963379322189,0.209
"175",7.4,"05","125",0.0768625355306894,0.149
"176",5.1,"05","127",0.208100977760023,0.195
"177",4.6,"05","129",0.146403970969547,0.245
"178",6.6,"05","131",0.0549211400612018,0.196
"179",5.7,"05","133",0.133954015576102,0.199
"180",5.3,"05","135",0.179947785500057,0.199
"181",5.3,"05","137",0.108406952972655,0.23
"182",6.4,"05","139",0.122015618000388,0.174
"183",6.1,"05","141",0.0672854626842826,0.212
"184",7.3,"05","143",0.0530293426456414,0.166
"185",6.4,"05","145",0.0911911173238245,0.187
"186",7.3,"05","147",0.0322731121796796,0.176
"187",6.7,"05","149",0.0777911375844328,0.18
"188",9.3,"06","001",0.0111739928300734,0.096
"189",7.1,"06","003",0.167851385188902,0.123
"190",9.1,"06","005",0.000956320635134528,0.111
"191",7.6,"06","007",0.0645086739721544,0.146
"192",8,"06","009",0.0598950276631585,0.131
"193",6.8,"06","011",0.123562541559878,0.156
"194",9.2,"06","013",0.0286747061511472,0.092
"195",6.8,"06","015",0.144451166341521,0.146
"196",8.9,"06","017",0.0425856723900452,0.099
"197",7.4,"06","019",0.0534931111235481,0.162
"198",7.5,"06","021",0.0874530330874107,0.141
"199",7.6,"06","023",0.0454026012676315,0.158
"200",6.1,"06","025",0.0764873556071973,0.21
"201",7.9,"06","027",0.0777164494387481,0.129
"202",7.2,"06","029",0.078299011917922,0.159
"203",7.5,"06","031",0.0682282586867731,0.151
"204",7.9,"06","033",0.0188967555994801,0.154
"205",7.5,"06","035",0.0930144966911697,0.137
"206",8.5,"06","037",0.0145295084882158,0.132
"207",7.5,"06","039",0.0541889039032254,0.158
"208",9.5,"06","041",0.0116582452822957,0.087
"209",8.1,"06","043",0.0261135388034753,0.143
"210",7.6,"06","045",0.0592213402664845,0.151
"211",7.1,"06","047",0.0771154318570492,0.166
"212",6.4,"06","049",0.171759603273218,0.151
"213",7.5,"06","051",0.172374671541183,0.103
"214",8.1,"06","053",0.0508091797835489,0.13
"215",9,"06","055",0.0262996299654796,0.1
"216",8.2,"06","057",0.0861304070224912,0.111
"217",9.1,"06","059",0.0112125858532711,0.104
"218",9,"06","061",0.051065319918286,0.089
"219",8.5,"06","063",0.0107107751934314,0.133
"220",8.3,"06","065",0.0696546965980266,0.111
"221",8.5,"06","067",0.0422696744613348,0.118
"222",8.9,"06","069",0.0269696369357549,0.106
"223",7.9,"06","071",0.0852856139516564,0.122
"224",8.8,"06","073",0.027630608031963,0.109
"225",9,"06","075",0.00302544376023874,0.112
"226",8.2,"06","077",0.0453532131201402,0.127
"227",8.7,"06","079",0.0405418983216477,0.107
"228",9.6,"06","081",0.00919326845044537,0.085
"229",8.6,"06","083",0.0288169113669441,0.118
"230",9.5,"06","085",0.00966271238898364,0.088
"231",8.4,"06","087",0.0541886173857986,0.116
"232",7.7,"06","089",0.0691636221837634,0.139
"233",6.2,"06","091",0.248214636317418,0.126
"234",6.9,"06","093",0.113828909168335,0.155
"235",8.9,"06","095",0.0378061120061127,0.1
"236",8.9,"06","097",0.0258193292663944,0.105
"237",8.2,"06","099",0.0336937205925355,0.136
"238",7.5,"06","101",0.0813684285496889,0.143
"239",7.1,"06","103",0.0996678039802384,0.152
"240",7.2,"06","105",0.0766581389498649,0.161
"241",7.3,"06","107",0.0491641189027927,0.166
"242",7.9,"06","109",0.0616071900200766,0.134
