statecode,countycode,v082_numerator,v082_denominator,v082_rawvalue,v082_cilow,v082_cihigh,v082_sourceflag,v082_flag_CT
00,000,18244481,73466592,0.2483371081103095,0.24656395835457112,0.2501102578660479,,
01,000,344866,1125290,0.30646855477254753,0.2997797237243453,0.31315738582074976,,
01,001,3099,13921,0.22261331800876374,0.17559107281892394,0.26963556319860355,,
01,003,10022,51059,0.19628273174171057,0.1703280140605814,0.22223744942283974,,
01,005,2680,5160,0.5193798449612403,0.438050693930293,0.6007089959921876,,
01,007,1383,4430,0.31218961625282166,0.23551770326933893,0.38886152923630435,,
01,009,3089,13712,0.22527712952158693,0.1756537169944332,0.2749005420487407,,
01,011,1500,2105,0.7125890736342043,0.6015357977109046,0.823642349557504,,
01,013,1719,4219,0.4074425219246267,0.3291559239134256,0.48572911993582785,,
01,015,8280,24670,0.33563032022699635,0.29063942989946495,0.38062121055452774,,
01,017,2371,7139,0.33211934444600083,0.2451971533919305,0.41904153550007117,,
01,019,1486,4717,0.3150307398770405,0.22958087562439544,0.40048060412968556,,
01,021,2301,10926,0.21059857221306974,0.15951854008863864,0.26167860433750084,,
01,023,845,2492,0.33908507223113965,0.2549116242622771,0.4232585202000022,,
01,025,2027,4943,0.4100748533279385,0.31700655323343946,0.5031431534224375,,
01,027,659,2932,0.2247612551159618,0.13428726790524095,0.31523524232668265,,
01,029,900,3327,0.27051397655545534,0.17123538185253198,0.3697925712583787,,
01,031,4083,12984,0.31446395563770796,0.2694390105200142,0.35948890075540174,,
01,033,4148,12307,0.33704395872267817,0.2742709836492731,0.39981693379608324,,
01,035,1102,2305,0.4780911062906725,0.34311855321476314,0.6130636593665818,,
01,037,533,1742,0.30597014925373134,0.15695052865427417,0.4549897698531885,,
01,039,2612,8313,0.31420666426079635,0.25640323364276807,0.37201009487882464,,
01,041,781,3016,0.2589522546419098,0.17939397862897516,0.33851053065484443,,
01,043,4306,20101,0.21421819809959702,0.17160954710433002,0.25682684909486403,,
01,045,3643,11505,0.31664493698392004,0.2664712897372552,0.3668185842305849,,
01,047,4781,8889,0.53785577680279,0.4445494520812502,0.6311621015243297,,
01,049,3328,17441,0.19081474686084512,0.14974636495111177,0.23188312877057848,,
01,051,5139,19250,0.26696103896103895,0.21314054281091976,0.32078153511115814,,
01,053,2934,8349,0.3514193316564858,0.28239621880521104,0.4204424445077606,,
01,055,7836,22395,0.34989953114534494,0.3017700886074989,0.398028973683191,,
01,057,906,3452,0.26245654692931636,0.19626736938096842,0.32864572447766427,,
01,059,2233,8025,0.27825545171339566,0.19771527176339784,0.35879563166339346,,
01,061,1613,5910,0.27292724196277496,0.19654654140203004,0.3493079425235199,,
01,063,1104,1622,0.6806411837237978,0.5049744070308574,0.8563079604167382,,
01,065,1535,3505,0.43794579172610554,0.3074837576401018,0.5684078258121092,,
01,067,1183,3565,0.3318373071528752,0.24547099828237245,0.4182036160233779,,
01,069,8315,24724,0.33631289435366446,0.30935722368746155,0.3632685650198674,,
01,071,3103,10963,0.2830429626926936,0.23769456296622357,0.3283913624191636,,
01,073,53583,153793,0.34840987561202397,0.3254011122058274,0.37141863901822053,,
01,075,664,3085,0.21523500810372773,0.12846200423374832,0.30200801197370714,,
01,077,4796,18492,0.2593553969284015,0.21622288929063155,0.3024879045661714,,
01,079,1393,7222,0.19288285793409027,0.12909063629198078,0.2566750795761997,,
01,081,9064,37523,0.24155851078005489,0.20743087732030285,0.2756861442398069,,
01,083,3801,23924,0.15887811402775456,0.1200747900236053,0.19768143803190383,,
01,085,1374,2199,0.6248294679399727,0.5213289369100282,0.7283299989699172,,
01,087,1787,2900,0.6162068965517241,0.5211352266512238,0.7112785664522244,,
01,089,22598,86241,0.2620331396899387,0.2405392877512987,0.2835269916285787,,
01,091,2081,4286,0.4855342977134858,0.33798344119122514,0.6330851542357464,,
01,093,1318,6173,0.21351044872833305,0.13883805949560477,0.28818283796106137,,
01,095,6811,25506,0.2670352074021799,0.22212356463453992,0.3119468501698199,,
01,097,34327,96443,0.35593044596290035,0.33048588154748104,0.38137501037831967,,
01,099,1657,4154,0.3988926336061627,0.25933775723503416,0.5384475099772913,,
01,101,24753,54386,0.45513551281579817,0.41701027262176227,0.4932607530098341,,
01,103,7936,28683,0.2766795662936234,0.23594019944803668,0.3174189331392101,,
01,105,1054,1753,0.6012549914432401,0.45049251961186454,0.7520174632746157,,
01,107,1662,3638,0.45684442001099507,0.3895290848153569,0.5241597552066333,,
01,109,2753,6260,0.43977635782747604,0.36119757507785666,0.5183551405770954,,
01,111,1082,4674,0.2314933675652546,0.16332581923081796,0.29966091589969124,,
01,113,5159,14301,0.3607440039158101,0.2854925942937849,0.4359954135378353,,
01,115,4401,20793,0.21165776944163903,0.16095692762690111,0.26235861125637694,,
01,117,9109,52162,0.1746290402975346,0.15092897480403686,0.19832910579103233,,
