statecode,countycode,v127_race_white,v127_race_white_cilow,v127_race_white_cihigh,v127_race_black,v127_race_black_cilow,v127_race_black_cihigh,v127_race_aian,v127_race_aian_cilow,v127_race_aian_cihigh,v127_race_asian,v127_race_asian_cilow,v127_race_asian_cihigh,v127_race_nhopi,v127_race_nhopi_cilow,v127_race_nhopi_cihigh,v127_race_tom,v127_race_tom_cilow,v127_race_tom_cihigh,v127_race_hispanic,v127_race_hispanic_cilow,v127_race_hispanic_cihigh,v127_race_flag_CT
00,000,389.46200704261753,388.99487096324157,389.9291431219935,598.0915680167558,596.7620740788313,599.4210619546802,682.8011767686585,676.7408367397638,688.8615167975531,163.82444599367972,162.8474552758466,164.80143671151282,545.9629976065326,535.3997872727444,556.5262079403207,230.02477099344438,227.53862148664288,232.51092050024587,308.29734464498114,307.44150114080463,309.15318814915764,
01,000,526.691673523015,522.4501566675002,530.9331903785297,685.0188159064539,677.0619513863733,692.9756804265346,221.16688599712276,189.86448081644707,252.46929117779845,169.4805450075544,152.98792069910564,185.97316931600318,441.19310842236393,305.53905312547994,616.5231471346491,102.45590058598138,87.24212564948215,117.66967552248062,241.19788007458007,228.07892708329766,254.31683306586248,
01,001,473.7982505830643,438.55119624767707,509.04530491845156,606.9906780127673,529.8701116019125,684.111244423622,,,,,,,,,,,,,,,,
01,003,402.13754108691876,387.2769534051108,416.9981287687267,634.0409392612518,571.8117497129663,696.2701288095373,,,,,,,,,,,,,151.63269797903752,112.54471112227137,199.90880873528064,
01,005,574.4632388106055,500.76469703145443,648.1617805897565,699.7664210899528,614.5485277795074,784.9843144003983,,,,,,,,,,,,,,,,
01,007,654.2025546911486,588.1860742558043,720.2190351264929,660.6354299246334,532.565397787105,810.2107090585529,,,,,,,,,,,,,,,,
01,009,588.5359572096459,552.5888019808327,624.483112438459,639.2352696584245,390.4615095731558,987.2470288963758,,,,,,,,,,,,,164.51354122171333,101.83647493826251,251.47642328620137,
01,011,638.5767791990942,472.4226166665614,844.2323674296968,865.6035778683638,742.5452111990428,988.6619445376848,,,,,,,,,,,,,,,,
01,013,597.7568267045907,513.2090755833055,682.3045778258759,815.1790174796587,705.8132209678914,924.5448139914259,,,,,,,,,,,,,,,,
01,015,725.055848781197,693.2428338058577,756.8688637565364,707.6481930217411,647.2226552819662,768.073730761516,,,,,,,,,,,,,264.5615664355695,177.1810331764742,379.95454044734,
01,017,604.9815024555995,544.6732752240999,665.2897296870991,647.0665006193484,572.223354603876,721.9096466348208,,,,,,,,,,,,,,,,
01,019,663.6110754704617,606.0705063288852,721.1516446120382,607.8071555941548,389.4335132691282,904.3688685187002,,,,,,,,,,,,,,,,
01,021,639.4837304635876,595.2049079786643,683.7625529485108,745.2381834162233,603.3632145742589,887.1131522581876,,,,,,,,,,,,,252.44196722357555,154.19811183823558,389.8761441048198,
01,023,483.78323211243105,397.35759260231373,570.2088716225484,721.0240817570631,590.3616797910064,851.6864837231197,,,,,,,,,,,,,,,,
01,025,538.9981525458923,466.6777669643601,611.3185381274244,815.036243271121,716.6936944471104,913.3787920951315,,,,,,,,,,,,,,,,
01,027,575.6026115486114,501.88389072236987,649.321332374853,782.0075649856645,578.5335015891504,1033.8554727339144,,,,,,,,,,,,,,,,
01,029,708.9860317395263,632.409380278326,785.5626832007266,,,,,,,,,,,,,,,,,,,
01,031,473.15933715167955,436.59388141901013,509.724792884349,716.7005233920604,619.6902753178507,813.7107714662701,,,,,,,,,,,,,317.82108034740696,218.77340782644487,446.33896142540954,
01,033,579.5295576721272,541.4133096541109,617.6458056901436,730.007020008908,631.1685918325643,828.8454481852516,,,,,,,,,,,,,,,,
01,035,691.4262268983894,564.1668430926607,818.6856107041181,1044.7650405669679,880.500240727089,1209.0298404068467,,,,,,,,,,,,,,,,
01,037,552.3273630740283,454.80792224086895,649.8468039071877,703.4746853989876,541.7612277550259,898.3214682798175,,,,,,,,,,,,,,,,
01,039,666.3175499716474,617.2332179257642,715.4018820175306,962.4771256354994,800.8286331711959,1124.125618099803,,,,,,,,,,,,,,,,
01,041,652.1532709485634,565.7449715865844,738.5615703105425,925.3059093371986,736.1081061082156,1114.5037125661815,,,,,,,,,,,,,,,,
01,043,584.3393542294572,556.0405780899712,612.6381303689432,602.8486887083285,373.1728398969464,921.5182585780838,,,,,,,,,,,,,328.0602222804478,214.29982898975823,480.684235719665,
01,045,598.608747520452,553.1617941698651,644.0557008710389,742.2130421286145,647.0177182383896,837.4083660188393,,,,,,,,,,,,,260.0425671735872,158.84075574574248,401.6146542819703,
01,047,633.6338014186064,546.6150198112902,720.6525830259226,897.729317919961,830.7407135046706,964.7179223352514,,,,,,,,,,,,,,,,
01,049,636.4049745780642,601.2689187047836,671.5410304513448,969.3897808534805,671.3306035323269,1354.6250543873202,,,,,,,,,,,,,358.4010026902353,268.4669449810925,468.7973358194927,
01,051,456.22321017334906,428.92151084750685,483.52490949919127,544.621802387408,483.52571706579397,605.7178877090221,,,,,,,,,,,,,,,,
01,053,691.114751107445,631.5037702811803,750.7257319337098,797.6286136126528,704.0744400714207,891.1827871538849,905.9304975961356,650.1113660413754,1228.997014252326,,,,,,,,,,,,,
01,055,693.7920431278324,662.9399709580218,724.6441152976429,843.1774902055257,763.2073163498386,923.1476640612128,,,,,,,,,,,,,283.49612772130695,183.46374621978453,418.4962092027671,
01,057,712.2202188607565,635.5058685264817,788.9345691950314,813.230615954971,590.8946105007275,1091.7241440165865,,,,,,,,,,,,,,,,
01,059,669.5794534943648,613.9753443097613,725.1835626789682,970.5657043965389,683.3678251310681,1337.796974875763,,,,,,,,,,,,,283.6061764240988,198.63427932346724,392.63049202849345,
01,061,686.5128697451931,628.2655468558678,744.7601926345185,1044.878036917864,824.6014066674993,1305.9182681465977,,,,,,,,,,,,,,,,
01,063,723.8221808041567,472.82467983186933,1060.5672012236628,754.7580263297099,629.1752563894022,880.3407962700176,,,,,,,,,,,,,,,,
01,065,639.4787385100879,528.4492410828027,750.508235937373,818.6973946143663,709.2016075759398,928.1931816527929,,,,,,,,,,,,,,,,
01,067,461.5852412251935,400.26404023459867,522.9064422157883,690.8660099339736,554.2504043103958,827.4816155575514,,,,,,,,,,,,,,,,
01,069,475.96561676428456,448.994656456011,502.9365770725581,714.4632207124707,658.9621485930433,769.9642928318982,,,,,,,,,,,,,286.51576923126544,191.8841073467527,411.4844378036056,
01,071,712.8239204252436,671.934998249061,753.7128426014262,755.755945972173,551.2535729597528,1011.2609168580633,,,,,,,,,,,,,,,,
01,073,490.08118432989056,476.9492470591093,503.2131216006718,734.7011336334303,716.9266231329485,752.4756441339122,,,,138.05439302032082,101.437175287019,183.58307618629806,,,,167.2313180944116,108.22329161770516,246.86641487848934,284.53406351929,242.3313278149222,326.7367992236578,
01,075,658.3267282973824,579.0869490575083,737.5665075372565,738.7836047588343,517.4349541944416,1022.7879163156235,,,,,,,,,,,,,,,,
01,077,494.1689045214015,467.48122894335216,520.8565800994508,774.2157151807107,667.875044386833,880.5563859745885,,,,,,,,,,,,,,,,
01,079,685.3456146125155,630.9786121072601,739.712617117771,835.9824908899692,661.9419624336438,1010.0230193462946,,,,,,,,,,,,,,,,
01,081,357.20879055373194,338.08750837154605,376.33007273591784,522.0132223326526,481.7907006451036,562.2357440202017,,,,,,,,,,,,,126.91839449311304,82.13489300565477,187.35658719714203,
01,083,452.38891841809107,427.9932178272421,476.78461900894,396.1352908670019,341.41302698092807,450.85755475307576,,,,,,,,,,,,,271.72987621301314,187.04634369248794,381.60977429375515,
01,085,552.8936261243326,401.7333551485008,742.233886514469,997.1156392772363,863.7083101049254,1130.522968449547,,,,,,,,,,,,,,,,
01,087,475.1728225170755,358.940443571216,617.0514342993413,679.9179747614633,597.3023983674428,762.5335511554837,,,,,,,,,,,,,,,,
01,089,411.84505036312066,398.3463811438315,425.34371958240985,539.2901251929368,512.6514736486683,565.9287767372052,,,,166.61672893923583,128.0328693243028,213.175174850134,,,,,,,181.8255755405803,146.9036358389706,216.74751524219002,
01,091,516.4225569251355,431.9562994408482,600.8888144094227,857.0693117342529,757.0186406531484,957.1199828153574,,,,,,,,,,,,,,,,
01,093,575.2210622875374,526.4451506268115,623.9969739482633,585.4096934525605,378.84628724017085,864.1801900775574,,,,,,,,,,,,,,,,
01,095,649.6485828072499,618.7100881264648,680.587077488035,700.7776687561695,526.4457527926985,914.3628459914651,,,,,,,,,,,,,304.1735115377094,237.11817459611268,384.3049328886617,
01,097,558.9778852003383,542.4632358716209,575.4925345290557,704.1974688033667,679.7760028515463,728.6189347551872,542.399478760204,419.49171757910443,690.0651271099608,228.86237642307833,176.2519172492717,292.25214537148986,,,,,,,220.3176801873826,172.99676583642213,276.58867203820574,
01,099,591.2664836504854,509.3110844288621,673.2218828721087,799.1227771173476,688.2701303133764,909.9754239213188,,,,,,,,,,,,,,,,
01,101,486.77971778425405,458.5175065493856,515.0419290191226,647.8364006926913,623.3128175044229,672.3599838809597,,,,162.23899820854928,113.00540670082904,225.63517247517336,,,,,,,393.89396441877847,309.82259008051903,493.74949525194455,
01,103,534.0490529504261,508.71680857998143,559.3812973208709,754.4952989594103,678.1297264791272,830.8608714396935,,,,,,,,,,,,,321.01194950050467,248.77985162098892,407.6738284659658,
01,105,488.20829588509105,354.7328951720358,655.3968498850261,955.8071983879954,809.9642701296674,1101.6501266463235,,,,,,,,,,,,,,,,
01,107,558.9228664672967,482.4073077993637,635.4384251352296,842.5828277879225,726.8559091914846,958.3097463843604,,,,,,,,,,,,,,,,
01,109,556.1373524919089,492.6981836528592,619.5765213309587,787.194725458226,691.7170670234764,882.6723838929756,,,,,,,,,,,,,,,,
01,111,547.9964239339404,488.15043860490175,607.842409262979,774.7366770046023,626.6983638980099,922.7749901111946,,,,,,,,,,,,,,,,
01,113,778.8711788021662,719.6004905665853,838.1418670377471,641.9125429100264,588.07854874639,695.7465370736629,,,,,,,,,,,,,383.76644483857785,248.35340859663577,566.5149773828708,
01,115,581.9197028937302,553.326220367345,610.5131854201155,554.3829919733495,470.41452300684716,638.3514609398518,,,,,,,,,,,,,,,,
01,117,315.194568435847,300.96507218962097,329.424064682073,379.52658172043147,340.80971811766005,418.2434453232029,,,,133.17765916889067,85.32943915147021,198.15780025952864,,,,,,,178.94744898072756,133.64651409453123,234.6657715531822,
01,119,398.441935584952,280.5398931038849,549.1997230837794,846.7569268943028,728.5639786741876,964.9498751144179,,,,,,,,,,,,,,,,
01,121,681.7704504666777,642.8031185167525,720.737782416603,732.03780834407155,674.5288793651002,789.5467373230429,,,,,,,,,,,,,,,,
01,123,531.4752438678233,485.14667926286006,577.8038084727866,681.5728368632705,596.9327524294478,766.2129212970932,,,,,,,,,,,,,,,,
01,125,437.98983823595245,418.3086299356665,457.6710465362384,588.5671831844325,556.0931419951088,621.0412243737561,,,,,,,,,,,,,177.7900924396274,127.01584862736658,242.09964446970395,
01,127,844.1999090906882,802.1539446294806,886.2458735518957,988.7341618612337,809.3266054122556,1168.1417183102117,,,,,,,,,,,,,,,,
01,129,579.7993193310319,497.9727748550073,661.6258638070566,601.4970916622441,460.0976144738835,772.6481776721537,712.7886288415335,465.61719736934015,1044.400491174028,,,,,,,,,,,,,
01,131,538.2925260802161,389.5649702035177,725.0765000588551,972.72815189928,839.7306166119693,1105.7256871865907,,,,,,,,,,,,,,,,
01,133,657.9319365571055,599.031570275419,716.832302838792,,,,,,,,,,,,,,,,,,,
02,000,362.542003327297,352.954469853608,372.129536800986,438.6838605000148,389.0897754770413,488.2779455229883,967.2840873072538,931.6628481732228,1002.9053264412848,197.57298594160892,175.44985943381855,219.6961124493993,978.4625860368861,847.1272957215101,1109.7978763522622,529.0319096087163,481.13321154156597,576.9306076758667,266.69078270501376,236.5181720122037,296.8633933978238,
02,013,,,,,,,1566.2893648604465,943.0085146221815,2445.9548629213746,,,,,,,,,,,,,
02,016,,,,,,,1559.8840262622039,939.1520823608802,2435.952133256907,,,,,,,,,,,,,
02,020,356.47979174396113,340.80590873770956,372.1536747502127,521.0349216304228,453.1700323693106,588.8998108915349,1289.6539525605265,1205.2452531290805,1374.0626519919724,230.66775521244963,198.9195984755766,262.41591194932266,1170.7991925854826,1003.4579263140059,1338.1404588569594,642.8452077780901,552.930028425638,732.7603871305421,302.21801129099805,255.50024850949592,348.9357740725002,
02,050,,,,,,,649.4018694510164,568.8561828859174,729.9475560161154,,,,,,,,,,,,,
02,060,,,,,,,,,,,,,,,,,,,,,,
02,063,,,,,,,,,,,,,,,,,,,,,,
02,066,,,,,,,,,,,,,,,,,,,,,,
02,068,499.11245850303516,290.75139994777516,799.1273958478212,,,,,,,,,,,,,,,,,,,
02,070,,,,,,,916.1903792076139,721.8538127257326,1146.748879999017,,,,,,,,,,,,,
02,090,381.3353030684548,354.82430689424007,407.8462992426695,307.79523614762746,206.1353003090677,442.04530188565195,1043.037774669555,899.7958047640982,1186.2797445750116,226.01636031142593,141.6432496984272,342.1914856849425,,,,545.9871916719471,406.5233263331161,717.8723247400317,302.1070828365481,214.82766871888825,412.9903274929849,
02,100,,,,,,,,,,,,,,,,,,,,,,
02,105,,,,,,,956.1273469930252,566.6616620134503,1511.093419582507,,,,,,,,,,,,,
