statecode,countycode,v005_race_AIAN,v005_race_asian,v005_race_black,v005_race_hispanic,v005_race_white,v005_race_flag_CT
00,000,4000,1576,4268,2758,2529,
01,000,7625,1889,4074,2997,3201,
01,001,,,3747,,4255,
01,003,,,3274,,2861,
01,005,,,5265,,3358,
01,007,,,8851,,4706,
01,009,,,,,2069,
01,011,,,5000,,2937,
01,013,,,4307,,3673,
01,015,,,4480,,3495,
01,017,,,2904,,3409,
01,019,,,,,4059,
01,021,,,4003,,2345,
01,023,,,2476,,2837,
01,025,,,2409,,2642,
01,027,,,,,2593,
01,029,,,,,3822,
01,031,,,4757,,3126,
01,033,,,4664,,3710,
01,035,,,10910,,8423,
01,037,,,1800,,2168,
01,039,,,6745,,5137,
01,041,,,1612,,2511,
01,043,,,,,3942,
01,045,,,3060,,2890,
01,047,,,4154,,2362,
01,049,,,,,3147,
01,051,,,4097,,3464,
01,053,9087,,4166,,3396,
01,055,,,4386,,3937,
01,057,,,932,,3792,
01,059,,,5940,,5321,
01,061,,,3050,,3149,
01,063,,,2712,,,
01,065,,,4988,,3780,
01,067,,,3397,,3916,
01,069,,,6391,,3109,
01,071,,,1789,,2318,
01,073,,859,3962,3308,2838,
01,075,,,,,2944,
01,077,,,4046,,3084,
01,079,,,2205,,3709,
01,081,,,3049,,1974,
01,083,,,4630,,2689,
01,085,,,4162,,2471,
01,087,,,3698,,971,
01,089,,1336,3746,4076,2419,
01,091,,,3445,,2800,
01,093,,,5740,,5075,
01,095,,,,,3262,
01,097,,4388,4660,4505,3340,
01,099,,,4536,,3517,
01,101,,2118,4214,,2821,
01,103,,,4924,,3570,
01,105,,,4770,,2626,
01,107,,,4761,,2691,
01,109,,,2111,,3098,
01,111,,,6292,,2888,
01,113,,,2702,,2964,
01,115,,,3200,,3930,
01,117,,,2937,,2841,
01,119,,,3123,,1534,
01,121,,,3177,,3365,
01,123,,,203,,1961,
01,125,,,4294,,3826,
01,127,,,2442,,4258,
01,129,,,1566,,4638,
01,131,,,4513,,1267,
01,133,,,,,6930,
02,000,4043,2537,2679,1551,1653,
02,013,,,,,,
02,016,,,,,,
02,020,3657,2871,2831,1092,1492,
02,050,3180,,,,,
02,060,,,,,,
02,063,,,,,,
02,066,,,,,,
02,068,,,,,,
02,070,6474,,,,,
02,090,1227,1649,1875,1439,1165,
02,100,,,,,,
02,105,,,,,,
02,110,2685,715,,8201,1469,
02,122,,,,,,
02,130,3630,,,,1755,
02,150,2270,,,,414,
02,158,3925,,,,,
02,164,,,,,,
02,170,3518,,1629,790,1680,
02,180,6505,,,,,
02,185,,,,,,
02,188,,,,,,
02,195,,,,,,
02,198,,,,,,
02,220,3140,,,,2825,
02,230,3693,,,,1611,
02,240,,,,,642,
02,275,,,,,,
02,282,,,,,,
02,290,1521,,,,,
04,000,4392,1587,2877,1977,1863,
04,001,4888,5219,,1261,1477,
04,003,,544,551,948,1677,
04,005,3327,1838,,1185,1284,
04,007,4400,,,2714,1476,
04,009,3560,,,,1273,
04,011,,,,816,1711,
04,012,2502,,,,2444,
