statecode,countycode,v136_other_data_1,v136_other_data_1_cilow,v136_other_data_1_cihigh,v136_other_data_2,v136_other_data_2_cilow,v136_other_data_2_cihigh,v136_other_data_3,v136_other_data_3_cilow,v136_other_data_3_cihigh,v136_other_flag_CT
00,000,0.136146095398692,,,0.03334309187665174,,,0.00975094990569183,,,
01,000,0.11212414040478938,0.10971017584096177,0.114538104968617,0.016471490842019248,0.01549139839336533,0.017451583290673166,0.008350039543138805,0.007646591726985121,0.009053487359292489,
01,001,0.11749710312862109,0.09057102827583191,0.14442317798141027,0.014596202242049874,0.005816188535380075,0.02337621594871967,0.01029512697323267,0.002469979556684751,0.01812027438978059,
01,003,0.10149443194276153,0.0875163660280635,0.11547249785745957,0.014623236609702947,0.009852508818202606,0.01939396440120329,0.007053561188209657,0.0040156551715011014,0.010091467204918212,
01,005,0.09512335054503729,0.07112499014183225,0.11912171094824232,0.043454345434543455,0.019455121079211487,0.06745356978987542,0.00605060506050605,0.0011222462295320604,0.01097896389148004,
01,007,0.09051053599208032,0.05141498420113284,0.1296060877830278,0.009174311926605505,0,0.01914326041352228,0.019760056457304165,0.003810071619420853,0.03571004129518748,
01,009,0.0750059794307582,0.05718074270059273,0.09283121616092366,0.019906103286384976,0.012673351444226738,0.027138855128543214,0.012206572769953052,0.004714193807419176,0.019698951732486928,
01,011,0.13260530421216848,0.07637849050965193,0.18883211791468504,0.007309941520467836,0,0.02297732724723078,0,0,0.009853920554049187,
01,013,0.07819314641744549,0.05085434007093166,0.10553195276395931,0.005206738131699847,0,0.012016138971760446,0.01761102603369066,0.005007911090592848,0.03021414097678847,
01,015,0.10657955066483264,0.09242115180065755,0.12073794952900774,0.015690258494186704,0.010302203324767728,0.02107831366360568,0.010949317078677051,0.0056157065732770845,0.01628292758407702,
01,017,0.08794162826420891,0.06710603434085277,0.10877722218756505,0.06019047619047619,0.033992768376483795,0.08638818400446859,0.008380952380952381,0.0016124096629278753,0.015149495098976888,
01,019,0.07744636316064887,0.05345107711465553,0.10144164920664223,0.010835913312693499,0.0023579943576752128,0.019313832267711786,0.0025799793601651187,0,0.00528424257672678,
01,021,0.09118727050183599,0.06738407084423526,0.11499047015943673,0.029287439613526572,0.016530908687685957,0.04204397053936719,0.009963768115942028,0,0.020864215817005247,
01,023,0.10433925049309664,0.0712849528547741,0.13739354813141919,0.009213051823416507,0,0.021186087639816047,0.028790786948176585,0.006238609847722475,0.051342964048630695,
01,025,0.10842911877394636,0.08020046354372876,0.13665777400416396,0.012606060606060607,0.0024600235269589266,0.022752097685162287,0.008484848484848486,6.154316776801182e-4,0.016354265292016855,
01,027,0.07223264540337711,0.042874952574151,0.10159033823260322,0.020370370370370372,0.002939521149416896,0.03780121959132385,0.009074074074074075,0,0.022112401148658485,
01,029,0.05596330275229358,0.03275707643104346,0.0791695290735437,0.02125,0.008748254447930598,0.033751745552069404,0.009642857142857142,0.0011812755886504833,0.018104438697063803,
01,031,0.09352911896465903,0.07448880326232626,0.11256943466699179,0.02001953125,0.011715325417115749,0.02832373708288425,0.00537109375,0.0015207559251528236,0.009221431574847175,
01,033,0.08854237288135593,0.0673139877596875,0.10977075800302435,0.011219081272084805,0.007360751466239135,0.015077411077930473,0.009717314487632508,0.0028711353341104298,0.016563493641154586,
01,035,0.05122549019607843,0.023853493777427785,0.07859748661472907,0.008363201911589008,0,0.022712013527936212,0.007168458781362007,0,0.015003604127966343,
01,037,0.02631578947368421,0.003514486730293715,0.049117092217074707,0.02483660130718954,0.002304807090167952,0.047368395524211127,0.01699346405228758,0.001977124013920693,0.032009804090654466,
01,039,0.08975750995294969,0.06959007210580295,0.10992494780009643,0.020286813571178734,0.012039901327310646,0.02853372581504682,0.013990905911157748,0.004058050132573319,0.023923761689742175,
01,041,0.09239250275633958,0.0636348604493433,0.12115014506333585,0.007089151450053705,0,0.016291928625799004,0.007518796992481203,0,0.015418501920284398,
01,043,0.0787292817679558,0.06432148333185989,0.0931370802040517,0.01806314511232544,0.011564172089396012,0.024562118135254867,0.01153612629022465,0.0062018706940918595,0.016870381886357443,
01,045,0.10830704521556257,0.0888131350281432,0.12780095540298195,0.007960965588084233,0.003754809633920989,0.012167121542247476,0.0064201335387776065,0.0022197245245428685,0.010620542553012344,
01,047,0.13173352435530086,0.10439365335369669,0.15907339535690504,0.009315258950295446,0.003371450390726208,0.015259067509864685,0.019117135905457074,0.0028154840031102205,0.03541878780780393,
01,049,0.09011857707509881,0.07192650601511405,0.10831064813508356,0.0328125,0.02059069895488802,0.04503430104511198,0.0068359375,0.0022494370756661816,0.011422437924333818,
01,051,0.08780332056194125,0.07088674251711641,0.10471989860676609,0.012962377489724945,0.0049996746973836464,0.020925080282066244,0.005216566550742966,0.0017172234511206625,0.00871590965036527,
01,053,0.10963562753036438,0.08276843157749686,0.1365028234832319,0.006987577639751553,8.392696353888996e-4,0.013135885644114206,0.002717391304347826,0,0.00547346847615065,
01,055,0.09966733200266134,0.08573726169121518,0.1135974023141075,0.015016975711674067,0.009383772722085064,0.02065017870126307,0.005092713502219901,0.0021386442961136157,0.008046782708326185,
01,057,0.08188666885031116,0.0505726632202202,0.11320067448040214,0.008863819500402902,0,0.01788849500470104,0.008863819500402902,4.239603617807713e-4,0.01730367863902503,
01,059,0.0810560444650301,0.05093464779333434,0.11117744113672587,0.018712916476494753,0.007504766670769507,0.02992106628222,0.00730260155180283,0,0.016770744967672176,
