statecode,countycode,v153_cihigh,v153_cilow,v153_numerator,v153_denominator,v153_rawvalue
00,000,0.6533403197343591,0.6471016965319053,82892037,127482865,0.6502210081331322
01,000,0.7036023306498509,0.6950655920866207,1377062,1969105,0.6993339613682358
01,001,0.7782110794906789,0.7199907586303529,16872,22523,0.7491009190605159
01,003,0.7896385971776888,0.7610682771487202,73381,94642,0.7753534371632045
01,005,0.7108776186853618,0.6389021169974576,6128,9080,0.6748898678414097
01,007,0.813285820325972,0.7302355110701447,5843,7571,0.7717606656980583
01,009,0.8188260063554184,0.7712909340823121,17473,21977,0.7950584702188652
01,011,0.6897379426066106,0.5804618836314432,2193,3453,0.6350999131190269
01,013,0.7091637411821842,0.6590543805473669,4968,7262,0.6841090608647755
01,015,0.7208614827549956,0.6868725892671651,31762,45125,0.7038670360110804
01,017,0.744983265463465,0.6747946613567154,9526,13419,0.7098889634100902
01,019,0.8259613906693019,0.7630430953476878,8324,10477,0.7945022430084948
01,021,0.8007932043671345,0.735836623592305,13487,17554,0.7683149139797197
01,023,0.8555843520238936,0.7887913727538413,4254,5174,0.8221878623888674
01,025,0.7423801555944394,0.6759823621528394,5994,8452,0.7091812588736394
01,027,0.8065689869771034,0.7472905099873371,4479,5765,0.7769297484822203
01,029,0.8351358128764093,0.7658216157438678,4682,5849,0.8004787143101385
01,031,0.7152701230929916,0.6693895125733553,14442,20860,0.6923298178331735
01,033,0.7360069860245677,0.6800230755024588,17146,24217,0.7080150307635132
01,035,0.8034980278465709,0.6951768838142065,3393,4528,0.7493374558303887
01,037,0.8513198878537941,0.7749595694182839,3416,4201,0.813139728636039
01,039,0.7797541580466528,0.7345611230847718,10975,14495,0.7571576405657123
01,041,0.7734900245276296,0.71064790650685306,3766,5075,0.7420689655172413
01,043,0.7827549298004403,0.7443851564688474,26376,34543,0.7635700431346438
01,045,0.6378361262438775,0.5890342263283316,12127,19769,0.6134351762861046
01,047,0.6456667565644777,0.5746238505969131,9406,15416,0.6101453035806954
01,049,0.7846168044034437,0.7505716639539138,19916,25946,0.7675942341786788
01,051,0.7886928393846246,0.7485815926606272,25003,32529,0.7686372160226259
01,053,0.7237578324563293,0.6500000894590138,8779,12781,0.6868789609576715
01,055,0.7558694198399425,0.7191561164215488,28881,39160,0.7375127681307456
01,057,0.8156831847679121,0.7480252931696189,4731,6051,0.7818542389687655
01,059,0.7453853784251829,0.6897910211262706,8319,11593,0.7175881997757267
01,061,0.8100356368341647,0.7554619934975889,8258,10550,0.7827488151658768
01,063,0.7500177206341273,0.6447797768963305,2118,3037,0.6973987487652289
01,065,0.8124177382184972,0.7277374684229032,4267,5541,0.7700776033207002
01,067,0.8538464046878694,0.7640470722720348,5407,6684,0.8089467384799521
01,069,0.6515502923172648,0.6267663277715071,27216,42581,0.639158310044386
01,071,0.7707268693516481,0.730075547338619,15898,21186,0.7504012083451336
01,073,0.6451681738866153,0.6291791008622794,171343,268911,0.6371736373744473
01,075,0.7729528628872437,0.7076968263046552,3692,4987,0.7403248445959495
01,077,0.6994399931302901,0.6572405133555133,26304,38777,0.6783402532429017
01,079,0.8407996549173531,0.7875000788217112,10702,13145,0.8141498668695322
01,081,0.671653935565477,0.6429286618677031,44659,67944,0.6572912987165901
01,083,0.8023058486764392,0.7476304347747489,31015,40021,0.774968141725594
01,085,0.8130921708963635,0.7331707466715288,3217,4161,0.7731314587839462
01,087,0.6801594081461861,0.6158831033906618,4634,7151,0.648021255768424
01,089,0.6978527176978119,0.6776835384495147,111741,162469,0.6877681280736633
01,091,0.7295879015711387,0.6513707327033195,5258,7615,0.6904793171372291
01,093,0.7861267577748098,0.7183794037113039,8180,10874,0.7522530807430569
01,095,0.7735094045149471,0.736042078954174,27144,35963,0.7547757417345605
01,097,0.6575770112945671,0.6399115717578854,104128,160507,0.6487442915262263
01,099,0.7484347032531155,0.6558378765197347,5193,7396,0.7021362898864251
01,101,0.58999891917256,0.5640904127655356,52387,90785,0.5770446659690478
01,103,0.7419822532429218,0.7081326138394543,35348,48752,0.725057433541188
01,105,0.7654101660888128,0.6211313049597005,2215,3195,0.6932707355242567
01,107,0.7882925470594876,0.7204894857651597,5240,6946,0.7543910164123236
01,109,0.6523409451893495,0.6050965796023998,7925,12605,0.6287187623958747
01,111,0.8132403961534078,0.7607707794793301,7183,9127,0.787005587816369
01,113,0.632261906844887,0.5788043561890853,14402,23784,0.6055331315169862
