statecode,countycode,v147_race_white,v147_race_white_cilow,v147_race_white_cihigh,v147_race_black,v147_race_black_cilow,v147_race_black_cihigh,v147_race_aian,v147_race_aian_cilow,v147_race_aian_cihigh,v147_race_asian,v147_race_asian_cilow,v147_race_asian_cihigh,v147_race_nhopi,v147_race_nhopi_cilow,v147_race_nhopi_cihigh,v147_race_tom,v147_race_tom_cilow,v147_race_tom_cihigh,v147_race_hispanic,v147_race_hispanic_cilow,v147_race_hispanic_cihigh
01,001,75.28587327080524,74.47041319962553,76.10133334198495,71.0858838455696,69.26978252005314,72.90198517108605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01,003,76.7176178739816,76.31975233252851,77.11548341543468,70.72278195234674,69.38197409931209,72.06358980538138,NA,NA,NA,82.71416038638397,78.23136883470991,87.19695193805802,NA,NA,NA,NA,NA,NA,98.14108640382793,83.47806603227436,112.8041067753815
01,005,74.20027310825186,72.6322429522021,75.76830326430162,70.53353873904591,68.80874012919607,72.25833734889575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01,007,72.79205448531313,71.51840860274662,74.06570036787964,72.01779750350256,69.36212499184967,74.67347001515546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01,009,72.24341136735978,71.45196369486982,73.03485903984975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.77601337766457,79.66161030665172,115.89041644867741
01,011,77.31676189185416,73.37538117351907,81.25814261018924,67.94667110082925,65.4678845513801,70.4254576502784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01,013,73.1705482767536,71.35215541663769,74.98894113686953,69.17139676166153,67.05474954687595,71.2880439764471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01,015,70.38622150136757,69.7843824280103,70.98806057472484,70.3963666765704,69.21344937007628,71.57928398306451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.69847405213775,76.68720717316023,108.70974093111528
01,017,72.21328896180393,70.9099592533133,73.51661867029455,70.69390003642457,69.22958962283018,72.15821045001896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01,019,71.89863814028092,70.76959232798305,73.0276839525788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01,021,72.36611061979947,71.49128407533938,73.24093716425956,70.39636331203627,67.92268933596239,72.87003728811015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.54317313509328,70.89240399725537,114.1939422729312
01,023,74.66733868092432,72.2901841497052,77.04449321214344,70.36971207360737,67.60209918795971,73.13732495925504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
