statecode,countycode,v002_rawvalue,v002_cilow,v002_cihigh,v002_flag_CT
00,000,0.17300000000000001,0.17,0.175,
01,000,0.218,0.2,0.23600000000000002,
01,001,0.177,0.157,0.198,
01,003,0.17,0.152,0.191,
01,005,0.284,0.256,0.312,
01,007,0.251,0.226,0.27699999999999997,
01,009,0.226,0.20199999999999999,0.251,
01,011,0.349,0.319,0.381,
01,013,0.26,0.23399999999999999,0.289,
01,015,0.215,0.192,0.239,
01,017,0.267,0.24,0.295,
01,019,0.195,0.17300000000000001,0.21899999999999997,
01,021,0.196,0.175,0.217,
01,023,0.265,0.235,0.29100000000000004,
01,025,0.262,0.235,0.28800000000000003,
01,027,0.24600000000000002,0.22,0.273,
01,029,0.231,0.207,0.257,
01,031,0.195,0.175,0.217,
01,033,0.215,0.191,0.24100000000000002,
01,035,0.264,0.23600000000000002,0.292,
01,037,0.237,0.214,0.263,
01,039,0.218,0.195,0.243,
01,041,0.23600000000000002,0.21100000000000002,0.262,
01,043,0.218,0.195,0.243,
01,045,0.23,0.207,0.256,
01,047,0.281,0.254,0.309,
01,049,0.281,0.255,0.308,
01,051,0.188,0.168,0.21100000000000002,
01,053,0.257,0.231,0.285,
01,055,0.222,0.19899999999999998,0.247,
01,057,0.254,0.22899999999999998,0.282,
01,059,0.255,0.23,0.282,
01,061,0.226,0.20199999999999999,0.252,
01,063,0.341,0.31,0.37200000000000005,
01,065,0.263,0.237,0.289,
01,067,0.258,0.231,0.28600000000000003,
01,069,0.223,0.2,0.247,
01,071,0.24,0.215,0.267,
01,073,0.19699999999999998,0.17800000000000002,0.218,
01,075,0.222,0.198,0.247,
01,077,0.188,0.16699999999999998,0.21100000000000002,
01,079,0.24,0.215,0.266,
01,081,0.19699999999999998,0.175,0.218,
01,083,0.182,0.163,0.203,
01,085,0.3,0.268,0.33,
01,087,0.284,0.257,0.311,
01,089,0.172,0.154,0.191,
01,091,0.26,0.235,0.28800000000000003,
01,093,0.228,0.204,0.253,
01,095,0.207,0.184,0.23,
01,097,0.247,0.225,0.27,
01,099,0.261,0.235,0.29,
01,101,0.248,0.22399999999999998,0.275,
01,103,0.21899999999999997,0.19699999999999998,0.242,
01,105,0.32899999999999996,0.299,0.36200000000000004,
01,107,0.256,0.23,0.284,
01,109,0.217,0.195,0.242,
01,111,0.235,0.209,0.261,
01,113,0.264,0.23800000000000002,0.292,
01,115,0.17800000000000002,0.158,0.19899999999999998,
01,117,0.146,0.129,0.16399999999999998,
01,119,0.295,0.266,0.325,
01,121,0.235,0.21100000000000002,0.261,
01,123,0.228,0.205,0.252,
01,125,0.213,0.19,0.235,
01,127,0.25,0.226,0.276,
01,129,0.251,0.226,0.27899999999999997,
01,131,0.33899999999999997,0.307,0.371,
01,133,0.214,0.191,0.23800000000000002,
02,000,0.155,0.14300000000000002,0.168,
02,013,0.198,0.17600000000000002,0.22,
02,016,0.174,0.156,0.19699999999999998,
02,020,0.13699999999999998,0.12300000000000001,0.151,
02,050,0.299,0.271,0.326,
02,060,0.165,0.147,0.185,
02,063,0.136,0.12,0.153,
02,066,0.166,0.147,0.18600000000000003,
02,068,0.138,0.121,0.155,
02,070,0.256,0.23,0.282,
02,090,0.138,0.122,0.153,
02,100,0.141,0.124,0.158,
02,105,0.19399999999999998,0.17300000000000001,0.217,
02,110,0.127,0.11199999999999999,0.142,
02,122,0.156,0.139,0.172,
02,130,0.147,0.131,0.165,
02,150,0.16,0.141,0.18,
02,158,0.368,0.336,0.401,
02,164,0.221,0.196,0.244,
02,170,0.18600000000000003,0.168,0.204,
02,180,0.28800000000000003,0.26,0.32,
02,185,0.19399999999999998,0.17300000000000001,0.217,
02,188,0.267,0.24,0.297,
02,195,0.152,0.135,0.17,
02,198,0.20199999999999999,0.179,0.22399999999999998,
02,220,0.149,0.132,0.16699999999999998,
02,230,0.156,0.138,0.175,
02,240,0.183,0.16399999999999998,0.203,
02,275,0.172,0.152,0.193,
02,282,0.19899999999999998,0.17800000000000002,0.222,
02,290,0.27,0.242,0.297,
04,000,0.185,0.172,0.19899999999999998,
04,001,0.325,0.299,0.35,
04,003,0.19399999999999998,0.17600000000000002,0.214,
04,005,0.175,0.158,0.193,
04,007,0.223,0.20199999999999999,0.244,
04,009,0.217,0.195,0.242,
04,011,0.196,0.17600000000000002,0.217,
04,012,0.252,0.226,0.278,
04,013,0.171,0.157,0.185,
04,015,0.212,0.192,0.233,
04,017,0.256,0.233,0.27899999999999997,
04,019,0.192,0.175,0.21,
04,021,0.196,0.177,0.215,
04,023,0.253,0.228,0.28,
04,025,0.166,0.149,0.182,
04,027,0.247,0.225,0.27,
05,000,0.22699999999999998,0.212,0.243,
05,001,0.262,0.23600000000000002,0.29100000000000004,
05,003,0.263,0.23800000000000002,0.29,
05,005,0.22399999999999998,0.201,0.249,
05,007,0.16899999999999998,0.151,0.188,
05,009,0.213,0.19,0.237,
05,011,0.28300000000000003,0.255,0.312,
05,013,0.242,0.21600000000000003,0.268,
05,015,0.225,0.20199999999999999,0.25,
05,017,0.31,0.28,0.33899999999999997,
05,019,0.259,0.23399999999999999,0.284,
05,021,0.254,0.22899999999999998,0.281,
05,023,0.228,0.204,0.253,
05,025,0.262,0.23600000000000002,0.29,
05,027,0.23800000000000002,0.214,0.265,
05,029,0.267,0.24,0.297,
05,031,0.231,0.20800000000000002,0.257,
05,033,0.233,0.21,0.256,
05,035,0.281,0.255,0.309,
05,037,0.255,0.22899999999999998,0.28,
05,039,0.254,0.22899999999999998,0.281,
05,041,0.33799999999999997,0.31,0.369,
05,043,0.24600000000000002,0.221,0.27399999999999997,
05,045,0.19399999999999998,0.174,0.213,
05,047,0.26,0.23399999999999999,0.28800000000000003,
05,049,0.284,0.255,0.311,
05,051,0.19899999999999998,0.179,0.222,
05,053,0.20800000000000002,0.185,0.231,
05,055,0.243,0.22,0.26899999999999996,
05,057,0.256,0.231,0.28300000000000003,
05,059,0.24,0.217,0.265,
05,061,0.235,0.21,0.261,
05,063,0.256,0.22899999999999998,0.282,
05,065,0.22899999999999998,0.20600000000000002,0.254,
05,067,0.275,0.248,0.302,
05,069,0.276,0.249,0.304,
05,071,0.28600000000000003,0.257,0.315,
05,073,0.313,0.284,0.344,
05,075,0.265,0.239,0.29100000000000004,
05,077,0.321,0.29,0.35100000000000003,
05,079,0.27899999999999997,0.251,0.306,
05,081,0.22899999999999998,0.204,0.257,
05,083,0.235,0.21100000000000002,0.259,
05,085,0.19699999999999998,0.17600000000000002,0.21899999999999997,
05,087,0.253,0.22699999999999998,0.28,
05,089,0.225,0.203,0.251,
05,091,0.26899999999999996,0.242,0.29600000000000004,
05,093,0.29,0.262,0.321,
05,095,0.287,0.261,0.316,
05,097,0.235,0.21100000000000002,0.261,
05,099,0.271,0.245,0.3,
05,101,0.243,0.21899999999999997,0.27,
05,103,0.254,0.22899999999999998,0.28,
05,105,0.218,0.195,0.243,
05,107,0.33299999999999996,0.305,0.36200000000000004,
05,109,0.23199999999999998,0.20800000000000002,0.257,
05,111,0.29600000000000004,0.268,0.324,
05,113,0.23399999999999999,0.21,0.26,
05,115,0.23,0.20800000000000002,0.253,
05,117,0.26,0.23199999999999998,0.28800000000000003,
05,119,0.20199999999999999,0.184,0.223,
05,121,0.26,0.23600000000000002,0.28600000000000003,
05,123,0.335,0.306,0.364,
05,125,0.172,0.153,0.193,
05,127,0.24600000000000002,0.222,0.272,
05,129,0.276,0.25,0.303,
05,131,0.247,0.22399999999999998,0.273,
05,133,0.273,0.24600000000000002,0.301,
05,135,0.256,0.23,0.284,
05,137,0.261,0.235,0.28800000000000003,
05,139,0.22399999999999998,0.201,0.247,
05,141,0.27,0.243,0.29600000000000004,
05,143,0.221,0.19899999999999998,0.24100000000000002,
05,145,0.23600000000000002,0.213,0.262,
05,147,0.27899999999999997,0.252,0.307,
05,149,0.266,0.24,0.293,
06,000,0.179,0.168,0.191,
06,001,0.151,0.135,0.168,
06,003,0.154,0.136,0.17300000000000001,
06,005,0.163,0.145,0.182,
