"statecode","countycode","v014_race_white","v014_race_white_cilow","v014_race_white_cihigh","v014_race_black","v014_race_black_cilow","v014_race_black_cihigh","v014_race_asian","v014_race_asian_cilow","v014_race_asian_cihigh","v014_race_aian","v014_race_aian_cilow","v014_race_aian_cihigh","v014_race_nhopi","v014_race_nhopi_cilow","v014_race_nhopi_cihigh","v014_race_tom","v014_race_tom_cilow","v014_race_tom_cihigh","v014_race_hispanic","v014_race_hispanic_cilow","v014_race_hispanic_cihigh"
"01","061",27.4647887323944,22.4881123240075,32.4414651407813,24.3111831442464,13.6067846560508,40.0975994675621,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.5049504950495,23.7395480006556,91.0413665446425,41.0628019323672,23.9205953372157,65.7455237099194
"39","169",10.2895148669797,9.04593667876195,11.5330930551974,15.3846153846154,7.37752107097298,28.2928554492581,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.1816168327796,6.08101923282042,21.7962774233687,24.906600249066,15.2135984874271,38.4662240382
"42","075",9.75006866245537,8.44066381681407,11.0594735080967,13.3689839572193,6.41094745472251,24.5860374893286,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.1518987341772,12.1106491713617,37.1671220282209,40.0413711583924,35.2739846097839,44.808757707001
"29","199",9.4876660341556,4.54970464528694,17.448155637588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","091",38.8349514563107,30.3859577616981,48.9061941988446,NA,NA,NA,NA,NA,NA,27.1682340647858,17.7471924927861,39.8077576626176,NA,NA,NA,44.806517311609,28.0800058497548,67.8376056764262,46.2962962962963,22.2008735932057,85.1405372315638
"23","000",9.41028858218319,9.01750374297369,9.80307342139269,11.3530118872713,9.0683826639234,14.0381750125416,1.73943294485998,0.834125708146188,3.19887911671904,15.8567774936061,10.7739109867733,22.5074299249354,NA,NA,NA,13.9183769757018,11.4070476807322,16.4297062706714,12.7473594755372,10.3090902632899,15.1856286877845
"51","075",2.97353553374963,1.42592586860911,5.4684377169247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","047",19.7584193264539,17.2943110195038,22.222527633404,28.0210157618214,16.0164316175859,45.5043740762889,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.9808153477218,11.4997330842504,44.1015732422489,18.4453227931489,10.0842296130443,30.9481174200732
"13","229",37.8363228699552,31.4537157859586,44.2189299539517,37.2492836676218,19.8336747593232,63.6974095076186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.940119760479,14.3574511860253,55.0609462335862
"34","013",1.95586547047068,1.57670361763388,2.39869537398861,16.3401024645727,15.3936297387368,17.2865751904086,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.47524752475248,1.18697740003278,4.55206832723212,24.52601180262,23.1218433923533,25.9301802128867
