statecode,countycode,v149_numerator,v149_denominator,v149_rawvalue,v149_cilow,v149_cihigh,relative_standard_error,v149_sourceflag,v149_flag_CT
12,117,726,22366,0.03245998390414021,0.020264612209170575,0.04465535559910985,0.1916861214157045,,
12,119,233,2271,0.10259797446059005,0.03716406579432317,0.1680318831268569,0.325392849656416,,
12,121,,,,,,0.3869472561402411,,
12,123,,,,,,0.4261845519317339,,
12,125,,,,,,0.489015271665807,,
12,127,1545,25291,0.06108892491400103,0.04370044391144071,0.07847740591656135,0.14522557064782807,,
12,129,,,,,,0.3533759806858925,,
12,131,,,,,,0.5485245420591844,,
12,133,,,,,,0.47309388533344127,,
13,000,45087,603288,0.07473544973544974,0.0705534755831298,0.07891742388776968,0.028549507487392784,,
13,001,,,,,,0.5336640958288413,,
13,003,,,,,,0.5620062219313506,,
13,005,,,,,,0.5465356978604283,,
13,007,,,,,,0.9113487800844406,,
13,009,,,,,,0.4799613511515912,,
13,011,,,,,,0.6838509158210645,,
13,013,388,4470,0.08680089485458613,0.050518119405180674,0.12308367030399159,0.21326531435256993,,
13,015,442,5602,0.07890039271688683,0.04008411168050569,0.11771667375326797,0.25100287003163624,,
13,017,,,,,,0.552498870562011,,
