statecode,countycode,v053_numerator,v053_denominator,v053_rawvalue,v053_flag_CT
00,000,59248361,334914895,0.1769057210787833,NA
01,000,932312,5108468,0.18250324754897163,NA
01,001,10127,60342,0.16782672102349938,NA
01,003,55923,253507,0.2205974588472902,NA
01,005,5060,24585,0.2058165548098434,NA
01,007,3999,21868,0.182869946954454,NA
01,009,11481,59816,0.19193861174267754,NA
01,011,1907,9897,0.19268465191472164,NA
01,013,4066,18382,0.22119464693722118,NA
01,015,21825,116429,0.18745329771792252,NA
01,017,7205,34079,0.21142052290266733,NA
01,019,6460,25666,0.25169484921686275,NA
01,021,8152,46431,0.1755723546768323,NA
01,023,3040,12252,0.24812275546849494,NA
01,025,4683,22337,0.20965214666248824,NA
01,027,3084,14111,0.21855290199135427,NA
01,029,3053,15639,0.1952170854913997,NA
01,031,9764,55643,0.17547580108908578,NA
01,033,12238,58361,0.20969483045184284,NA
01,035,2819,11174,0.2522820834079112,NA
01,037,2741,10268,0.2669458511881574,NA
01,039,8550,37952,0.2252845699831366,NA
01,041,2633,13101,0.2009770246546065,NA
01,043,17862,92016,0.1941184141888367,NA
01,045,9256,49871,0.185598845020152,NA
01,047,7636,36165,0.2111433706622425,NA
01,049,13132,72569,0.18095881161377447,NA
01,051,15445,90441,0.17077431695801684,NA
01,053,6950,36558,0.19010886810000546,NA
01,055,20695,103241,0.20045330827868774,NA
01,057,3554,15967,0.22258407966430763,NA
01,059,5628,31802,0.1769700018866738,NA
01,061,5707,26988,0.21146435452793835,NA
01,063,1897,7341,0.2584116605367116,NA
01,065,3003,14888,0.20170607200429877,NA
01,067,4329,17899,0.2418570869880999,NA
01,069,20813,108462,0.19189209123932807,NA
01,071,11383,53467,0.21289767520152617,NA
01,073,114194,662895,0.17226559259007837,NA
01,075,3105,13661,0.22728936388258547,NA
01,077,20189,96814,0.20853388972669243,NA
01,079,6433,33502,0.19201838696197243,NA
01,081,25595,183215,0.1396992604317332,NA
01,083,18332,114654,0.15988975526366284,NA
01,085,2072,9717,0.21323453740866521,NA
01,087,4029,18370,0.21932498639085465,NA
01,089,66539,412600,0.1612675714978187,NA
01,091,3918,18684,0.2096981374438022,NA
01,093,6329,29244,0.2164204623170565,NA
01,095,17500,100756,0.17368692683314146,NA
01,097,73219,411640,0.17787144106500827,NA
01,099,4296,19229,0.22341255395496384,NA
01,101,37666,224980,0.16741932616232555,NA
01,103,23040,125133,0.184124091966148,NA
01,105,1722,7738,0.22253812354613595,NA
01,107,3709,18688,0.19846960616438356,NA
01,109,5274,33137,0.15915743730573076,NA
01,111,4918,22786,0.21583428420960238,NA
01,113,9408,58744,0.1601525262154433,NA
01,115,17443,95552,0.1825498158070998,NA
01,117,40691,233000,0.17463948497854076,NA
01,119,2408,11727,0.20533810863818538,NA
01,121,16185,81132,0.1994897204555539,NA
01,123,9836,40677,0.2418074095926445,NA
01,125,34292,237373,0.14446461897519938,NA
01,127,12984,64728,0.20059325176121617,NA
01,129,3240,15022,0.21568366395952604,NA
01,131,2351,9944,0.23642397425583267,NA
01,133,5295,23611,0.22425987887001822,NA
02,000,105311,733406,0.14359168046075435,NA
02,013,329,3461,0.09505923143600116,NA
02,016,364,5160,0.07054263565891473,NA
02,020,38032,286075,0.13294415800052434,NA
02,050,1613,18224,0.08850965759438104,NA
02,060,170,844,0.2014218009478673,NA
02,063,1221,6769,0.18038114935736446,NA
02,066,547,2674,0.20456245325355274,NA
02,068,213,1584,0.13446969696969696,NA
02,070,577,4607,0.12524419361840677,NA
02,090,12395,94840,0.1306938000843526,NA
02,100,556,2070,0.26859903381642514,NA
02,105,609,2262,0.2692307692307692,NA
02,110,5356,31555,0.16973538266518776,NA
02,122,12622,61223,0.20616434999918332,NA
02,130,2609,13738,0.18991119522492356,NA
02,150,1860,12565,0.14803024273776363,NA
02,158,592,8001,0.07399075115610548,NA
02,164,193,1331,0.1450037565740045,NA
02,170,16390,115239,0.14222615607563413,NA
02,180,911,9763,0.09331148212639558,NA
02,185,892,10603,0.0841271338300481,NA
02,188,689,7361,0.09360141285151474,NA
02,195,772,3427,0.22526991537788152,NA
02,198,1170,5696,0.20540730337078653,NA
02,220,1594,8282,0.19246558802221686,NA
02,230,220,1095,0.2009132420091324,NA
02,240,1119,7077,0.15811784654514624,NA
02,275,611,2064,0.29602713178294576,NA
02,282,153,687,0.22270742358078602,NA
02,290,932,5129,0.18171183466562682,NA
04,000,1434519,7431344,0.19303627984386135,NA
04,001,11219,65036,0.17250445906882342,NA
04,003,31957,124640,0.2563944159178434,NA
04,005,21678,144472,0.15004983664654742,NA
04,007,17047,54003,0.3156676480936244,NA
04,009,5818,39525,0.14719797596457937,NA
04,011,1350,9369,0.1440922190201729,NA
04,012,7281,16710,0.43572710951526034,NA
04,013,762598,4585871,0.166292946312707,NA
04,015,73953,223682,0.33061667903541636,NA
04,017,22446,109175,0.20559651934966797,NA
04,019,234094,1063162,0.22018657551718365,NA
04,021,103957,484239,0.21468118016103618,NA
04,023,9762,49158,0.19858415720737216,NA
04,025,86556,249081,0.3475014152022836,NA
04,027,44803,213221,0.21012470629065616,NA
05,000,551294,3067732,0.17970735383664543,NA
05,001,3342,16307,0.20494266266020728,NA
05,003,4035,18262,0.22095060781951595,NA
05,005,13224,42875,0.30843148688046645,NA
05,007,43569,311013,0.14008739184535696,NA
05,009,8215,38530,0.21321048533610173,NA
05,011,2001,10104,0.19804038004750593,NA
05,013,1069,4641,0.23033828916181856,NA
05,015,7008,28814,0.24321510376900118,NA
05,017,2209,9538,0.2315999161249738,NA
05,019,3579,21274,0.16823352448998777,NA
05,021,3086,14201,0.21730864023660307,NA
