statecode,countycode,denominator.x,numerator.x,v129_race_white,v129_race_white_cilow,v129_race_white_cihigh,denominator.y,numerator.y,v129_race_black,v129_race_black_cilow,v129_race_black_cihigh,denominator.x.x,numerator.x.x,v129_race_aian,v129_race_aian_cilow,v129_race_aian_cihigh,denominator.y.y,numerator.y.y,v129_race_asian,v129_race_asian_cilow,v129_race_asian_cihigh,denominator.x.x.x,numerator.x.x.x,v129_race_nhopi,v129_race_nhopi_cilow,v129_race_nhopi_cihigh,denominator.y.y.y,numerator.y.y.y,v129_race_tom,v129_race_tom_cilow,v129_race_tom_cihigh,v129_race_hispanic,v129_race_hispanic_cilow,v129_race_hispanic_cihigh,v129_race_flag_CT
00,000,13223664,57857,4.3752624083612535,4.33961054601073,4.4109142707117766,3711452,41441,11.165710886197639,11.058206214692502,11.273215557702775,190728,1521,7.9747074367685915,7.573927268151503,8.375487605385679,1596430,4457,2.7918543249625727,2.7098895014708315,2.873819148454314,68066,523,7.683718743572415,7.0251870423701295,8.3422504447747,599171,5258,8.775458091262761,8.538257603916376,9.012658578609146,5.134229661798873,5.078306342533337,5.190152981064409,
01,000,234949,1226,5.218153726979046,4.926056317379322,5.51025113657877,119624,1403,11.728415702534608,11.114700916728367,12.34213048834085,,,,,,,,,,,,,,,,7124,64,8.983717012914093,6.918556786389029,11.472006065256172,5.3617178627083275,4.624132975262169,6.099302750154486,
01,001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,003,12591,61,4.844730362957669,3.7058348471910527,6.223258828912405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,009,3846,27,7.02028081123245,4.626409290630466,10.2141400013422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,015,6021,31,5.148646404251785,3.4982554358315645,7.308092593132162,2250,23,10.222222222222223,6.480012016464302,15.338352397703572,,,,,,,,,,,,,,,,,,,,,,,,
01,017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,043,6261,23,3.6735345791407124,2.3287058037126145,5.512105557392275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,049,3963,26,6.560686348725713,4.285658141709902,9.61292558241863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,051,4524,21,4.641909814323608,2.873415336886867,7.095652240261581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,055,5784,25,4.322268326417705,2.7971441645624706,6.380520694593771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,069,5072,28,5.520504731861199,3.6683353028110273,7.978666392600196,3267,53,16.222834404652588,12.152016202129621,21.219866828651437,,,,,,,,,,,,,,,,,,,,,,,,
