statecode,countycode,v148_race_white,v148_race_white_cilow,v148_race_white_cihigh,v148_race_black,v148_race_black_cilow,v148_race_black_cihigh,v148_race_aian,v148_race_aian_cilow,v148_race_aian_cihigh,v148_race_asian,v148_race_asian_cilow,v148_race_asian_cihigh,v148_race_nhopi,v148_race_nhopi_cilow,v148_race_nhopi_cihigh,v148_race_tom,v148_race_tom_cilow,v148_race_tom_cihigh,v148_race_hispanic,v148_race_hispanic_cilow,v148_race_hispanic_cihigh,v148_race_flag_CT
00,000,12.927153148675107,12.856060512151648,12.998245785198565,31.99692760535061,31.75430717782185,32.23954803287937,18.59054428891168,17.82458462574829,19.35650395207507,2.8800927031987036,2.7743339520992496,2.9858514542981576,10.25386979443875,9.130380649691704,11.377358939185795,6.6317817249436954,6.375530233431233,6.888033216456158,8.419490193232244,8.317903077712472,8.521077308752016,
01,000,19.938695748130108,19.251814804109284,20.625576692150933,40.57988443344453,39.04521842816819,42.114550438720876,7.87959971633441,3.9334677883660136,14.098780462390637,5.532897024882228,3.424950463202595,8.457620837138752,,,,5.354353438542498,3.3942007782540333,8.034159120869415,9.742632134448323,7.99945406720772,11.485810201688926,
01,001,16.09619845665862,11.147085349889826,22.492823981064763,26.676003267810398,15.247640763669823,43.320158051252854,,,,,,,,,,,,,,,,
01,003,16.889585598341384,14.32795306846276,19.45121812822001,33.06911444919882,22.763256779398777,46.44133165232264,,,,,,,,,,,,,,,,
01,005,25.0604134968227,13.700761257138817,42.04711558549285,30.778174854231143,18.241097037428872,48.64278554029032,,,,,,,,,,,,,,,,
01,007,23.16536412294712,13.947062466461105,36.17558562233823,,,,,,,,,,,,,,,,,,,
01,009,20.89312182661074,15.650381962675214,27.32871776514721,,,,,,,,,,,,,,,,,,,
01,011,,,,34.620045006058504,17.88868244395077,60.474251480517424,,,,,,,,,,,,,,,,
01,013,24.916943521594682,12.874948315453105,43.52488589737739,30.756855229848345,16.376730051822467,52.59515915054032,,,,,,,,,,,,,,,,
01,015,23.565510892911938,19.08813948204835,28.77752218455441,25.85607860247895,17.68553862355534,36.50106824341919,,,,,,,,,,,,,,,,
