statecode,countycode,v148_denominator,v148_numerator,v148_rawvalue,v148_cilow,v148_cihigh,v148_sourceflag,v148_flag_CT
00,000,1657819843,228670,13.793416755477937,13.736880982589653,13.84995252836622,,
01,000,25047358,6102,24.361850858681382,23.75058484483837,24.973116872524393,,
01,001,291210,53,18.19992445314378,13.632992319067844,23.805949290616475,,
01,003,1191757,203,17.0336738110202,14.690435934204793,19.37691168783561,,
01,005,123530,33,26.714158504007123,18.388797516983594,37.516610757847715,,
01,007,110880,26,23.448773448773448,15.317517330083282,34.35788607785446,,
01,009,294074,54,18.362725028394213,13.794644195863883,23.959372944806642,,
01,011,50496,16,31.685678073510772,18.11110276782621,51.45555607882001,,
01,013,94868,27,28.460597883374795,18.75571334039378,41.408675681117025,,
01,015,575263,133,23.119859959705387,19.190557590953222,27.04916232845755,,
01,017,168827,48,28.43147126940596,20.96312250024181,37.69600607848701,,
01,019,128454,26,20.240708736201285,13.221902950158299,29.657327979763203,,
01,021,226414,37,16.34174565177065,11.506097046607556,22.524943749914243,,
01,023,62231,15,24.10374250775337,13.490681706518156,39.75545768425036,,
01,025,114525,26,22.702466710325258,14.830004990697528,33.26437379011136,,
01,027,68846,13,18.88272376027656,10.054255136106384,32.29003270801336,,
01,029,75965,25,32.909892713749755,21.29754735447815,48.58149371095948,,
01,031,270194,65,24.056788825806642,18.566521732249523,30.662352167654195,,
01,033,284520,72,25.305778152678194,19.800212881410218,31.868439492709804,,
01,035,57626,26,45.11852288897373,29.472917113102323,66.1090897912835,,
01,037,52197,16,30.65310266873575,17.52089670602051,49.778718312471895,,
01,039,187057,37,19.78006703838937,13.926992610330558,27.264216865410454,,
01,041,66662,19,28.501995139659776,17.160062950956668,44.509396015099455,,
01,043,440460,75,17.027652908323116,13.393329178915554,21.344310368440443,,
01,045,246888,59,23.89747577849065,18.19186579691741,30.826002625715212,,
01,047,183845,95,51.67396448094863,41.807323051119226,63.168741942155364,,
01,049,359551,73,20.303100255596565,15.91438959215776,25.528100376019403,,
01,051,432675,87,20.10747096550529,16.10525996089899,24.80249114982928,,
01,053,182837,42,22.97128043010988,16.55567840889847,31.050497863392337,,
01,055,514130,113,21.978876937739482,17.926383250742045,26.03137062473692,,
01,057,80776,17,21.045855204516194,12.259986220668626,33.696452926496256,,
01,059,158616,20,12.609068442023505,7.701946578783948,19.473683551895522,,
01,061,133154,25,18.775252714901544,12.150353611479435,27.71597676189252,,
01,063,38493,16,41.565999012807524,23.758559877488178,67.50057828062492,,
01,065,73558,31,42.14361456265804,28.63454142192807,59.81949686403756,,
01,067,87441,26,29.73433515170229,19.42345491885539,43.56769030903698,,
