statecode,countycode,v062_numerator,v062_denominator,v062_rawvalue,v062_rawalternatevalue,v062_cilow,v062_cihigh,v062_sourceflag,v062_flag_CT
00,000,1113571,334914895,0.003324937220245161,300.7575583415876,,,,
01,000,7470,5108468,0.0014622779275508821,683.8645247657296,,,,
01,001,22,60342,3.6458851214742636e-4,2742.818181818182,,,,
01,003,306,253507,0.001207067260470125,828.4542483660131,,,,
01,005,7,24585,2.847264592231035e-4,3512.1428571428573,,,,
01,007,8,21868,3.658313517468447e-4,2733.5,,,,
01,009,17,59816,2.842048950113682e-4,3518.5882352941176,,,,
01,011,2,9897,2.020814388198444e-4,4948.5,,,,
01,013,16,18382,8.704167120008704e-4,1148.875,,,,
01,015,190,116429,0.0016318958335122694,612.7842105263157,,,,
01,017,5,34079,1.467179201267643e-4,6815.8,,,,
01,019,17,25666,6.623548663601652e-4,1509.764705882353,,,,
01,021,39,46431,8.399560638366609e-4,1190.5384615384614,,,,
01,023,2,12252,1.632386549134835e-4,6126,,,,
01,025,23,22337,0.0010296816940502307,971.1739130434783,,,,
01,027,3,14111,2.1260009921337964e-4,4703.666666666667,,,,
01,029,7,15639,4.475989513395997e-4,2234.1428571428573,,,,
01,031,61,55643,0.001096274463993674,912.1803278688525,,,,
01,033,35,58361,5.997155634756087e-4,1667.4571428571428,,,,
01,035,9,11174,8.054412027921962e-4,1241.5555555555557,,,,
01,037,2,10268,1.9477989871445267e-4,5134,,,,
01,039,30,37952,7.904721753794267e-4,1265.0666666666666,,,,
01,041,9,13101,6.869704602702084e-4,1455.6666666666667,,,,
01,043,151,92016,0.001641018953225526,609.3774834437086,,,,
01,045,70,49871,0.001403621343065108,712.4428571428572,,,,
01,047,28,36165,7.74229227153325e-4,1291.607142857143,,,,
01,049,40,72569,5.511995480163706e-4,1814.225,,,,
01,051,33,90441,3.6487876073904534e-4,2740.6363636363635,,,,
01,053,37,36558,0.001012090376935281,988.0540540540541,,,,
01,055,159,103241,0.001540085818618572,649.3144654088051,,,,
01,057,3,15967,1.8788751800588715e-4,5322.333333333333,,,,
01,059,5,31802,1.5722281617508332e-4,6360.4,,,,
01,061,10,26988,3.7053505261597745e-4,2698.8,,,,
01,063,1,7341,1.3622122326658494e-4,7341,,,,
01,065,7,14888,4.7017732401934446e-4,2126.8571428571427,,,,
01,067,13,17899,7.262975585228225e-4,1376.8461538461538,,,,
01,069,208,108462,0.0019177223359333224,521.4519230769231,,,,
01,071,30,53467,5.6109375876709e-4,1782.2333333333333,,,,
01,073,1795,662895,0.0027078194887576465,369.3008356545961,,,,
01,075,3,13661,2.196032501281019e-4,4553.666666666667,,,,
01,077,190,96814,0.001962526080938707,509.5473684210526,,,,
01,079,41,33502,0.0012238075338785743,817.1219512195122,,,,
01,081,248,183215,0.0013536009606200366,738.7701612903226,,,,
01,083,75,114654,6.541420273169711e-4,1528.72,,,,
01,085,1,9717,1.0291242152927858e-4,9717,,,,
01,087,88,18370,0.004790419161676647,208.75,,,,
01,089,826,412600,0.002001938923897237,499.51573849878935,,,,
01,091,8,18684,4.2817383857846286e-4,2335.5,,,,
