statecode,countycode,v015_denominator,v015_numerator,v015_rawvalue,v015_cilow,v015_cihigh,v015_sourceflag,v015_flag_CT
00,000,2310706455,153777,6.6549777306092315,6.621715069901273,6.68824039131719,,
01,000,34809976,4573,13.137038646622452,12.756277217509309,13.517800075735595,,
01,001,402315,35,8.6996507711619,6.059625517944835,12.099108253255054,,
01,003,1622407,75,4.622761119743689,3.636094870242266,5.794671093556227,,
01,005,173681,23,13.242669031154819,8.394716196385717,19.87050563667473,,
01,007,155948,14,8.97735142483392,4.908001562251904,15.062470260494253,,
01,009,409927,23,5.6107550856615935,3.5567374281383466,8.418887483584403,,
01,011,70943,15,21.143735111286528,11.833988036569238,34.87337562759658,,
01,013,134373,23,17.11653382748022,10.850414173267456,25.683204881064672,,
01,015,804268,87,10.817289759135015,8.664205654809058,13.343086953916336,,
01,017,236155,32,13.550422392073001,9.268478885174805,19.129153343956492,,
01,019,,,,,,,
01,021,314634,19,6.038762498649224,3.6357295029674908,9.430275676368606,,
01,023,88017,12,13.63372984764307,7.044747161028229,23.81538231043657,,
01,025,162528,15,9.22917897223863,5.165501410700504,15.22212718515323,,
01,027,,,,,,,
01,029,105852,13,12.281298416657219,6.539274166764729,21.00139432241136,,
01,031,373977,26,6.952299205566117,4.541472661579814,10.186729152628377,,
01,033,393782,29,7.364480854889254,4.9321084096144405,10.57662296361606,,
01,035,82372,21,25.494099936871756,15.781249677167226,38.970439876345594,,
01,037,73666,12,16.28974017864415,8.417146456604424,28.454897847279547,,
01,039,261135,18,6.892986386351888,4.085220587205671,10.893890235904031,,
01,041,94357,12,12.717657407505538,6.571399163519629,22.215188113417078,,
01,043,606657,24,3.9561069929136234,2.5347523979260873,5.886373617011459,,
01,045,345070,29,8.404091923377866,5.6283522582513505,12.069677873644938,,
01,047,261370,115,43.998928721735474,35.95720305400901,52.04065438946194,,
01,049,502553,20,3.9796797551701015,2.4308917836335566,6.14629261046588,,
01,051,596239,48,8.050462985480655,5.935775892466484,10.673745961288555,,
01,053,257032,34,13.22792492763547,9.160722549944085,18.48469921846428,,
01,055,719386,53,7.3673938608758025,5.518683562420935,9.636732564882307,,
01,057,,,,,,,
01,059,221474,10,4.51520268744864,2.1652151928137995,8.3036185024056,,
01,061,,,,,,,
01,063,55056,11,19.97965707643127,9.973772826280221,35.74912546008056,,
01,065,103096,22,21.339334212772563,13.373247140751932,32.308008445647985,,
01,067,121797,12,9.852459420182763,5.090909553373414,17.2102638391561,,
01,069,745529,73,9.791704950444583,7.675133619550565,12.311598902655902,,
01,071,365984,28,7.650607676838332,5.083773240321307,11.057258225296241,,
01,073,4628536,1249,26.98477445136,25.48821613519862,28.48133276752138,,
01,075,,,,,,,
01,077,657757,38,5.777209516584392,4.088297295991704,7.92967143173841,,
01,079,231593,24,10.363007517498371,6.639774455482879,15.419333742277706,,
01,081,1198124,96,8.012526249369849,6.490171986788886,9.78466594437041,,
01,083,724790,42,5.794781936836877,4.176369118293257,7.83286176388894,,
01,085,68876,30,43.556536384226725,29.38741219208565,62.179664026377345,,
01,087,128938,56,43.43172687648327,32.80785973307343,56.39970994399243,,
01,089,2691303,230,8.546046283157267,7.44156745856256,9.650525107751974,,
01,091,132462,22,16.608536787908985,10.408481581306043,25.145524291589467,,
01,093,,,,,,,
01,095,683828,37,5.410717314880349,3.8096443209558584,7.457961086988369,,
01,097,2889762,513,17.75232700824497,16.216109614584454,19.288544401905483,,
01,099,141867,29,20.441681293042073,13.690114781836462,29.357664177424336,,
01,101,1582309,453,28.629047802925975,25.992632195011602,31.265463410840347,,
01,103,850481,88,10.347085943131004,8.298665492950086,12.74789927611014,,
01,105,60217,11,18.2672667187007,9.11895372940671,32.68518609911147,,
01,107,136023,11,8.08686766208656,4.036935200103541,14.469640070651256,,
01,109,231827,36,15.528821060532206,10.876195360037975,21.498433956888622,,
01,111,158291,12,7.5809742815447505,3.917200035834139,13.242436429220204,,
01,113,407045,90,22.110577454581186,17.779515319216788,27.177653524771564,,
01,115,639372,47,7.350963132573838,5.401211214608359,9.775222615417466,,
01,117,1558459,58,3.721625015480035,2.8259859053237695,4.8110633481339296,,
01,119,85774,18,20.98538018513769,12.437266281623254,33.16594803498495,,
01,121,563216,103,18.28783273202466,14.756003475117764,21.819661988931557,,
01,123,284355,31,10.901865625714336,7.407288769018252,15.474328041795907,,
01,125,1537995,135,8.77766182594872,7.2969585677652,10.258365084132238,,
01,127,448318,39,8.699182276865974,6.185968997327003,11.892068546396278,,
01,129,110502,13,11.76449295035384,6.264097021776802,20.117641235596533,,
01,131,72374,33,45.59648492552574,31.386522194061175,64.03441742776313,,
01,133,165537,12,7.249134634553001,3.745733647898788,12.662779347322324,,
02,000,5139598,452,8.794462134976316,7.9836949974313205,9.605229272521312,,
02,013,,,,,,,
02,016,,,,,,,
02,020,2022330,184,9.098416183313308,7.783757668933802,10.413074697692814,,
02,050,128153,28,21.848883756135244,14.518424583004322,31.57772033683815,,
02,060,,,,,,,
02,063,,,,,,,
02,066,,,,,,,
02,068,,,,,,,
02,070,,,,,,,
02,090,676963,71,10.488017808949676,8.191228923072464,13.229207372795942,,
02,100,,,,,,,
02,105,,,,,,,
02,110,223243,10,4.479423766926622,2.1480578097106893,8.237819793685706,,
02,122,416952,21,5.036550969895815,3.1177044321831255,7.698903167497311,,
02,130,,,,,,,
02,150,,,,,,,
02,158,57786,20,34.61045928079466,21.140967683182687,53.45304728251583,,
02,164,,,,,,,
02,170,771922,47,6.088698080894184,4.473746332798619,8.096677687725828,,
02,180,,,,,,,
02,185,71160,11,15.45812254075323,7.716639077061323,27.658851199131465,,
02,188,,,,,,,
02,195,,,,,,,
02,198,,,,,,,
02,220,,,,,,,
02,230,,,,,,,
02,240,,,,,,,
02,275,,,,,,,
02,282,,,,,,,
02,290,36582,10,27.33584823137062,13.108601760790647,50.27159816854677,,
04,000,50954891,3469,6.807982377982125,6.581428059792341,7.034536696171909,,
04,001,483277,82,16.967494832156298,13.4947521748199,21.061134946638912,,
04,003,881251,27,3.063826310551704,2.019080844363838,4.457706424748691,,
04,005,1003171,70,6.977873164196333,5.439594456772123,8.816122957306277,,
04,007,377225,40,10.603751076943468,7.5754752314371965,14.43929934759999,,
04,009,270940,17,6.274451908171551,3.6550994572995092,10.04600532070075,,
04,011,,,,,,,
04,012,133911,15,11.201469632815824,6.2693775214756915,18.475120693211043,,
04,013,31416335,2124,6.760814079681796,6.473287625705115,7.048340533658477,,
04,015,1508327,84,5.56908415748044,4.4421196292174034,6.894905134621848,,
04,017,768409,113,14.70571011011063,11.99425230665441,17.41716791356685,,
04,019,7343085,556,7.571749475867431,6.942366615660825,8.201132336074037,,
04,021,3218942,200,6.213221611324466,5.352113028985528,7.074330193663403,,
04,023,331829,19,5.7258407191655945,3.447330150278226,8.941609555399197,,
04,025,1673011,49,2.9288510356477033,2.166780119725999,3.8720963934438144,,
04,027,1479326,73,4.934679712247334,3.86800116556453,6.204618872579912,,
05,000,21205690,2174,10.251965392307442,9.821008894788624,10.68292188982626,,
05,001,120146,21,17.478734206715163,10.819611958846892,26.718101921781322,,
05,003,134615,12,8.91431118374624,4.606154669778417,15.571507668667646,,
05,005,294602,21,7.128261179489617,4.412506019672707,10.896304415768865,,
05,007,2014391,45,2.2339257869996443,1.6294407981486447,2.9891684631711923,,
05,009,264562,13,4.913782024629388,2.6163819788948532,8.402716912541816,,
05,011,,,,,,,
05,013,,,,,,,
05,015,,,,,,,
05,017,70546,18,25.51526663453633,15.121964080740977,40.3251215767414,,
05,019,152622,10,6.552135340907602,3.142003574931815,12.049610175477834,,
05,021,,,,,,,
05,023,175611,11,6.263844519990205,3.1268886158821707,11.207748098525693,,
05,025,,,,,,,
05,027,160990,22,13.665445058699298,8.5640616635999809,20.689648044676836,,
05,029,,,,,,,
05,031,777478,60,7.717260166847165,5.8890825142328485,9.933643576621247,,
05,033,436412,14,3.2079777824624434,1.753831305349211,5.38244161980779,,
05,035,334388,91,27.213895235474958,21.91093086379627,33.41263290445461,,
05,037,,,,,,,
05,039,47070,10,21.244954323348203,10.187781381203386,39.07022741027784,,
05,041,78087,18,23.051212109570095,13.661609205629015,36.43085310938823,,
05,043,124037,18,14.511798898715707,8.60061173714257,22.934898673402284,,
