statecode,countycode,v128_race_white,v128_race_white_cilow,v128_race_white_cihigh,sourceflag.x,v128_race_black,v128_race_black_cilow,v128_race_black_cihigh,sourceflag.y,v128_race_aian,v128_race_aian_cilow,v128_race_aian_cihigh,sourceflag.x.x,v128_race_asian,v128_race_asian_cilow,v128_race_asian_cihigh,sourceflag.y.y,v128_race_nhopi,v128_race_nhopi_cilow,v128_race_nhopi_cihigh,sourceflag.x.x.x,v128_race_tom,v128_race_tom_cilow,v128_race_tom_cihigh,sourceflag.y.y.y,v128_race_hispanic,v128_race_hispanic_cilow,v128_race_hispanic_cihigh,sourceflag,v128_race_flag_CT
00,000,43.95727715707283,43.63327609349309,44.281278220652574,,104.09203285845989,103.14911953801794,105.03494617890183,,88.83397707175037,85.209734354392907,92.45821978910783,,26.75229336687777,25.99467702666463,27.50990970709091,,82.66350670302528,75.93016562556963,89.39684778048093,,36.7333769169587,35.76476282023961,37.701991013677784,,46.54728539285744,46.08576614072456,47.00880464499032,,
01,000,55.151748465684,52.41751328031444,57.885983651053564,,114.05536503956925,108.54362356464,119.5671065144985,,57.751876936000414,28.82952888768225,103.33406055180319,,31.045420800431938,19.680133680292474,46.58337436030645,,,,,,42.210240767213335,33.201032013063475,52.91090231358989,,57.934461930776465,50.738425131318905,65.13049873023402,,
01,001,45.22840343735866,26.805218303431147,71.480376570501,,138.0011621150494,83.08571444194317,215.50590914864614,,,,,,,,,,,,,,,,,,,,,,
01,003,45.16389740664147,35.58401428394637,56.52935235169102,,106.47264983807284,68.21903577785574,158.4228631992955,,,,,,,,,,,,,,,,,,,,,,
01,005,,,,,96.78838539375275,48.31641326209273,173.1811571781958,,,,,,,,,,,,,,,,,,,,,,
01,007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,009,79.41788834274185,55.91752252056501,109.46709768814705,,,,,,,,,,,,,,,,,,,,,,,,,,
01,011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,015,55.91959049653729,39.76429532632161,76.44392106137228,,76.14037516439399,47.716767744963,115.27744302320633,,,,,,,,,,,,,,,,,,,,,,
01,017,104.47137484329293,58.47183544214594,172.30964529520713,,121.38684470070557,69.38306997679634,197.12463088962107,,,,,,,,,,,,,,,,,,,,,,
01,019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,021,59.140102903779045,36.124311270341074,91.33709238474952,,,,,,,,,,,,,,,,,,,,,,,,,,
01,023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,025,101.08157282927323,48.472543173278424,185.89261136174852,,160.55912353607857,93.53160624865214,257.0707103882377,,,,,,,,,,,,,,,,,,,,,,
01,027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,029,103.20678215997052,56.42410819241135,173.16344358153762,,,,,,,,,,,,,,,,,,,,,,,,,,
01,031,41.014823929220135,22.423185903499736,68.8159053197269,,128.1777397991882,66.23130857425994,223.90071617364828,,,,,,,,,,,,,,,,,,,,,,
01,033,47.905466546015866,28.39181556501711,75.71129043361897,,116.4551065564225,55.84475015875666,214.16508724837288,,,,,,,,,,,,,,,,,,,,,,
01,035,,,,,200.44097013429547,96.11923624238193,368.6180806177146,,,,,,,,,,,,,,,,,,,,,,
01,037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,039,71.59989976014033,43.735078886635684,110.58023807924174,,,,,,,,,,,,,,,,,,,,,,,,,,
01,041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,043,41.38078329818191,28.116234587849863,58.736718775193886,,,,,,,,,,,,,,,,,,,,,,,,,,
01,045,58.53389801329064,34.09815263439483,93.71844098717975,,,,,,,,,,,,,,,,,,,,,,,,,,
01,047,,,,,100.20732550103664,67.11041858171367,143.91443482580024,,,,,,,,,,,,,,,,,,,,,,
01,049,45.9210158527333,29.109984900061253,68.90407078791085,,,,,,,,,,,,,,,,,,,,,,60.9984984984985,32.479131433013336,104.30929015652626,,
01,051,56.916208669050036,38.93064459613426,80.34870440819677,,108.0580426057425,66.88963149159301,165.1781966396181,,,,,,,,,,,,,,,,,,,,,,
01,053,95.4390194896524,57.46052423330688,149.03985117332527,,122.6886337744282,67.0750177574323,205.8506802369256,,,,,,,,,,,,,,,,,,,,,,
01,055,60.86698337292162,43.67919814200606,82.57293581611478,,133.6005344021376,83.72674362196885,202.27281464216458,,,,,,,,,,,,,,,,,,,,,,
01,057,83.46548702111677,40.02494529782518,153.49600235387513,,,,,,,,,,,,,,,,,,,,,,,,,,
01,059,64.03219904866448,35.00699906833425,107.43514966079208,,,,,,,,,,,,,,,,,,,,,,,,,,
01,061,81.89588985002815,46.810577128737904,132.99379432646236,,,,,,,,,,,,,,,,,,,,,,,,,,
01,063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,065,,,,,141.81302498090977,75.50946319410713,242.50459166749073,,,,,,,,,,,,,,,,,,,,,,
01,067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,069,56.062382141583,38.59076427081501,78.73242829819971,,113.34655709832815,80.97644216998857,154.34584007929746,,,,,,,,,,,,,,,,,,,,,,
01,071,64.86378604929648,42.37117856400644,95.04047520987184,,,,,,,,,,,,,,,,,,,,,,,,,,
01,073,45.83199506313628,37.86080850801125,53.80318161826131,,128.80383951947755,116.14938747211475,141.45829156684033,,,,,,,,,,,,,,,,,,54.45634416409512,36.74146672975298,77.73981738030072,,
01,075,92.93680297397769,44.56680944360998,170.91408960983065,,,,,,,,,,,,,,,,,,,,,,,,,,
01,077,47.97745059821884,32.816540692801226,67.72984509193748,,,,,,,,,,,,,,,,,,,,,,,,,,
01,079,64.43852564653321,36.06575364199379,106.28154855007236,,,,,,,,,,,,,,,,,,,,,,,,,,
01,081,37.74568396078044,27.20376893573141,51.021199394712596,,128.21110541283974,96.58615080292431,166.88437683798628,,,,,,,,,,,,,,,,,,,,,,
01,083,49.3416415259255,34.36826120410489,68.62227897634853,,,,,,,,,,,,,,,,,,,,,,,,,,
01,085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,089,43.31021885783421,34.91414915016049,53.11613870647256,,100.30849594034484,81.21256404003395,119.40442784065573,,,,,,,,,,,,,,,,,,50.505050505050505,29.932493772164783,79.81975383705945,,
01,091,,,,,117.99410029498524,60.96927343876319,206.1119473763712,,,,,,,,,,,,,,,,,,,,,,
01,093,80.99236966622618,48.76269732028959,126.479617935912,,,,,,,,,,,,,,,,,,,,,,,,,,
01,095,65.63084078814079,48.05002412500088,87.54234432020145,,,,,,,,,,,,,,,,,,,,,,91.10233829334953,61.466365081751945,130.05425264138373,,
01,097,67.51096437195092,56.20597653131106,78.81595221259077,,101.52869916354196,86.52879241050687,116.52860591657705,,,,,,,,,,,,,,68.31067695880866,32.75762481134254,125.62576707437515,,,,,,
01,099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,101,25.861897467523423,13.770371199800667,44.22463229983663,,118.48878241445175,101.32125446171867,135.65631036718483,,,,,,,,,,,,,,,,,,153.08465581466552,103.28557443190752,218.53786495283802,,
01,103,61.585835257890686,45.40853326082017,81.65388270737395,,138.83489753984563,89.8466254669258,204.94769643766517,,,,,,,,,,,,,,,,,,99.38946471674004,61.523645151574556,151.92735451248706,,
01,105,,,,,201.1060834590246,103.91444794238672,351.2918560110097,,,,,,,,,,,,,,,,,,,,,,
01,107,,,,,137.43815283122595,65.90693645041829,252.7536564323499,,,,,,,,,,,,,,,,,,,,,,
01,109,,,,,100.9009009009009,55.16346145081513,169.29456664385998,,,,,,,,,,,,,,,,,,,,,,
01,111,81.17432185618617,41.94395663073948,141.79520427637797,,,,,,,,,,,,,,,,,,,,,,,,,,
01,113,77.17041800643086,45.73608051618233,121.96253062177057,,91.93451433824829,60.054677046767594,134.7053643192427,,,,,,,,,,,,,,,,,,,,,,
01,115,54.95033863146181,39.257327547688604,74.82676488671173,,156.90376569037656,87.81784657723131,258.7889003293498,,,,,,,,,,,,,,,,,,,,,,
01,117,36.988144661909224,28.086648989043706,47.815754235904365,,117.813383600377,84.1676085113954,160.42838997403413,,,,,,,,,,,,,,,,,,,,,,
01,119,,,,,157.67131594906004,83.95333524564951,269.6227521911326,,,,,,,,,,,,,,,,,,,,,,
01,121,94.49047826719,67.19196707233725,129.1715943834687,,154.6969872761728,110.51779572954699,210.65338965844478,,,,,,,,,,,,,,,,,,,,,,
01,123,105.83537788040603,66.3264678512032,160.2360339978123,,95.46125141022303,47.65391275914986,170.80654788945546,,,,,,,,,,,,,,,,,,,,,,
01,125,49.81630238495548,38.364623066688026,63.61430600355329,,118.88943282747046,95.81668918666846,141.96217646827247,,,,,,,,,,,,,,,,,,81.77506405713352,45.76888258618173,134.8755322002172,,
01,127,73.93859205354711,52.323348338709096,101.4864943753349,,,,,,,,,,,,,,,,,,,,,,,,,,
01,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,131,,,,,128.122998078155,61.43995766985821,235.62275518280302,,,,,,,,,,,,,,,,,,,,,,
01,133,75.32551382761217,41.181159347361444,126.38341290129975,,,,,,,,,,,,,,,,,,,,,,,,,,
02,000,49.688008718735674,42.44917873895005,56.926838698521294,,44.08976676513381,21.142756916063817,81.08265086203332,,155.50039049425416,135.0907608604726,175.9100201280357,,41.263582595937834,24.455414195588304,65.21425030380998,,92.34111895708854,53.79210466924111,147.84707667521246,,61.60717723614802,47.44503344714821,78.670989958882,,57.72730124866662,42.26363984309703,77.00013015070088,,
02,013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02,016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02,020,51.276207839562446,39.40204599841065,65.60454428220675,,,,,,139.6186207149943,98.8024456964256,191.63746525796236,,43.41147398650905,23.114781576851005,74.23494262391931,,96.76170816668818,54.15679352846933,159.59372256151363,,74.94269088344208,51.89999203088582,104.72489881679401,,60.61193812733356,39.22485052569783,89.47517746576726,,
02,050,,,,,,,,,175.62489789250122,127.10060942643027,236.56558491416286,,,,,,,,,,,,,,,,,,
02,060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02,063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02,066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02,068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02,070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02,090,59.413671934678916,41.38379942372094,82.6300350864606,,,,,,,,,,,,,,,,,,,,,,,,,,
02,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02,122,33.8786177523957,18.521755581019743,56.842563938233404,,,,,,,,,,,,,,,,,,,,,,,,,,
02,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02,158,,,,,,,,,224.71910112359552,152.68572656137624,318.9708264099221,,,,,,,,,,,,,,,,,,
02,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02,170,52.357212775159915,38.33206015271446,69.83718467366205,,,,,,,,,,,,,,,,,,,,,,,,,,
02,180,,,,,,,,,241.92154829790908,160.75511193932545,349.64399467140305,,,,,,,,,,,,,,,,,,
02,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02,188,,,,,,,,,227.34012058910747,144.11413499105151,341.121803843363,,,,,,,,,,,,,,,,,,
02,195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02,275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02,282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02,290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
