statecode,countycode,v001_race_white,v001_race_white_cilow,v001_race_white_cihigh,v001_race_white_flag2,v001_race_black,v001_race_black_cilow,v001_race_black_cihigh,v001_race_black_flag2,v001_race_aian,v001_race_aian_cilow,v001_race_aian_cihigh,v001_race_aian_flag2,v001_race_asian,v001_race_asian_cilow,v001_race_asian_cihigh,v001_race_asian_flag2,v001_race_nhopi,v001_race_nhopi_cilow,v001_race_nhopi_cihigh,v001_race_nhopi_flag2,v001_race_tom,v001_race_tom_cilow,v001_race_tom_cihigh,v001_race_tom_flag2,v001_race_hispanic,v001_race_hispanic_cilow,v001_race_hispanic_cihigh,v001_race_hispanic_flag2,v001_race_flag_CT
00,000,7868.754478887151,7854.269687551289,7883.239270223013,,13226.272745556194,13186.231675650371,13266.313815462017,,17137.2812840558,16944.87578406212,17329.68678404948,,3175.468866991848,3147.4831228625662,3203.4546111211293,,12199.527185074941,11901.767346866312,12497.28702328357,,5529.073916496508,5459.991476644662,5598.156356348354,,6576.908301627799,6554.8437173651955,6598.972885890403,,
01,000,10653.73606525263,10525.553586476863,10781.918544028396,,15464.879265187456,15219.691435558401,15710.06709481651,,5619.622784306495,4339.123193872311,6900.122374740679,,3486.9576664913225,3007.861918100665,3966.0534148819797,,9209.070868245271,5700.560012958768,14077.043060026323,1,3754.7781330558264,3156.062176984924,4353.494089126729,,6291.904704662427,5941.684218288071,6642.125191036784,,
01,001,9646.079397588504,8590.569990165248,10701.588805011761,,13273.280423431243,10873.916214190427,15672.644632672058,,,,,2,,,,2,,,,2,,,,2,,,,2,
01,003,8548.60794650376,8058.170055167381,9039.045837840138,,14173.39432899384,12268.56509588049,16078.223562107189,,,,,2,,,,2,,,,2,,,,2,3739.246992593301,2632.774961428447,5154.059423637772,,
01,005,10889.715475704073,8766.022660463403,13013.408290944744,,14240.093740758068,11770.998280608039,16709.1892009081,,,,,2,,,,2,,,,2,,,,2,,,,2,
01,007,12374.333713845463,10534.595768635794,14214.071659055131,,11697.11873717555,8394.054357537949,15868.462361615288,,,,,2,,,,2,,,,2,,,,2,,,,2,
01,009,12440.758607635686,11300.398801668347,13581.118413603024,,14090.761975961217,7703.55069313963,23641.904295235443,1,,,,2,,,,2,,,,2,,,,2,4250.248269994068,2558.927103626034,6637.289161151527,1,
01,011,14763.248773791911,9358.633316369685,22152.121848331186,1,20960.36312170768,16686.947814695686,25233.778428719674,,,,,2,,,,2,,,,2,,,,2,,,,2,
01,013,12530.502703953454,9769.493847523343,15291.511560383566,,17266.612529209422,14049.934510192696,20483.29054822615,,,,,2,,,,2,,,,2,,,,2,,,,2,
01,015,15220.307069172812,14256.563535680623,16184.050602665,,15419.664275444871,13670.383477085323,17168.94507380442,,,,,2,,,,2,,,,2,,,,2,6053.280869680454,3878.4512722296968,9006.802109112012,1,
01,017,12945.291977054088,10953.954024811464,14936.629929296712,,13829.128305215241,11516.951912025346,16141.304698405136,,,,,2,,,,2,,,,2,,,,2,,,,2,
01,019,14011.09013549741,12183.90556916926,15838.274701825561,,11327.501369861675,5431.977202445934,20831.678325820034,1,,,,2,,,,2,,,,2,,,,2,,,,2,
01,021,12686.061493445879,11382.578465579232,13989.544521312526,,15008.446258995582,10966.56796516063,19050.324552830534,,,,,2,,,,2,,,,2,,,,2,6232.484890021635,3858.0063780307096,9527.01520305656,1,
01,023,10371.558107359628,7277.630190624084,13465.486024095171,,15885.6254803938,11594.542469709982,20176.708491077618,,,,,2,,,,2,,,,2,,,,2,,,,2,
01,025,10383.409134099133,8209.430350097782,12557.387918100483,,17870.87548145125,14864.895963432435,20876.854999470066,,,,,2,,,,2,,,,2,,,,2,,,,2,
01,027,11309.802135607206,8988.714089075307,13630.890182139105,,14463.560950918014,9448.07821203932,21192.467935150748,,,,,2,,,,2,,,,2,,,,2,,,,2,
01,029,15453.386952223611,13009.102953321497,17897.670951125725,,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,
01,031,8453.404276344567,7473.3319811302645,9433.47657155887,,15359.126539134119,12471.471211569295,18246.781866698944,,,,,2,,,,2,,,,2,,,,2,6734.560988245896,4475.066868349074,9733.31570856534,,
01,033,11639.51053870039,10521.984259920875,12757.036817479904,,15854.892601209951,12849.185940815385,18860.59926160452,,,,,2,,,,2,,,,2,,,,2,,,,2,
01,035,16537.66361653131,11988.844914623463,21086.482318439157,,27496.2412800272,21703.95002957047,33288.53253048393,,,,,2,,,,2,,,,2,,,,2,,,,2,
01,037,12785.383754311171,9078.99382522299,16491.773683399355,,16891.1241781571,11476.699375732538,23975.60247954227,,,,,2,,,,2,,,,2,,,,2,,,,2,
01,039,13076.22119922515,11629.302357507808,14523.140040942493,,21420.961866490354,16616.961577209622,26224.962155771085,,,,,2,,,,2,,,,2,,,,2,,,,2,
01,041,11444.567242109782,9023.25196964769,13865.882514571875,,19493.827131016144,13837.411168737843,25150.243093294444,,,,,2,,,,2,,,,2,,,,2,,,,2,
01,043,11727.023362915079,10898.634313728266,12555.412412101892,,13314.637567775375,7089.483744544274,22768.43574141835,1,,,,2,,,,2,,,,2,,,,2,6529.7356765203995,4139.29229167055,9797.809585140705,1,
01,045,11794.432423939748,10479.1740265124,13109.690821367096,,15480.140281770846,12825.453709768093,18134.826853773597,,,,,2,,,,2,,,,2,,,,2,5373.178546251949,3130.0745110184525,8602.979360543432,1,
01,047,12720.274177707299,10124.492665166492,15316.055690248106,,22365.400610660887,20177.215107062955,24553.58611425882,,,,,2,,,,2,,,,2,,,,2,,,,2,
01,049,12360.17440918177,11339.441061777827,13380.907756585715,,22982.526389773095,13136.499599086508,37322.18299820972,1,,,,2,,,,2,,,,2,,,,2,7056.219649544688,5445.841355611797,8993.731184710849,,
01,051,8593.426029668735,7794.279727325815,9392.572332011656,,10761.66196484668,9111.010415047138,12412.313514646223,,,,,2,,,,2,,,,2,,,,2,,,,2,
01,053,14153.211178742753,12326.825446644263,15979.596910841243,,16013.015037729689,13509.733297315355,18516.296778144024,,16255.931529460082,10062.677828853877,24848.91813680355,1,,,,2,,,,2,,,,2,,,,2,
01,055,13787.600271140762,12871.32826329396,14703.872278987563,,19482.214967252956,16881.138521216817,22083.291413289095,,,,,2,,,,2,,,,2,,,,2,6685.869984139441,4326.742533973749,9869.66300412938,1,
01,057,13816.78988692992,11534.52103228285,16099.058741576991,,18065.76373968617,11575.07570992418,26880.42442707837,1,,,,2,,,,2,,,,2,,,,2,,,,2,
01,059,13004.591845833977,11395.774459621463,14613.40923204649,,20219.01707012396,12671.150352010825,30611.83482815851,1,,,,2,,,,2,,,,2,,,,2,7716.006848785381,5460.305679616931,10590.822247361637,,
01,061,13663.07295129527,11880.322111934893,15445.823790655646,,25223.448369746595,17252.820012685082,35607.98311427668,,,,,2,,,,2,,,,2,,,,2,,,,2,
01,063,15544.862137907983,8276.984399830988,26582.187678376315,1,16413.9210582401,12460.001226694101,20367.840889786097,,,,,2,,,,2,,,,2,,,,2,,,,2,
01,065,11975.89409420851,8971.788769185507,14979.999419231513,,19388.562528566938,15791.844648495215,22985.28040863866,,,,,2,,,,2,,,,2,,,,2,,,,2,
01,067,8482.382843552636,6596.803745195475,10367.961941909796,,15073.316639272105,10947.6827614863,19198.95051705791,,,,,2,,,,2,,,,2,,,,2,,,,2,
01,069,9161.486154650525,8359.795038220935,9963.177271080116,,15334.31283544425,13756.825784343982,16911.79988654452,,,,,2,,,,2,,,,2,,,,2,6645.457281525264,4300.589563645521,9810.005882941827,1,
01,071,14169.595352970082,12967.587699148091,15371.603006792073,,17563.672113616718,10574.477949448656,27427.849655919104,1,,,,2,,,,2,,,,2,,,,2,,,,2,
01,073,9972.954015468102,9583.681420648938,10362.226610287265,,17593.62107874905,17012.23180235784,18175.010355140257,,,,,2,2896.1473374696106,1924.4688730843845,4185.739266941418,,,,,2,4664.58988534249,2887.4546583114766,7130.321138015224,1,8117.115123327904,6950.713219346784,9283.517027309024,,
01,075,13112.95086546691,10710.206651718407,15515.695079215413,,14535.721315455614,8308.42066683693,23605.100751143673,1,,,,2,,,,2,,,,2,,,,2,,,,2,
01,077,9875.31138330856,9075.587588333265,10675.035178283857,,17008.12255439639,13769.811521209731,20246.433587583044,,,,,2,,,,2,,,,2,,,,2,,,,2,
01,079,13445.893067229119,11849.54465504371,15042.241479414528,,19261.046852769032,13394.608795307482,25127.48491023058,,,,,2,,,,2,,,,2,,,,2,,,,2,
01,081,6695.3197499594935,6172.463400913422,7218.1760990055645,,11703.883184709037,10441.972905436074,12965.793463982,,,,,2,,,,2,,,,2,,,,2,3913.474009746235,2480.806820472685,5872.132512463869,1,
01,083,9002.866241792975,8266.218944684328,9739.513538901623,,8607.950447712217,6807.153280280608,10408.747615143828,,,,,2,,,,2,,,,2,,,,2,6005.845509723511,4250.093732460512,8243.492195527206,,
01,085,11678.336030980865,6675.178089091375,18964.886064780334,1,23207.36483574875,19060.479707062987,27354.249964434515,,,,,2,,,,2,,,,2,,,,2,,,,2,
01,087,8037.964932881634,5037.349829395508,12169.575505402858,1,15892.058154645056,13203.407569845564,18580.708739444548,,,,,2,,,,2,,,,2,,,,2,,,,2,
01,089,8541.74895329221,8129.755282953032,8953.742623631388,,12587.678912584035,11763.644750480253,13411.713074687817,,,,,2,3199.4157685040645,2125.988543083242,4624.0465877677525,,,,,2,,,,2,5207.957644420791,4155.290489672671,6260.6247991689115,,
01,091,10624.624163137974,7900.3626737267605,13348.885652549188,,17714.81838551374,14679.380275944399,20750.256495083082,,,,,2,,,,2,,,,2,,,,2,,,,2,
01,093,11063.39573839708,9645.286831912053,12481.504644882105,,10128.016635591599,5055.8694134614525,18121.81940773425,1,,,,2,,,,2,,,,2,,,,2,,,,2,
01,095,13625.866585619488,12671.904770951547,14579.828400287428,,14433.384424889458,9872.424261988876,20375.632282688202,,,,,2,,,,2,,,,2,,,,2,7361.792516163517,5880.338388778356,9102.970451725827,,
01,097,11390.164721873061,10888.53583551939,11891.793608226733,,15535.160481634508,14813.093916270343,16257.227046998672,,13816.61355225886,9623.777580863552,19215.564792130637,,4639.887033894233,3193.884739253919,6516.126487191562,,,,,2,,,,2,5707.0910524924,4311.075248436218,7411.132440115141,,
01,099,12649.379726446352,10000.750396019037,15298.009056873667,,17674.03081961264,14289.804727983696,21058.256911241584,,,,,2,,,,2,,,,2,,,,2,,,,2,
01,101,10081.10111831705,9205.800879299764,10956.401357334336,,14794.45997517027,14051.062676907477,15537.857273433063,,,,,2,5140.437238780703,3046.5488915929454,8124.107013283721,1,,,,2,,,,2,12514.307383574254,9892.040675852462,15618.421975491234,,
01,103,10817.419532946933,10033.701240382537,11601.137825511329,,17279.91887536092,14891.436219629704,19668.401531092135,,,,,2,,,,2,,,,2,,,,2,8070.973328022531,6348.332512909951,10117.034955799007,,
01,105,7620.710867682032,3804.231407889694,13635.556799677865,1,22155.779001781422,17477.846679264614,26833.71132429823,,,,,2,,,,2,,,,2,,,,2,,,,2,
01,107,10657.201971051327,8181.387376238017,13133.016565864637,,17339.9351016629,13708.677672311254,20971.19253101455,,,,,2,,,,2,,,,2,,,,2,,,,2,
01,109,10751.430810366412,8995.20149153515,12507.660129197673,,16721.140195085114,14056.423117482937,19385.85727268729,,,,,2,,,,2,,,,2,,,,2,,,,2,
01,111,11059.395020000544,9190.297043194825,12928.492996806262,,17016.520415015835,11798.472782022458,22234.568048009212,,,,,2,,,,2,,,,2,,,,2,,,,2,
01,113,16320.049833423494,14549.11289586312,18090.98677098387,,14354.135954714595,12695.66263887111,16012.60927055808,,,,,2,,,,2,,,,2,,,,2,8670.272332201539,5610.943103869035,12799.032328755404,1,
01,115,11796.674678318303,10938.63210693022,12654.717249706386,,12125.369948234798,9498.908394994101,14751.831501475495,,,,,2,,,,2,,,,2,,,,2,,,,2,
01,117,6369.278031387659,5929.824735275451,6808.731327499868,,8712.44148306356,7477.6579596468455,9947.225006480274,,,,,2,2218.1804938379705,1146.1662297287394,3874.714922815981,1,,,,2,,,,2,3792.5168804128693,2814.87912845428,4999.960706209891,,
01,119,6625.667342467041,3527.8888127501746,11330.092941927529,1,20108.960194743682,16272.432386879425,23945.48800260794,,,,,2,,,,2,,,,2,,,,2,,,,2,
01,121,14742.719565750134,13474.269670418951,16011.169461081317,,17258.306123893795,15334.819556173414,19181.792691614177,,,,,2,,,,2,,,,2,,,,2,,,,2,
