statecode,countycode,v050_rawvalue,v050_numerator,v050_denominator,v050_cilow,v050_cihigh,v050_sourceflag,v050_flag_CT
00,000,0.44,,,,,,
01,000,0.43,,,,,,
01,001,0.46,,,,,,
01,003,0.45,,,,,,
01,005,0.47,,,,,,
01,007,0.36,,,,,,
01,009,0.38,,,,,,
01,011,0.46,,,,,,
01,013,0.42,,,,,,
01,015,0.36,,,,,,
01,017,0.39,,,,,,
01,019,0.36,,,,,,
01,021,0.37,,,,,,
01,023,0.47,,,,,,
01,025,0.33,,,,,,
01,027,0.41,,,,,,
01,029,0.3,,,,,,
01,031,0.44,,,,,,
01,033,0.35,,,,,,
01,035,0.38,,,,,,
01,037,0.38,,,,,,
01,039,0.44,,,,,,
01,041,0.45,,,,,,
01,043,0.51,,,,,,
01,045,0.4,,,,,,
01,047,0.41,,,,,,
01,049,0.33,,,,,,
01,051,0.47,,,,,,
01,053,0.35,,,,,,
01,055,0.29,,,,,,
01,057,0.4,,,,,,
01,059,0.33,,,,,,
01,061,0.36,,,,,,
01,063,0.39,,,,,,
01,065,0.39,,,,,,
01,067,0.43,,,,,,
01,069,0.43,,,,,,
01,071,0.49,,,,,,
01,073,0.46,,,,,,
01,075,0.39,,,,,,
01,077,0.39,,,,,,
01,079,0.39,,,,,,
01,081,0.47,,,,,,
01,083,0.45,,,,,,
01,085,0.42,,,,,,
01,087,0.38,,,,,,
01,089,0.49,,,,,,
01,091,0.4,,,,,,
01,093,0.4,,,,,,
01,095,0.36,,,,,,
01,097,0.39,,,,,,
01,099,0.41,,,,,,
01,101,0.48,,,,,,
01,103,0.4,,,,,,
01,105,0.41,,,,,,
01,107,0.4,,,,,,
01,109,0.43,,,,,,
01,111,0.3,,,,,,
01,113,0.42,,,,,,
01,115,0.42,,,,,,
01,117,0.45,,,,,,
01,119,0.51,,,,,,
01,121,0.38,,,,,,
01,123,0.4,,,,,,
01,125,0.45,,,,,,
01,127,0.43,,,,,,
01,129,0.39,,,,,,
01,131,0.4,,,,,,
01,133,0.44,,,,,,
02,000,0.37,,,,,,
02,013,,,,,,,
02,016,,,,,,,
02,020,0.39,,,,,,
02,050,0.06,,,,,,
02,060,0.44,,,,,,
02,063,,,,,,,
02,066,,,,,,,
02,068,,,,,,,
02,070,0.28,,,,,,
02,090,0.4,,,,,,
02,100,0.39,,,,,,
02,105,,,,,,,
02,110,0.39,,,,,,
02,122,,,,,,,
02,130,0.4,,,,,,
02,150,0.29,,,,,,
02,158,0.04,,,,,,
02,164,,,,,,,
02,170,0.38,,,,,,
02,180,0.24,,,,,,
02,185,,,,,,,
02,188,,,,,,,
02,195,,,,,,,
02,198,,,,,,,
02,220,0.43,,,,,,
02,230,0.36,,,,,,
02,240,0.27,,,,,,
02,275,,,,,,,
02,282,,,,,,,
02,290,0.38,,,,,,
04,000,0.43,,,,,,
04,001,0.22,,,,,,
04,003,0.36,,,,,,
04,005,0.34,,,,,,
04,007,0.37,,,,,,
04,009,0.35,,,,,,
04,011,0.32,,,,,,
04,012,0.25,,,,,,
04,013,0.43,,,,,,
04,015,0.41,,,,,,
04,017,0.32,,,,,,
04,019,0.52,,,,,,
04,021,0.42,,,,,,
04,023,0.37,,,,,,
04,025,0.43,,,,,,
04,027,0.37,,,,,,
05,000,0.41,,,,,,
05,001,0.37,,,,,,
05,003,0.39,,,,,,
05,005,0.48,,,,,,
05,007,0.44,,,,,,
05,009,0.45,,,,,,
05,011,0.38,,,,,,
05,013,0.35,,,,,,
05,015,0.37,,,,,,
05,017,0.42,,,,,,
05,019,0.43,,,,,,
05,021,0.32,,,,,,
05,023,0.41,,,,,,
05,025,0.38,,,,,,
05,027,0.37,,,,,,
05,029,0.38,,,,,,
05,031,0.47,,,,,,
05,033,0.47,,,,,,
05,035,0.43,,,,,,
05,037,0.32,,,,,,
05,039,0.31,,,,,,
05,041,0.37,,,,,,
05,043,0.37,,,,,,
05,045,0.42,,,,,,
05,047,0.39,,,,,,
05,049,0.34,,,,,,
05,051,0.44,,,,,,
05,053,0.39,,,,,,
05,055,0.42,,,,,,
05,057,0.36,,,,,,
05,059,0.39,,,,,,
05,061,0.37,,,,,,
05,063,0.38,,,,,,
05,065,0.35,,,,,,
05,067,0.38,,,,,,
05,069,0.4,,,,,,
05,071,0.33,,,,,,
05,073,0.35,,,,,,
05,075,0.36,,,,,,
05,077,0.38,,,,,,
05,079,0.35,,,,,,
05,081,0.39,,,,,,
05,083,0.41,,,,,,
05,085,0.42,,,,,,
05,087,0.33,,,,,,
05,089,0.45,,,,,,
05,091,0.39,,,,,,
05,093,0.36,,,,,,
05,095,0.41,,,,,,
05,097,0.28,,,,,,
05,099,0.32,,,,,,
05,101,0.4,,,,,,
05,103,0.33,,,,,,
05,105,0.43,,,,,,
05,107,0.29,,,,,,
05,109,0.34,,,,,,
05,111,0.45,,,,,,
05,113,0.3,,,,,,
05,115,0.39,,,,,,
05,117,0.38,,,,,,
05,119,0.45,,,,,,
05,121,0.46,,,,,,
05,123,0.33,,,,,,
05,125,0.36,,,,,,
05,127,0.35,,,,,,
05,129,0.41,,,,,,
05,131,0.47,,,,,,
05,133,0.34,,,,,,
05,135,0.39,,,,,,
05,137,0.32,,,,,,
05,139,0.31,,,,,,
05,141,0.38,,,,,,
05,143,0.45,,,,,,
05,145,0.33,,,,,,
05,147,0.32,,,,,,
05,149,0.3,,,,,,
06,000,0.36,,,,,,
06,001,0.35,,,,,,
06,003,0.38,,,,,,
06,005,0.41,,,,,,
06,007,0.42,,,,,,
06,009,0.41,,,,,,
06,011,0.36,,,,,,
06,013,0.38,,,,,,
06,015,0.28,,,,,,
06,017,0.46,,,,,,
06,019,0.38,,,,,,
06,021,0.38,,,,,,
06,023,0.28,,,,,,
06,025,0.27,,,,,,
06,027,0.33,,,,,,
06,029,0.33,,,,,,
06,031,0.32,,,,,,
06,033,0.32,,,,,,
06,035,0.32,,,,,,
06,037,0.31,,,,,,
06,039,0.37,,,,,,
06,041,0.42,,,,,,
06,043,0.37,,,,,,
06,045,0.34,,,,,,
06,047,0.35,,,,,,
06,049,0.35,,,,,,
06,051,0.43,,,,,,
06,053,0.39,,,,,,
06,055,0.43,,,,,,
06,057,0.42,,,,,,
06,059,0.39,,,,,,
06,061,0.45,,,,,,
06,063,0.34,,,,,,
06,065,0.34,,,,,,
06,067,0.36,,,,,,
06,069,0.4,,,,,,
06,071,0.28,,,,,,
06,073,0.36,,,,,,
06,075,0.32,,,,,,
06,077,0.33,,,,,,
06,079,0.42,,,,,,
06,081,0.43,,,,,,
06,083,0.45,,,,,,
06,085,0.34,,,,,,
06,087,0.48,,,,,,
06,089,0.36,,,,,,
06,091,0.3,,,,,,
06,093,0.4,,,,,,
06,095,0.32,,,,,,
06,097,0.42,,,,,,
06,099,0.33,,,,,,
06,101,0.39,,,,,,
06,103,0.38,,,,,,
06,105,0.33,,,,,,
06,107,0.37,,,,,,
06,109,0.42,,,,,,
06,111,0.4,,,,,,
06,113,0.36,,,,,,
06,115,0.32,,,,,,
08,000,0.43,,,,,,
08,001,0.39,,,,,,
08,003,0.28,,,,,,
08,005,0.49,,,,,,
08,007,0.39,,,,,,
08,009,0.26,,,,,,
08,011,0.33,,,,,,
08,013,0.48,,,,,,
08,014,0.54,,,,,,
08,015,0.37,,,,,,
08,017,0.24,,,,,,
08,019,0.34,,,,,,
08,021,0.2,,,,,,
08,023,0.24,,,,,,
08,025,0.29,,,,,,
08,027,0.37,,,,,,
08,029,0.4,,,,,,
08,031,0.47,,,,,,
08,033,0.33,,,,,,
08,035,0.52,,,,,,
08,037,0.54,,,,,,
08,039,0.41,,,,,,
08,041,0.38,,,,,,
08,043,0.38,,,,,,
08,045,0.45,,,,,,
08,047,0.35,,,,,,
08,049,0.37,,,,,,
08,051,0.39,,,,,,
08,053,0.35,,,,,,
08,055,0.29,,,,,,
08,057,0.25,,,,,,
08,059,0.45,,,,,,
08,061,0.32,,,,,,
08,063,0.32,,,,,,
08,065,0.33,,,,,,
08,067,0.43,,,,,,
08,069,0.45,,,,,,
08,071,0.28,,,,,,
08,073,0.28,,,,,,
08,075,0.42,,,,,,
08,077,0.44,,,,,,
08,079,0.41,,,,,,
08,081,0.28,,,,,,
08,083,0.35,,,,,,
08,085,0.42,,,,,,
08,087,0.36,,,,,,
08,089,0.33,,,,,,
08,091,0.42,,,,,,
08,093,0.39,,,,,,
08,095,0.34,,,,,,
08,097,0.47,,,,,,
08,099,0.3,,,,,,
08,101,0.39,,,,,,
08,103,0.42,,,,,,
08,105,0.3,,,,,,
08,107,0.51,,,,,,
08,109,0.2,,,,,,
08,111,0.49,,,,,,
08,113,0.41,,,,,,
08,115,0.28,,,,,,
08,117,0.52,,,,,,
08,119,0.38,,,,,,
08,121,0.37,,,,,,
08,123,0.42,,,,,,
08,125,0.37,,,,,,
09,000,0.48,,,,,,
09,001,0.5,,,,,,A
09,003,0.48,,,,,,A
09,005,0.47,,,,,,A
09,007,0.52,,,,,,A
09,009,0.45,,,,,,A
09,011,0.5,,,,,,A
09,013,0.48,,,,,,A
09,015,0.45,,,,,,A
09,110,,,,,,,U
09,120,,,,,,,U
09,130,,,,,,,U
09,140,,,,,,,U
09,150,,,,,,,U
09,160,,,,,,,U
09,170,,,,,,,U
09,180,,,,,,,U
09,190,,,,,,,U
10,000,0.52,,,,,,
