statecode,countycode,v125_rawvalue,v125_numerator,v125_denominator,v125_cilow,v125_cihigh,v125_sourceflag,v125_flag_CT
00,000,7.3,,,,,,
01,000,8.6,,,,,,
01,001,9.3,,,,,,
01,003,7.8,,,,,,
01,005,8.8,,,,,,
01,007,8.6,,,,,,
01,009,8.8,,,,,,
01,011,8.4,,,,,,
01,013,8.4,,,,,,
01,015,8.9,,,,,,
01,017,8.9,,,,,,
01,019,8.4,,,,,,
01,021,8.9,,,,,,
01,023,8.7,,,,,,
01,025,8.8,,,,,,
01,027,6.8,,,,,,
01,029,8.3,,,,,,
01,031,8.9,,,,,,
01,033,7.5,,,,,,
01,035,8.5,,,,,,
01,037,8.5,,,,,,
01,039,8.6,,,,,,
01,041,8.5,,,,,,
01,043,8.7,,,,,,
01,045,9,,,,,,
01,047,8.7,,,,,,
01,049,7.2,,,,,,
01,051,9.4,,,,,,
01,053,8.9,,,,,,
01,055,7.9,,,,,,
01,057,8.3,,,,,,
01,059,7.5,,,,,,
01,061,8.9,,,,,,
01,063,8.5,,,,,,
01,065,8.7,,,,,,
01,067,9,,,,,,
01,069,9.3,,,,,,
01,071,7.9,,,,,,
01,073,10.2,,,,,,
01,075,8.2,,,,,,
01,077,7.3,,,,,,
01,079,7.9,,,,,,
01,081,9.3,,,,,,
01,083,7.8,,,,,,
01,085,8.7,,,,,,
01,087,8.9,,,,,,
01,089,7.1,,,,,,
01,091,8.7,,,,,,
01,093,7.8,,,,,,
01,095,8.7,,,,,,
01,097,8,,,,,,
01,099,8.6,,,,,,
01,101,7.9,,,,,,
01,103,8.1,,,,,,
01,105,8.5,,,,,,
01,107,8.6,,,,,,
01,109,8.6,,,,,,
01,111,8.4,,,,,,
01,113,8.7,,,,,,
01,115,9.4,,,,,,
01,117,10,,,,,,
01,119,8.7,,,,,,
01,121,9.1,,,,,,
01,123,8.6,,,,,,
01,125,7.5,,,,,,
01,127,9,,,,,,
01,129,9,,,,,,
01,131,8.5,,,,,,
01,133,8.1,,,,,,
02,000,5.3,,,,,,
02,013,,,,,,,
02,016,,,,,,,
02,020,5.8,,,,,,
02,050,,,,,,,
02,060,,,,,,,
02,063,,,,,,,
02,066,,,,,,,
02,068,,,,,,,
02,070,,,,,,,
02,090,11.9,,,,,,
02,100,,,,,,,
02,105,,,,,,,
02,110,4.8,,,,,,
02,122,,,,,,,
02,130,,,,,,,
02,150,,,,,,,
02,158,,,,,,,
02,164,,,,,,,
02,170,4.7,,,,,,
02,180,,,,,,,
02,185,,,,,,,
02,188,,,,,,,
02,195,,,,,,,
02,198,,,,,,,
02,220,,,,,,,
02,230,,,,,,,
02,240,,,,,,,
02,275,,,,,,,
02,282,,,,,,,
02,290,,,,,,,
04,000,6,,,,,,
04,001,3.3,,,,,,
04,003,6.5,,,,,,
04,005,5.3,,,,,,
04,007,6,,,,,,
04,009,5.4,,,,,,
04,011,5.4,,,,,,
04,012,4.2,,,,,,
04,013,12.6,,,,,,
04,015,6.1,,,,,,
04,017,5.3,,,,,,
04,019,6.2,,,,,,
04,021,16.1,,,,,,
04,023,10.4,,,,,,
04,025,5.7,,,,,,
04,027,9.1,,,,,,
05,000,8.3,,,,,,
05,001,7.2,,,,,,
05,003,7.4,,,,,,
05,005,7.6,,,,,,
05,007,9.3,,,,,,
05,009,7.7,,,,,,
05,011,8.1,,,,,,
05,013,8.2,,,,,,
05,015,7.9,,,,,,
05,017,8.6,,,,,,
05,019,8.4,,,,,,
05,021,8.1,,,,,,
05,023,8.1,,,,,,
05,025,8,,,,,,
05,027,8.5,,,,,,
05,029,8.5,,,,,,
05,031,8.5,,,,,,
05,033,8.7,,,,,,
05,035,7.5,,,,,,
05,037,8.4,,,,,,
05,039,8.2,,,,,,
05,041,8.5,,,,,,
05,043,8.3,,,,,,
05,045,9.1,,,,,,
05,047,7.5,,,,,,
05,049,,,,,,,
05,051,8.1,,,,,,
05,053,8.3,,,,,,
05,055,8.3,,,,,,
05,057,8.9,,,,,,
05,059,8.4,,,,,,
05,061,8.9,,,,,,
05,063,8.2,,,,,,
05,065,7.6,,,,,,
05,067,7.1,,,,,,
05,069,8.7,,,,,,
05,071,7.9,,,,,,
05,073,8.5,,,,,,
05,075,8.2,,,,,,
05,077,8.5,,,,,,
05,079,8.4,,,,,,
05,081,9.3,,,,,,
05,083,8.1,,,,,,
05,085,9,,,,,,
05,087,7.7,,,,,,
05,089,7.5,,,,,,
05,091,9.3,,,,,,
05,093,8.3,,,,,,
05,095,8.3,,,,,,
05,097,7.8,,,,,,
05,099,8.6,,,,,,
05,101,7.2,,,,,,
05,103,8.4,,,,,,
05,105,8.3,,,,,,
05,107,8.5,,,,,,
05,109,8.4,,,,,,
05,111,8.5,,,,,,
05,113,7.2,,,,,,
05,115,8.3,,,,,,
05,117,8.4,,,,,,
05,119,9.6,,,,,,
05,121,7.9,,,,,,
05,123,8.5,,,,,,
05,125,8.9,,,,,,
05,127,7.7,,,,,,
05,129,7.3,,,,,,
05,131,9,,,,,,
05,133,9,,,,,,
05,135,7.6,,,,,,
05,137,7.5,,,,,,
05,139,8.5,,,,,,
05,141,7.9,,,,,,
05,143,6.9,,,,,,
05,145,8.5,,,,,,
05,147,8.2,,,,,,
05,149,8.2,,,,,,
06,000,12.6,,,,,,
06,001,11.8,,,,,,
06,003,9.7,,,,,,
06,005,14.2,,,,,,
06,007,16.1,,,,,,
06,009,12.7,,,,,,
06,011,12.8,,,,,,
06,013,11.1,,,,,,
06,015,10.3,,,,,,
06,017,14.6,,,,,,
06,019,20.3,,,,,,
06,021,17,,,,,,
06,023,8.8,,,,,,
06,025,11.9,,,,,,
06,027,12.2,,,,,,
06,029,21.1,,,,,,
06,031,20,,,,,,
06,033,9.6,,,,,,
06,035,12.4,,,,,,
06,037,15.6,,,,,,
06,039,17.1,,,,,,
06,041,8.6,,,,,,
06,043,21.3,,,,,,
06,045,12.4,,,,,,
06,047,15.3,,,,,,
06,049,10.4,,,,,,
06,051,39.1,,,,,,
06,053,8.8,,,,,,
06,055,10.3,,,,,,
06,057,12.4,,,,,,
06,059,12.7,,,,,,
06,061,13.1,,,,,,
06,063,21.1,,,,,,
06,065,14.8,,,,,,
06,067,14.9,,,,,,
06,069,8.9,,,,,,
06,071,17.4,,,,,,
06,073,20.6,,,,,,
06,075,10.5,,,,,,
06,077,15.1,,,,,,
06,079,10,,,,,,
06,081,9.8,,,,,,
06,083,9.3,,,,,,
06,085,12.5,,,,,,
06,087,11.1,,,,,,
06,089,9.8,,,,,,
06,091,10.8,,,,,,
06,093,10.9,,,,,,
06,095,12.4,,,,,,
06,097,8.3,,,,,,
06,099,15.6,,,,,,
06,101,16.7,,,,,,
06,103,13.3,,,,,,
06,105,10.2,,,,,,
