statecode,countycode,v160_rawvalue,v160_flag_CT
01,000,2.6488747397138175,NA
01,001,2.945717819,NA
01,003,2.930823139,NA
01,005,1.95950199,NA
01,007,2.240669765,NA
01,009,2.630106309,NA
01,011,2.187617893,NA
01,013,2.1513042589999998,NA
01,015,2.813200061,NA
01,017,2.433826868,NA
01,019,2.496581265,NA
01,021,2.676496387,NA
01,023,2.031269898,NA
01,025,2.530348827,NA
01,027,2.359525038,NA
01,029,2.859187351,NA
01,031,2.876749173,NA
01,033,2.709634329,NA
01,035,2.157662093,NA
01,037,2.407654595,NA
01,039,2.610653651,NA
01,041,2.658651242,NA
01,043,2.9459136,NA
01,045,2.553034556,NA
01,047,2.3231436370000003,NA
01,049,2.573858332,NA
01,051,2.853115232,NA
01,053,2.653321196,NA
01,055,2.680267232,NA
01,057,2.528060821,NA
01,059,2.5922615860000002,NA
01,061,2.939029212,NA
01,063,2.5123977220000002,NA
01,065,2.288223264,NA
01,067,2.568148762,NA
01,069,2.69995457,NA
01,071,2.760135422,NA
01,073,2.49456159,NA
01,075,3.024527653,NA
01,077,2.940644484,NA
01,079,2.40724901,NA
01,081,3.029601618,NA
01,083,2.744081075,NA
01,085,2.2488150730000003,NA
01,087,1.913440292,NA
01,089,2.910247371,NA
01,091,2.628864048,NA
01,093,2.875075046,NA
01,095,2.750253397,NA
01,097,2.5793977200000002,NA
01,099,2.35051685,NA
01,101,2.3289735,NA
01,103,2.784339523,NA
01,105,2.022773188,NA
01,107,2.4634090090000003,NA
01,109,2.676068261,NA
01,111,2.505040278,NA
01,113,2.511375941,NA
01,115,2.858906885,NA
01,117,2.75825996,NA
01,119,1.98916214,NA
01,121,2.44208127,NA
01,123,2.338466398,NA
01,125,2.532674026,NA
01,127,2.635711239,NA
01,129,2.49542864,NA
01,131,1.813129611,NA
01,133,2.561718256,NA
02,000,NA,NA
02,013,NA,NA
02,016,NA,NA
02,020,NA,NA
02,050,NA,NA
02,060,NA,NA
02,063,NA,NA
02,066,NA,NA
02,068,NA,NA
02,070,NA,NA
02,090,NA,NA
02,100,NA,NA
02,105,NA,NA
02,110,NA,NA
02,122,NA,NA
02,130,NA,NA
02,150,NA,NA
02,158,NA,NA
02,164,NA,NA
02,170,NA,NA
02,180,NA,NA
02,185,NA,NA
02,188,NA,NA
02,195,NA,NA
02,198,NA,NA
02,220,NA,NA
02,230,NA,NA
02,240,NA,NA
02,275,NA,NA
02,282,NA,NA
02,290,NA,NA
04,000,2.9060633254387986,NA
04,001,2.254012424,NA
04,003,2.811698951,NA
04,005,2.563927159,NA
04,007,2.256299414,NA
04,009,2.927495644,NA
04,011,3.165812960582687,NA
04,012,2.733241759,NA
04,013,2.984636493,NA
04,015,2.855337328,NA
04,017,2.444386731,NA
04,019,2.921344352,NA
04,021,2.70830115,NA
04,023,2.666478469,NA
04,025,2.825773459,NA
04,027,2.788134563,NA
05,000,2.774294556586438,NA
05,001,2.636196389,NA
05,003,2.566778943,NA
05,005,2.993814504,NA
05,007,3.056876493,NA
05,009,3.119543994205031,NA
05,011,2.511745757,NA
05,013,2.701983983,NA
05,015,2.963553835,NA
05,017,2.1600902250000003,NA
05,019,2.450489709,NA
05,021,2.712880786,NA
05,023,2.836660965,NA
05,025,2.753682423,NA
05,027,2.844484347,NA
05,029,2.778044679,NA
05,031,2.785875552,NA
05,033,2.617648669,NA
05,035,2.401374728,NA
05,037,2.689341289,NA
05,039,2.610509245,NA
05,041,2.4547655170000002,NA
05,043,2.859267729,NA
05,045,3.03864022,NA
05,047,3.1665100502088936,NA
05,049,3.2431317221401055,NA
05,051,2.994291541,NA
05,053,2.887292676,NA
05,055,2.722043111,NA
05,057,2.321584853,NA
05,059,2.654636429,NA
05,061,2.596115313,NA
05,063,2.769271275,NA
