statecode,countycode,v131_numerator,v131_denominator,v131_rawvalue,v131_rawalternatevalue,v131_cilow,v131_cihigh,v131_sourceflag,v131_flag_CT
00,000,468761,334914895,0.001399642138938013,714.4683431428808,,,,
01,000,6303,5108468,0.0012338337051342985,810.481992701888,,,,
01,001,28,60342,4.6402174273308804e-4,2155.0714285714284,,,,
01,003,231,253507,9.112174417274473e-4,1097.4329004329004,,,,
01,005,22,24585,8.948545861297539e-4,1117.5,,,,
01,007,28,21868,0.0012804097311139564,781,,,,
01,009,22,59816,3.6779457001471176e-4,2718.909090909091,,,,
01,011,6,9897,6.062443164595332e-4,1649.5,,,,
01,013,20,18382,0.0010880208900010881,919.1,,,,
01,015,122,116429,0.0010478489036236677,954.3360655737705,,,,
01,017,10,34079,2.934358402535286e-4,3407.9,,,,
01,019,28,25666,0.0010909374269461544,916.6428571428571,,,,
01,021,16,46431,3.4459735952273264e-4,2901.9375,,,,
01,023,7,12252,5.713352921971923e-4,1750.2857142857142,,,,
01,025,22,22337,9.849129247436988e-4,1015.3181818181819,,,,
01,027,5,14111,3.5433349868896607e-4,2822.2,,,,
01,029,5,15639,3.1971353667114265e-4,3127.8,,,,
01,031,46,55643,8.266987761263771e-4,1209.6304347826087,,,,
01,033,101,58361,0.0017306077688867567,577.8316831683169,,,,
01,035,5,11174,4.474673348845534e-4,2234.8,,,,
01,037,6,10268,5.84339696143358e-4,1711.3333333333333,,,,
01,039,42,37952,0.0011066610455311974,903.6190476190476,,,,
01,041,14,13101,0.0010686207159758797,935.7857142857143,,,,
01,043,106,92016,0.0011519735698139453,868.0754716981132,,,,
01,045,42,49871,8.421728058390648e-4,1187.404761904762,,,,
01,047,32,36165,8.84833402460943e-4,1130.15625,,,,
01,049,74,72569,0.0010197191638302856,980.6621621621622,,,,
01,051,42,90441,4.6439115003151226e-4,2153.3571428571427,,,,
01,053,25,36558,6.838448492805953e-4,1462.32,,,,
01,055,127,103241,0.0012301314400286708,812.9212598425197,,,,
01,057,11,15967,6.889208993549195e-4,1451.5454545454545,,,,
01,059,23,31802,7.232249544053834e-4,1382.695652173913,,,,
01,061,9,26988,3.334815473543797e-4,2998.6666666666665,,,,
01,063,2,7341,2.724424465331699e-4,3670.5,,,,
01,065,10,14888,6.716818914562063e-4,1488.8,,,,
01,067,4,17899,2.2347617185317615e-4,4474.75,,,,
01,069,232,108462,0.0021389979900794747,467.5086206896552,,,,
01,071,46,53467,8.603437634428713e-4,1162.3260869565217,,,,
01,073,1400,662895,0.0021119483477775513,473.49642857142857,,,,
01,075,12,13661,8.784130005124076e-4,1138.4166666666667,,,,
01,077,124,96814,0.0012808064949284194,780.758064516129,,,,
01,079,13,33502,3.880365351322309e-4,2577.076923076923,,,,
01,081,153,183215,8.35084463608329e-4,1197.483660130719,,,,
01,083,79,114654,6.890296021072095e-4,1451.3164556962026,,,,
01,085,3,9717,3.0873726458783575e-4,3239,,,,
01,087,18,18370,9.79858464888405e-4,1020.5555555555555,,,,
01,089,670,412600,0.0016238487639360156,615.820895522388,,,,
01,091,15,18684,8.028259473346178e-4,1245.6,,,,
01,093,30,29244,0.0010258514567090685,974.8,,,,
01,095,104,100756,0.0010321965937512406,968.8076923076923,,,,
01,097,716,411640,0.0017393839277038189,574.9162011173185,,,,
01,099,15,19229,7.800717666025275e-4,1281.9333333333334,,,,
01,101,414,224980,0.0018401635700951195,543.4299516908212,,,,
01,103,126,125133,0.001006928627939872,993.1190476190476,,,,
01,105,6,7738,7.753941586973378e-4,1289.6666666666667,,,,
01,107,9,18688,4.8159246575342463e-4,2076.4444444444443,,,,
01,109,41,33137,0.0012372876241059842,808.219512195122,,,,
01,111,21,22786,9.216185376985869e-4,1085.047619047619,,,,
01,113,21,58744,3.574833174451859e-4,2797.3333333333335,,,,
01,115,73,95552,7.639819156061621e-4,1308.9315068493152,,,,
01,117,175,233000,7.510729613733906e-4,1331.4285714285713,,,,
01,119,5,11727,4.263665046473949e-4,2345.4,,,,
01,121,55,81132,6.779076073559138e-4,1475.1272727272728,,,,
01,123,47,40677,0.0011554441084642426,865.468085106383,,,,
01,125,285,237373,0.0012006420275262983,832.8877192982457,,,,
01,127,64,64728,9.88752935360277e-4,1011.375,,,,
01,129,9,15022,5.991212887764612e-4,1669.111111111111,,,,
01,131,9,9944,9.050683829444891e-4,1104.888888888889,,,,
01,133,16,23611,6.776502477658719e-4,1475.6875,,,,
02,000,1362,733406,0.0018570887066645214,538.4772393538914,,,,
02,013,3,3461,8.668015024559376e-4,1153.6666666666667,,,,
02,016,13,5160,0.0025193798449612403,396.9230769230769,,,,
02,020,690,286075,0.0024119549069300007,414.6014492753623,,,,
02,050,35,18224,0.0019205443371378402,520.6857142857143,,,,
02,060,4,844,0.004739336492890996,211,,,,
02,063,3,6769,4.4319692716797166e-4,2256.3333333333335,,,,
02,066,6,2674,0.002243829468960359,445.6666666666667,,,,
02,068,3,1584,0.001893939393939394,528,,,,
02,070,5,4607,0.0010853049706967658,921.4,,,,
02,090,198,94840,0.002087726697595951,478.989898989899,,,,
02,100,3,2070,0.0014492753623188406,690,,,,
02,105,5,2262,0.0022104332449160036,452.4,,,,
02,110,41,31555,0.001299318649976232,769.6341463414634,,,,
02,122,101,61223,0.0016497068095323653,606.1683168316831,,,,
02,130,20,13738,0.0014558159848595137,686.9,,,,
02,150,16,12565,0.0012733784321528054,785.3125,,,,
02,158,3,8001,3.749531308586427e-4,2667,,,,
02,164,3,1331,0.002253944402704733,443.6666666666667,,,,
02,170,129,115239,0.0011194126988259183,893.3255813953489,,,,
02,180,13,9763,0.0013315579227696406,751,,,,
02,185,7,10603,6.601905121192116e-4,1514.7142857142858,,,,
02,188,10,7361,0.0013585110718652357,736.1,,,,
02,195,4,3427,0.0011672016340822876,856.75,,,,
02,198,7,5696,0.0012289325842696629,813.7142857142857,,,,
02,220,12,8282,0.0014489253803429123,690.1666666666666,,,,
02,230,3,1095,0.0027397260273972603,365,,,,
02,240,6,7077,8.47816871555744e-4,1179.5,,,,
02,275,1,2064,4.8449612403100775e-4,2064,,,,
02,282,0,687,0,,,,,
02,290,17,5129,0.003314486254630532,301.70588235294116,,,,
