statecode,countycode,v045_numerator,v045_rawvalue,v045_denominator,v045_cilow,v045_cihigh,v045_sourceflag,v045_flag_CT
00,000,1649716,495,,,,,
01,000,31060,612.1,,,,,
01,001,297,497,,,,,
01,003,830,336.8,,,,,
01,005,200,809.5,,,,,
01,007,92,418.1,,,,,
01,009,182,305.8,,,,,
01,011,75,735.1,,,,,
01,013,140,750.7,,,,,
01,015,654,564.8,,,,,
01,017,285,836.1,,,,,
01,019,61,241.1,,,,,
01,021,142,309.5,,,,,
01,023,47,377.8,,,,,
01,025,155,688.4,,,,,
01,027,57,401.5,,,,,
01,029,31,202,,,,,
01,031,272,496.3,,,,,
01,033,268,461.8,,,,,
01,035,53,473,,,,,
01,037,86,846,,,,,
01,039,175,465.4,,,,,
01,041,116,890.6,,,,,
01,043,210,231.6,,,,,
01,045,331,668.1,,,,,
01,047,312,848.6,,,,,
01,049,188,261.1,,,,,
01,051,496,553.8,,,,,
01,053,219,597.3,,,,,
01,055,503,487.9,,,,,
01,057,43,266.8,,,,,
01,059,96,300.6,,,,,
01,061,126,470.4,,,,,
01,063,76,1024,,,,,
01,065,134,918.1,,,,,
01,067,110,623.1,,,,,
01,069,726,671.7,,,,,
01,071,192,363,,,,,
01,073,6085,914.5,,,,,
01,075,52,379.4,,,,,
01,077,378,394.3,,,,,
01,079,171,514.8,,,,,
01,081,903,499.5,,,,,
01,083,337,303.9,,,,,
01,085,103,1053.5,,,,,
01,087,163,880.3,,,,,
01,089,2536,628.4,,,,,
01,091,137,730.9,,,,,
01,093,60,205.8,,,,,
01,095,384,386.2,,,,,
01,097,3119,758.1,,,,,
01,099,113,582.4,,,,,
01,101,2570,1135.4,,,,,
01,103,1054,848.6,,,,,
01,105,79,983.2,,,,,
01,107,95,508.1,,,,,
01,109,327,990.5,,,,,
01,111,111,493.8,,,,,
01,113,455,777,,,,,
01,115,272,289.6,,,,,
01,117,732,318.1,,,,,
01,119,79,666.5,,,,,
01,121,502,622,,,,,
01,123,196,478.3,,,,,
01,125,1606,678.3,,,,,
01,127,234,363.7,,,,,
01,129,74,489.4,,,,,
01,131,91,904.7,,,,,
01,133,59,248.4,,,,,
02,000,5338,727.7,,,,,
02,013,4,117.7,,,,,
02,016,13,253.8,,,,,
02,020,2348,817.7,,,,,
02,050,528,2892,,,,,
02,060,,,,,,,
02,063,7,101.8,,,,,
02,066,9,347.6,,,,,
02,068,9,567.8,,,,,
02,070,28,592.8,,,,,
02,090,713,747.7,,,,,
02,100,0,0,,,,,
02,105,7,306.1,,,,,
02,110,106,334.5,,,,,
02,122,180,296.6,,,,,
02,130,42,305.7,,,,,
02,150,28,220.1,,,,,
02,158,287,3467,,,,,
02,164,4,289.6,,,,,
02,170,388,342.4,,,,,
02,180,281,2857.1,,,,,
02,185,85,786.7,,,,,
02,188,150,2020.7,,,,,
02,195,,,,,,,
02,198,5,88.5,,,,,
02,220,23,274.4,,,,,
02,230,,,,,,,
02,240,18,256.4,,,,,
02,275,,,,,,,
02,282,,,,,,,
02,290,59,1139.2,,,,,
04,000,40796,554.4,,,,,
04,001,477,729,,,,,
04,003,395,314.3,,,,,
04,005,777,539.4,,,,,
04,007,203,376.5,,,,,
04,009,162,417.8,,,,,
04,011,28,301,,,,,
04,012,49,296.9,,,,,
04,013,28311,622,,,,,
04,015,449,203.3,,,,,
04,017,685,630.5,,,,,
04,019,5779,546.4,,,,,
04,021,1735,373.8,,,,,
04,023,185,379.4,,,,,
04,025,490,199,,,,,
04,027,1071,515.3,,,,,
05,000,17918,588.3,,,,,
05,001,129,781.2,,,,,
05,003,75,408.6,,,,,
05,005,63,148.5,,,,,
05,007,962,317.6,,,,,
05,009,124,323.9,,,,,
05,011,84,828.8,,,,,
05,013,19,404.7,,,,,
05,015,80,278.3,,,,,
05,017,71,719.1,,,,,
05,019,151,710.6,,,,,
05,021,46,322.5,,,,,
05,023,59,233.3,,,,,
05,025,38,508.9,,,,,
05,027,217,976.8,,,,,
05,029,79,375.4,,,,,
05,031,919,813.2,,,,,
05,033,186,304.5,,,,,
05,035,570,1211.2,,,,,
05,037,115,692.7,,,,,
05,039,51,823.8,,,,,
05,041,75,696.3,,,,,
05,043,116,685.9,,,,,
05,045,670,524.8,,,,,
05,047,41,237.4,,,,,
05,049,11,88.8,,,,,
05,051,458,457.6,,,,,
05,053,65,357.9,,,,,
05,055,194,417.7,,,,,
05,057,155,796.8,,,,,
05,059,155,466.8,,,,,
05,061,93,740.6,,,,,
05,063,135,355.8,,,,,
05,065,18,128.1,,,,,
05,067,98,589.5,,,,,
05,069,1044,1625,,,,,
05,071,90,346.1,,,,,
05,073,53,868.7,,,,,
05,075,66,407.3,,,,,
05,077,58,693.4,,,,,
05,079,66,511,,,,,
05,081,75,634.5,,,,,
05,083,68,320,,,,,
05,085,248,329.7,,,,,
05,087,30,171.6,,,,,
05,089,23,133.3,,,,,
05,091,399,937.7,,,,,
05,093,477,1226.3,,,,,
05,095,61,929.3,,,,,
