statecode,countycode,v059_numerator,v059_denominator,v059_rawvalue,v059_cilow,v059_cihigh,v059_sourceflag,v059_flag_CT
00,000,13134090,313447641,0.04190202216261057,0.04163342913677712,0.04217061518844402,,
01,000,53272,4759836,0.011191982244766417,0.010572816040047624,0.01181114844948521,,
01,001,219,55855,0.003920866529406499,0,0.008046294079806286,,
01,003,1904,227497,0.008369341134168802,0.005509192930965145,0.011229489337372459,,
01,005,378,23377,0.01616973948753048,0.005235609429463391,0.02710386954559757,,
01,007,146,21083,0.006925010672105488,0,0.014680043007880736,,
01,009,1000,55895,0.01789068789694964,0.012828919546736588,0.02295245624716269,,
01,011,179,9605,0.018636127017178553,0,0.03841900436621369,,
01,013,29,17741,0.0016346316442139676,0,0.007094057632477262,,
01,015,472,109637,0.004305115973622044,0.0021583978605824315,0.006451834086661657,,
01,017,97,32465,0.0029878330509779762,0,0.007631294394283946,,
01,019,231,24046,0.00960658737419945,0.001515517132044843,0.017697657616354057,,
01,021,1156,42742,0.027045996911702775,0.01424658168615582,0.03984541213724973,,
01,023,11,11851,9.281917137794279e-4,0,0.008951189692181189,,
01,025,25,21466,0.0011646324420013043,0,0.006815883815367486,,
01,027,43,13444,0.0031984528414162453,0,0.010772742100702932,,
01,029,56,14354,0.0039013515396405184,0,0.010795955579895686,,
01,031,888,50892,0.017448714925725063,0.010808188823671277,0.02408924102777885,,
01,033,419,54402,0.007701922723429286,0.002360598814264087,0.013043246632594485,,
01,035,12,10803,0.0011108025548458762,0,0.009979577675838115,,
01,037,0,9827,0,0,0.010184706053015032,,
01,039,63,35462,0.0017765495459928938,0,0.00567432673658998,,
01,041,47,12430,0.0037811745776347547,0,0.011813076259900765,,
01,043,710,84246,0.008427699831446003,0.00491344069324029,0.011941958969651716,,
01,045,438,46221,0.009476212111377945,0.004708329202079742,0.014244095020676147,,
01,047,70,35310,0.0019824412347776836,0,0.005720229410722137,,
01,049,2993,67696,0.044212361143937604,0.035052015443233955,0.05337270684464125,,
01,051,509,83887,0.00606768629227413,0.0022248318641195862,0.009910540720428674,,
01,053,181,34557,0.005237723181989177,0,0.011942792056511478,,
01,055,1012,97261,0.010404992751462559,0.006454905077519544,0.014355080425405575,,
01,057,8,15387,5.199194124910639e-4,0,0.006897839182581691,,
01,059,1294,29816,0.043399517037832035,0.029893788513430795,0.056905245562233274,,
01,061,151,25292,0.005970267278190732,0,0.01221647405082469,,
01,063,12,7282,0.0016478989288656962,0,0.013847240858744666,,
01,065,23,13780,0.0016690856313497822,,,,
01,067,50,16602,0.0030116853391157694,0,0.009366277304328666,,
01,069,636,100922,0.006301896514139632,0.004433071151682721,0.008170721876596544,,
01,071,264,50066,0.005273039587744177,0.001764454411132869,0.008781624764355485,,
01,073,7704,628251,0.012262614782945033,0.01016499397722313,0.014360235588666937,,
01,075,8,12890,6.206361520558572e-4,0,0.007977219138190687,,
01,077,726,90273,0.00804227177561397,0.004326295372511725,0.011758248178716216,,
01,079,230,31380,0.007329509241555131,0.002397442348490094,0.012261576134620167,,
01,081,2864,167937,0.017054014302982666,0.01284573435748658,0.021262294248478752,,
01,083,1290,101690,0.012685613137968335,0.008185004893093609,0.01718622138284306,,
01,085,22,9433,0.002332237888264603,0,0.013016499130828389,,
01,087,52,18031,0.002883922134102379,0,0.009192748548217219,,
01,089,4711,374506,0.012579237715817638,0.010229766008094667,0.014928709423540609,,
01,091,5,17833,2.803790725060281e-4,0,0.005734606350533766,,
01,093,52,27651,0.0018805829807240243,0,0.006072968842474613,,
01,095,3115,91535,0.034030698639864534,0.027392859123014607,0.04066853815671446,,
01,097,3240,386791,0.0083766168292437,,,,
01,099,17,18902,8.993757274362501e-4,0,0.00605670469459836,,
01,101,3082,211801,0.014551394941478085,0.012005186914538774,0.017097602968417395,,
01,103,3076,116194,0.026472967623113068,0.01878089508180064,0.034165040164425495,,
01,105,0,7709,0,0,0.011746425151039266,,
01,107,245,17899,0.01368791552600704,0.005876560555353597,0.021499270496660484,,
01,109,153,31305,0.0048873981792046,0,0.010247872359269904,,
01,111,24,21187,0.0011327700948694955,0,0.00655575568537951,,
01,113,374,54913,0.0068107734052045964,0,0.01470684256106808,,
01,115,103,87804,0.0011730672862284178,0,0.0029591935886112055,,
01,117,2822,214804,0.01313755795981453,,,,
01,119,43,11359,0.00378554450215688,,,,
01,121,416,76824,0.005414974487139436,0.0027548223308161554,0.008075126643462716,,
01,123,361,38930,0.009273054199845877,0.004748540269987995,0.013797568129703758,,
01,125,2134,221066,0.009653225733491356,0.006577097848436762,0.01272935361854595,,
01,127,428,61181,0.006995635900034324,0.002803052240747796,0.011188219559320853,,
01,129,8,14428,5.544774050457444e-4,0,0.007098787266464461,,
01,131,0,9713,0,,,,
01,133,241,22417,0.010750769505286167,0.003472874534908717,0.01802866447566362,,
02,000,9781,686146,0.014254983633220917,0.01249377463274914,0.016016192633692694,,
02,013,366,3317,0.1103406692794694,0.04301494271499394,0.17766639584394484,,
02,016,350,5059,0.0691836331290769,0.03323921833823541,0.10512804791991838,,
02,020,5719,270293,0.021158520568420196,,,,
02,050,176,16530,0.010647307924984877,0.005454896472206768,0.015839719377762986,,
02,060,4,814,0.004914004914004914,0,0.06207290160541011,,
02,063,62,6502,0.009535527529990772,0,0.022558716497933985,,
02,066,0,2446,0,0,0.019484699291939942,,
02,068,12,1950,0.006153846153846154,0,0.03684884702294051,,
02,070,79,4366,0.01809436555199267,0.00522803963441674,0.030960691469568605,,
02,090,549,88777,0.006184034152990076,0.0022935261322001325,0.01007454217378002,,
02,100,0,2016,0,0,0.02364066193853428,,
02,105,14,2230,0.006278026905829596,0,0.028339882174629336,,
02,110,296,30383,0.009742290096435506,0.0036494852650801332,0.01583509492779088,,
02,122,292,56458,0.005171986255269404,0.0025322267386192285,0.007811745771919579,,
02,130,76,13216,0.0057506053268765135,0,0.011739622233181696,,
02,150,600,12154,0.04936646371564917,0.026289254467636285,0.07244367296366205,,
02,158,52,7203,0.007219214216298764,0,0.01738247446915178,,
02,164,4,935,0.0042780748663101605,0,0.05403928567405749,,
02,170,639,103633,0.006165989597908002,0.0043135496538517165,0.008018429541964286,,
02,180,25,9067,0.0027572515716333956,0,0.010412896922157126,,
02,185,99,10255,0.009653827401267674,0,0.0214590233955888,,
02,188,21,6823,0.0030778250036640775,0,0.013042345131905098,,
02,195,83,3240,0.025617283950617284,0.0031269981563679,0.04810756974486667,,
02,198,15,5431,0.002761922297919352,0,0.015391432435806096,,
02,220,88,8008,0.01098901098901099,0.002240930701248242,0.019737091276773738,,
02,230,16,1243,0.012872083668543845,0,0.05358652336096478,,
02,240,136,6436,0.02113113735239279,0.0011177755272845057,0.04114449917750107,,
02,275,3,1969,0.0015236160487557136,0,0.024310358746451093,,
02,282,0,477,0,0,0.09991525045720147,,
02,290,5,4915,0.001017293997965412,0,0.014754131453221632,,
04,000,277654,6868676,0.040423219846153755,0.039471128265098056,0.04137531142720945,,
04,001,2611,61741,0.042289564470935036,0.036927880541543986,0.047651248400326085,,
