statecode,countycode,v005_rawvalue,v005_numerator,v005_denominator,v005_cilow,v005_cihigh,v005_sourceflag,v005_flag_CT
00,000,2666,,,,,,
01,000,3327,,,,,,
01,001,4365,,,,,,
01,003,2888,,,,,,
01,005,3560,,,,,,
01,007,5029,,,,,,
01,009,2099,,,,,,
01,011,4377,,,,,,
01,013,3956,,,,,,
01,015,3587,,,,,,
01,017,3244,,,,,,
01,019,3981,,,,,,
01,021,2652,,,,,,
01,023,2911,,,,,,
01,025,2715,,,,,,
01,027,2579,,,,,,
01,029,3879,,,,,,
01,031,3229,,,,,,
01,033,3801,,,,,,
01,035,8851,,,,,,
01,037,2166,,,,,,
01,039,5148,,,,,,
01,041,2631,,,,,,
01,043,3936,,,,,,
01,045,2899,,,,,,
01,047,3264,,,,,,
01,049,3154,,,,,,
01,051,3630,,,,,,
01,053,3640,,,,,,
01,055,4044,,,,,,
01,057,3940,,,,,,
01,059,5425,,,,,,
01,061,3186,,,,,,
01,063,2780,,,,,,
01,065,4263,,,,,,
01,067,3857,,,,,,
01,069,3542,,,,,,
01,071,2342,,,,,,
01,073,3161,,,,,,
01,075,2812,,,,,,
01,077,3140,,,,,,
01,079,3658,,,,,,
01,081,2107,,,,,,
01,083,2758,,,,,,
01,085,3194,,,,,,
01,087,3060,,,,,,
01,089,2609,,,,,,
01,091,2883,,,,,,
01,093,5097,,,,,,
01,095,3202,,,,,,
01,097,3646,,,,,,
01,099,3745,,,,,,
01,101,3364,,,,,,
01,103,3621,,,,,,
01,105,4058,,,,,,
01,107,3277,,,,,,
01,109,3044,,,,,,
01,111,3389,,,,,,
01,113,2833,,,,,,
01,115,3986,,,,,,
01,117,2771,,,,,,
01,119,2666,,,,,,
01,121,3315,,,,,,
01,123,1879,,,,,,
01,125,3919,,,,,,
01,127,4238,,,,,,
01,129,4398,,,,,,
01,131,2909,,,,,,
01,133,6881,,,,,,
02,000,2039,,,,,,
02,013,,,,,,,
02,016,,,,,,,
02,020,1886,,,,,,
02,050,3193,,,,,,
02,060,334,,,,,,
02,063,,,,,,,
02,066,,,,,,,
02,068,,,,,,,
02,070,4937,,,,,,
02,090,1286,,,,,,
02,100,,,,,,,
02,105,,,,,,,
02,110,1642,,,,,,
02,122,,,,,,,
02,130,1898,,,,,,
02,150,910,,,,,,
02,158,4240,,,,,,
02,164,,,,,,,
02,170,1814,,,,,,
02,180,5065,,,,,,
02,185,,,,,,,
02,188,,,,,,,
02,195,,,,,,,
02,198,,,,,,,
02,220,2905,,,,,,
02,230,2321,,,,,,
02,240,1135,,,,,,
02,275,,,,,,,
02,282,,,,,,,
02,290,1093,,,,,,
04,000,2006,,,,,,
04,001,3982,,,,,,
04,003,1596,,,,,,
04,005,1696,,,,,,
04,007,1905,,,,,,
04,009,1608,,,,,,
04,011,1471,,,,,,
04,012,2295,,,,,,
04,013,2118,,,,,,
04,015,1946,,,,,,
04,017,2333,,,,,,
