statecode,countycode,v127_numerator,v127_denominator,v127_rawvalue,v127_cilow,v127_cihigh,v127_sourceflag,v127_flag_CT
00,000,4622957,929344876,391.76306961848246,391.3930333267823,392.1331059101826,,
01,000,99954,14120528,549.4563735984482,545.8926098348414,553.0201373620549,,
01,001,1014,166787,484.7519899931018,454.0401034334743,515.4638765527293,,
01,003,3944,674498,403.92853571486796,390.27451286236277,417.58255856737316,,
01,005,565,67741,607.3430540724397,554.6108328847686,660.0752752601109,,
01,007,516,61360,636.3121727210048,579.6587566328681,692.9655888091415,,
01,009,1212,164060,553.6681270361033,521.0164351852413,586.3198188869653,,
01,011,272,28186,762.1994802777356,667.7296162851914,856.6693442702798,,
01,013,469,50686,671.6552883709496,606.7203914184593,736.59018532344,,
01,015,2905,322749,696.4987766706445,669.7838139616913,723.2137393795977,,
01,017,800,93906,604.4969240365563,559.4814304879098,649.5124175852027,,
01,019,684,68483,641.2400983255307,587.1890853755765,695.2911112754848,,
01,021,1039,128079,623.4006417611595,583.8162607000643,662.9850228222547,,
01,023,298,33204,576.7375394354962,504.1921144913225,649.2829643796698,,
01,025,549,61232,655.0212675016907,596.5234844009817,713.5190506023996,,
01,027,335,38563,584.778279842328,517.5030287155015,652.0535309691544,,
01,029,392,42269,696.6751868431732,623.4653177267148,769.8850559596315,,
01,031,975,152752,496.41542895965836,464.3320525876789,528.4988053316378,,
01,033,1282,158839,590.1036485140855,555.6948417869733,624.5124552411978,,
01,035,336,29979,822.0070484494479,724.1832049813545,919.8308919175413,,
01,037,253,27663,579.7252556360892,497.8552849578348,661.5952263143436,,
01,039,997,102026,687.2068335416685,641.2129135703132,733.2007535130239,,
01,041,360,36074,697.293159386157,620.5549232218708,774.0313955504431,,
01,043,1907,250677,566.4935001842944,539.6736518731801,593.3133484954086,,
01,045,1045,137644,595.2786828368457,557.342210817801,633.2151548558905,,
01,047,1062,101659,818.9793283292696,765.5459445709505,872.4127120875887,,
01,049,1572,200883,593.2001189773042,562.4931601592722,623.9070777953362,,
01,051,1528,251646,461.4381137245613,437.5206793680603,485.35554808106224,,
01,053,940,101071,717.0267434140856,669.1606283517631,764.892858476408,,
01,055,2730,285213,694.3722115169528,666.824368458521,721.9200545753846,,
01,057,447,43698,706.6658833517854,635.7992862747415,777.5324804288293,,
01,059,719,88837,635.0455841083348,586.88341021737,683.2077579992995,,
01,061,730,73426,692.2363703022232,638.3455108565961,746.1272297478504,,
01,063,215,20141,734.9239262198984,623.3623298263594,846.4855226134373,,
01,065,396,40648,731.349740434594,653.9033454788396,808.7961353903484,,
01,067,379,47885,515.116243026852,459.0094063602627,571.2230796934413,,
01,069,2108,298628,531.4488776748649,507.68490821717955,555.2128471325502,,
01,071,1420,145462,681.1202418614083,643.1959747398374,719.0445089829792,,
01,073,13319,1864095,584.5479311678101,574.2379207322854,594.8579416033349,,
01,075,352,36949,656.0690311874616,582.4028038998399,729.7352584750834,,
01,077,1801,261579,506.1002778913041,480.99809771796777,531.2024580646404,,
01,079,815,91949,634.412390133193,588.1905964442997,680.6341838220862,,
01,081,2149,513359,375.87130976306855,359.6265445067828,392.1160750193543,,
01,083,1712,312147,425.8024611003669,405.06897011993476,446.535952080799,,
01,085,305,26874,856.932493059405,752.4398606828988,961.4251254359112,,
01,087,401,50860,618.8266779679097,551.0288873304675,686.624468605352,,
01,089,5834,1132692,419.2699405996853,408.12275386093694,430.41712733843366,,
01,091,491,51553,679.0700427211194,615.1292179787906,743.0108674634482,,
01,093,644,79163,559.8637940151705,513.9343777456764,605.7932102846645,,
01,095,2112,277403,608.1061749369355,581.0139004776491,635.1984493962219,,
01,097,8614,1150668,592.3605790445719,579.3021886120996,605.4189694770441,,
01,099,490,52981,663.5220164921205,598.9913223876367,728.0527105966044,,
01,101,4324,635346,568.0136258355403,550.5068206264157,585.520431044665,,
01,103,2458,344746,541.4265641637934,518.9677398242836,563.8853885033031,,
01,105,234,21791,807.7394368899855,696.7268073306238,918.7520664493472,,
01,107,471,51616,640.5761491894565,579.4200582521366,701.7322401267763,,
01,109,621,92388,617.9901704289005,567.0680437303643,668.9122971274367,,
01,111,520,61315,572.9766844234857,519.5626843604051,626.3906844865663,,
01,113,1384,165663,689.1759910720069,651.4892757872807,726.8627063567332,,
01,115,1966,261799,563.535223476984,537.6164411010598,589.4540058529083,,
01,117,2576,643306,311.6180212855867,299.16946101827955,324.0665815528938,,
01,119,285,32876,715.7556538441971,624.3832443126296,807.1280633757647,,
01,121,2065,224867,680.1720805739411,649.0453294557452,711.298831692137,,
01,123,960,111054,559.9779235237504,520.6665937246215,599.2892533228793,,
01,125,3491,663563,476.2289436769192,459.9379169079906,492.5199704458478,,
01,127,1947,178143,830.7461810133076,791.2645109609103,870.2278510657048,,
01,129,334,41370,581.3168643099447,514.0294794001145,648.6042492197748,,
01,131,295,27623,818.8143438878969,717.202730862823,920.4259569129708,,
01,133,589,64136,631.0709357545951,575.4086630187735,686.7332084904167,,
02,000,10805,2098073,449.23451141652396,440.5519181822247,457.9171046508232,,
02,013,27,9771,210.2295529756584,136.04948210418235,310.34029173476057,,
02,016,41,15107,242.49808196939773,168.9087992388671,337.25612925524393,,
02,020,4177,822591,460.38661605054097,446.18604595993423,474.5871861411477,,
02,050,297,53688,590.502134096912,521.6191124141435,659.3851557796804,,
02,060,24,2364,783.1390153269157,478.36165594176134,1209.4946927873123,,
02,063,,,,,,,
02,066,,,,,,,
02,068,21,4588,382.9332415469766,226.95050798164306,605.1996141108766,,
02,070,101,13598,729.7789368036676,580.8796995983986,878.6781740089367,,
02,090,1243,273861,427.8377295168182,403.48822805714184,452.1872309764945,,
02,100,22,5669,253.23585207475486,147.5192158667683,405.4551305145838,,
02,105,41,6288,443.4366107974945,296.97645772183046,636.848941980091,,
02,110,392,90017,344.8923753479881,309.4225131654809,380.3622375304953,,
02,122,937,169521,387.45405177078607,360.65642694113126,414.2516766004409,,
02,130,231,38534,452.5565366216262,390.5795500386502,514.5335232046021,,
02,150,162,36345,388.99463687212204,326.7196816342453,451.26959210999877,,
02,158,163,24190,848.9343288180248,711.5594200784274,986.3092375576223,,
02,164,28,3947,677.7194789148383,442.70886432040874,993.0160611670241,,
02,170,1626,325093,420.0017736375465,399.03967238411536,440.9638748909776,,
02,180,183,28696,667.0408800491285,568.6440109451215,765.4377491531355,,
02,185,138,31651,432.78865620220523,358.78067540382864,506.7966370005818,,
02,188,159,21592,816.051333279382,685.8007179777387,946.3019485810253,,
02,195,43,9371,293.4426004502861,206.61067124270426,404.4719707319074,,
02,198,145,16036,611.1276379733167,500.3405116401958,721.9147643064376,,
02,220,101,23309,324.2865617012484,258.2918652327178,390.281258169779,,
02,230,,,,,,,
02,240,123,19983,505.0051894858335,412.6606828751427,597.3496960965243,,
02,275,33,5558,428.13851107462654,268.3121254855039,648.2068509629004,,
02,282,,,,,,,
02,290,167,14691,994.3482782617368,832.8557296422521,1155.8408268812216,,
04,000,107454,20285549,420.8587640435134,418.2321971337378,423.485330953289,,
04,001,2003,183349,1009.1322588786451,962.6548039336211,1055.609713823669,,
04,003,2380,336717,474.64950730841247,453.6142408271498,495.68477378967515,,
04,005,1981,411233,457.6804942308195,436.5931898876013,478.76779857403767,,
04,007,1464,140648,720.6672453338284,676.3282763902362,765.0062142774207,,
04,009,649,110512,536.6010935645118,494.61993206331505,578.5822550657084,,
04,011,154,26464,529.6852969037291,444.5760198277442,614.794573979714,,
04,012,650,37714,1079.1389439579968,979.073026384778,1179.2048615312156,,
04,013,57972,12689683,384.46483382137853,381.26069610028344,387.6689715424736,,
04,015,6134,569579,614.2200142180179,595.661659416136,632.7783690198999,,
04,017,2841,301443,800.1503992495727,768.3482480722797,831.9525504268657,,
04,019,16236,2875457,432.41025322078133,425.30843393294083,439.5120725086218,,
04,021,6975,1271648,415.71061148747873,405.3815131651275,426.03970980982996,,
04,023,499,133672,285.0598320570906,258.63707520338073,311.4825889108005,,
04,025,4596,634759,414.7794520579367,399.70059519537165,429.8583089205017,,
04,027,2920,562671,440.5312204136081,423.8152384198465,457.2472024073697,,
05,000,57848,8467784,539.3756838848312,534.8015661826661,543.9498015869964,,
05,001,477,45366,777.6285217028307,702.7822716634694,852.4747717421919,,
05,003,434,49900,621.7151283234786,558.6615599757899,684.7686966711672,,
05,005,996,109104,534.6679688474741,496.0598711441273,573.2760665508208,,
05,007,3321,856362,345.93045871523884,334.0481320156613,357.8127854148164,,
05,009,781,104076,543.8659447837712,503.16805394056803,584.5638356269743,,
05,011,221,28142,583.5610463511714,502.03328887314035,665.0888038292024,,
05,013,138,12762,747.0101991274868,612.3483373008481,881.6720609541254,,
05,015,556,77614,474.48864975169386,430.81381545911535,518.1634840442723,,
05,017,316,26656,835.7230312316668,735.2661954099915,936.17986705334215,,
05,019,409,59264,606.6566735381404,544.5782117486117,668.735135327669,,
05,021,310,38624,557.1131422285199,490.80135497406707,623.4249294829727,,
05,023,542,66315,491.5588081773102,444.7885281048891,538.3290882497313,,
05,025,179,20286,610.1910862200751,513.6847271354111,706.6974453047392,,
05,027,453,61903,618.7116838403473,558.2658139067996,679.157553773895,,
05,029,483,57682,605.5992915647593,547.8170366505708,663.3815464789477,,
05,031,1778,319482,501.9813605178483,478.26175743602903,525.7009635996676,,
05,033,1239,169932,544.9881736317665,513.3436669431935,576.6326803203394,,
05,035,1196,133379,782.460362375686,736.5916322161577,828.3290925352144,,
05,037,388,45655,632.428538087313,566.7265035663834,698.1305726082426,,
05,039,168,16613,677.9453451881564,563.8420553384342,792.0486350378785,,
05,041,291,29747,745.378308972555,652.1203983262908,838.6362196188193,,
05,043,357,46849,599.5310925405576,534.2234185660732,664.8387665150419,,
05,045,1747,361218,444.2559468719003,423.0004633607648,465.51143038303576,,
05,047,391,47435,607.6570309213597,543.3494605292423,671.9646013134771,,
05,049,325,32736,626.6721138115083,550.2621167002469,703.0821109227697,,
05,051,2366,268091,603.6048555281067,576.7502656228169,630.4594454333965,,
05,053,397,50321,574.5588779450098,515.5288968252733,633.5888590647464,,
05,055,918,129572,571.0954912941226,533.1905356487479,609.0004469394972,,
05,057,429,53668,608.032244592296,546.5495482556896,669.5149409289024,,
05,059,807,91653,634.7064211886192,588.3532368311901,681.0596055460483,,
05,061,276,34692,618.6405427957877,541.9762901618805,695.304795429695,,
05,063,749,105052,538.54039910201,498.3839478837248,578.6968503202953,,
