statecode,countycode,v155_race_AIAN,v155_race_asian,v155_race_black,v155_race_hispanic,v155_race_white,v155_race_flag_CT
12,035,,0.38,0.37,0.33,0.43,
12,037,,,0.19,,0.32,
12,039,,,0.25,0.3,0.35,
12,041,,,0.24,,0.34,
12,043,,,,0.31,0.41,
12,045,,,0.28,,0.36,
12,047,,,0.27,,0.35,
12,049,,,0.23,0.22,0.34,
12,051,0.21,,0.2,0.21,0.32,
12,053,,0.39,0.31,0.33,0.39,
12,055,,0.32,0.24,0.25,0.39,
12,057,0.23,0.44,0.28,0.3,0.45,
12,059,,,0.28,,0.33,
12,061,,0.48,0.29,0.34,0.5,
12,063,,0.38,0.28,0.23,0.33,
12,065,,,0.15,,0.3,
12,067,,,,,0.3,
12,069,0.62,0.49,0.35,0.35,0.5,
12,071,0.27,0.5,0.33,0.28,0.51,
12,073,,0.38,0.28,0.31,0.42,
12,075,,0.27,0.3,0.28,0.35,
12,077,,,,,0.17,
12,079,,,0.3,0.45,0.34,
12,081,,0.46,0.33,0.31,0.49,
12,083,0.33,0.42,0.3,0.28,0.42,
12,085,,0.52,0.29,0.39,0.5,
12,086,0.55,0.35,0.18,0.23,0.46,
12,087,,0.29,0.16,0.24,0.44,
12,089,,0.54,0.43,0.4,0.48,
12,091,0.27,0.31,0.31,0.31,0.36,
12,093,0.51,0.27,0.29,0.27,0.36,
12,095,0.21,0.41,0.29,0.28,0.45,
12,097,0.33,0.43,0.27,0.25,0.42,
12,099,0.39,0.45,0.27,0.29,0.56,
12,101,0.23,0.48,0.31,0.32,0.43,
12,103,0.09,0.4,0.27,0.33,0.47,
12,105,0.25,0.42,0.31,0.29,0.45,
12,107,,0.44,0.26,0.23,0.34,
12,109,,0.51,0.37,0.39,0.5,
12,111,0.33,0.35,0.27,0.28,0.45,
12,113,0.47,0.34,0.28,0.31,0.35,
12,115,0.35,0.49,0.35,0.37,0.52,
12,117,,0.46,0.31,0.31,0.46,
12,119,,0.56,0.31,0.36,0.49,
12,121,,,0.27,0.2,0.32,
12,123,,,0.31,,0.31,
12,125,,,0.26,,0.34,
12,127,0.29,0.44,0.29,0.29,0.44,
12,129,,,0.25,0.29,0.32,
12,131,,0.2,0.25,0.28,0.39,
12,133,,0.46,0.28,,0.31,
13,000,0.36,0.48,0.33,0.3,0.47,
13,001,,,0.28,,0.33,
13,003,,,0.2,,0.32,
13,005,,,,,0.28,
13,007,,,0.23,,0.4,
13,009,,0.52,0.26,,0.47,
13,011,,,,0.16,0.45,
13,013,,0.4,0.34,0.29,0.46,
13,015,,0.39,0.39,0.3,0.47,
13,017,,,0.23,0.21,0.33,
13,019,,,0.16,,0.3,
13,021,,0.5,0.34,0.33,0.47,
13,023,,,0.17,,0.36,
13,025,,,0.29,,0.39,
13,027,,,0.29,,0.38,
13,029,,0.28,0.29,0.26,0.4,
13,031,,0.5,0.38,0.16,0.5,
13,033,,,0.21,,0.38,
13,035,,,0.27,,0.42,
13,037,,,0.23,,0.39,
13,039,,0.4,0.34,0.21,0.41,
13,043,,,0.31,,0.37,
13,045,,0.41,0.31,0.31,0.44,
13,047,,0.3,0.45,0.33,0.49,
13,049,,,0.28,,0.36,
13,051,,0.48,0.31,0.33,0.5,
13,053,,,0.21,,0.36,
13,055,,,0.3,,0.38,
13,057,,0.47,0.42,0.32,0.48,
13,059,,0.52,0.39,0.39,0.6,
13,061,,,0.21,,0.46,
13,063,,0.48,0.31,0.27,0.5,
13,065,,,0.41,,0.37,
13,067,,0.51,0.38,0.33,0.52,
13,069,,0.51,0.3,0.19,0.39,
13,071,,0.27,0.25,0.19,0.33,
13,073,,0.53,0.34,0.32,0.49,
13,075,,,0.35,,0.32,
13,077,,0.35,0.36,0.35,0.45,
13,079,,,0.47,,0.43,
13,081,,,0.25,,0.43,
13,083,,,,,0.42,
13,085,,,,0.32,0.47,
13,087,,0.27,0.3,0.24,0.37,
13,089,,0.49,0.32,0.35,0.59,
13,091,,,0.29,,0.42,
13,093,,,0.29,,0.37,
13,095,,0.37,0.33,0.23,0.46,
13,097,,0.43,0.34,0.24,0.43,
13,099,,,0.28,,0.4,
13,101,,,,,0.4,
13,103,,0.5,0.31,0.2,0.39,
13,105,,,0.26,,0.33,
13,107,,,0.26,,0.34,
13,109,,,0.34,,0.46,
13,111,,,,,0.43,
13,113,,0.46,0.4,0.36,0.5,
13,115,,0.6,0.31,0.23,0.48,
13,117,,0.55,0.48,0.34,0.5,
13,119,,0.42,0.31,,0.5,
13,121,,0.53,0.34,0.38,0.6,
13,123,,,,0.32,0.45,
13,125,,,,,0.46,
13,127,,0.43,0.31,0.28,0.48,
13,129,,0.32,0.39,0.28,0.42,
13,131,,,0.38,,0.47,
13,133,,,0.32,0.2,0.53,
13,135,0.54,0.5,0.34,0.29,0.49,
13,137,,0.29,0.21,0.32,0.44,
13,139,,0.49,0.32,0.29,0.51,
13,141,,,0.28,,0.49,
13,143,,,0.32,,0.36,
13,145,,0.38,0.37,0.44,0.42,
13,147,,,0.4,,0.52,
13,149,,,0.33,,0.38,
13,151,,0.47,0.34,0.27,0.41,
13,153,,0.39,0.32,0.28,0.37,
13,155,,,0.33,,0.32,
13,157,,0.49,0.4,0.34,0.51,
13,159,,,0.43,,0.47,
13,161,,,0.29,,0.37,
13,163,,,0.2,,0.33,
13,165,,,0.19,,0.33,
13,167,,,0.38,,0.43,
13,169,,,0.36,,0.48,
13,171,,,0.4,,0.42,
13,173,,,0.25,,0.33,
13,175,,0.28,0.29,,0.47,
13,177,,0.26,0.36,,0.42,
13,179,,0.4,0.25,0.2,0.31,
13,181,,,0.42,,0.44,
13,183,,,0.21,0.33,0.32,
13,185,,0.36,0.3,0.3,0.41,
13,187,,,,0.31,0.49,
13,189,,,0.32,,0.49,
13,191,,,0.37,,0.41,
13,193,,,0.31,,0.39,
13,195,,0.2,0.43,0.28,0.49,
13,197,,,0.24,,0.33,
13,199,,,0.34,,0.38,
13,201,,,0.29,,0.39,
13,205,,,0.36,,0.4,
13,207,,,0.34,,0.44,
13,209,,,0.31,,0.41,
13,211,,,0.35,,0.47,
13,213,,,,0.28,0.46,
13,215,,0.32,0.29,0.29,0.44,
13,217,,0.46,0.37,0.31,0.48,
13,219,,0.62,0.45,0.34,0.55,
13,221,,,0.34,,0.51,
13,223,,0.4,0.33,0.3,0.43,
13,225,,0.25,0.32,0.3,0.36,
13,227,,,,0.4,0.49,
13,229,,,0.36,,0.41,
13,231,,,0.32,,0.38,
13,233,,,0.38,0.27,0.43,
13,235,,,0.34,,0.36,
13,237,,,0.35,0.55,0.51,
13,239,,,,,0.29,
13,241,,,,,0.44,
13,243,,,0.28,,0.41,
13,245,,0.44,0.3,0.28,0.46,
13,247,,0.46,0.39,0.31,0.49,
13,249,,,0.3,,0.43,
13,251,,,0.31,,0.38,
13,253,,,0.19,,0.39,
13,255,,0.28,0.35,0.29,0.44,
13,257,,0.31,0.33,0.44,0.49,
13,259,,,0.36,,0.3,
13,261,,,0.31,,0.48,
13,263,,,0.32,,0.37,
13,265,,,0.12,,0.41,
13,267,,,0.24,0.21,0.38,
13,269,,,0.3,,0.35,
13,271,,,0.22,,0.39,
13,273,,,0.24,,0.42,
13,275,,0.37,0.37,,0.51,
13,277,,0.39,0.25,0.15,0.33,
13,279,,0.54,0.28,0.25,0.39,
13,281,,,,,0.49,
13,283,,,0.26,,0.42,
13,285,,0.47,0.32,0.38,0.44,
13,287,,,0.17,,0.36,
13,289,,,0.36,,0.39,
13,291,,,,0.47,0.46,
13,293,,,0.35,,0.38,
13,295,,0.45,0.4,,0.45,
13,297,,0.43,0.35,0.33,0.45,
13,299,,0.64,0.36,0.23,0.43,
13,301,,,0.32,,0.48,
13,303,,,0.35,,0.47,
13,305,,,0.32,,0.43,
13,307,,,0.21,,0.39,
13,309,,,0.37,,0.36,
13,311,,,,0.36,0.46,
13,313,,0.56,0.4,0.28,0.48,
13,315,,,0.18,,0.33,
13,317,,,0.28,,0.42,
13,319,,,0.38,,0.41,
13,321,,,0.2,,0.34,
15,000,0.41,0.53,0.25,0.32,0.41,
15,001,,0.47,0.22,0.29,0.36,
15,003,0.37,0.56,0.26,0.33,0.46,
15,005,,,,,,
15,007,,0.48,0.32,0.31,0.39,
15,009,,0.42,0.17,0.32,0.38,
16,000,0.34,0.42,0.3,0.29,0.4,
16,001,0.53,0.44,0.33,0.35,0.48,
16,003,,,,,0.24,
16,005,0.41,0.43,0.4,0.37,0.45,
16,007,,,,,0.26,
16,009,0.17,,,,0.26,
16,011,0.34,0.29,,0.28,0.33,
16,013,,0.85,,0.38,0.58,
16,015,,,,,0.37,
16,017,0.19,0.29,,0.25,0.35,
16,019,0.5,0.49,0.35,0.28,0.47,
16,021,,,,,0.23,
16,023,,,,,0.26,
16,025,,,,,0.34,
16,027,0.33,0.46,0.23,0.27,0.4,
16,029,,,,,0.37,
16,031,,,,0.3,0.37,
16,033,,,,,0.36,
16,035,0.3,,,,0.36,
16,037,,,,,0.34,
16,039,,0.29,0.21,0.16,0.25,
16,041,,,,,0.36,
16,043,,,,0.25,0.39,
16,045,,,,0.28,0.29,
16,047,,,,0.23,0.29,
16,049,,,,0.25,0.16,
16,051,,,,0.22,0.37,
16,053,,,,0.3,0.38,
16,055,0.33,0.43,,0.28,0.4,
16,057,0.38,0.39,,0.43,0.46,
16,059,,,,,0.32,
16,061,0.26,,,,0.31,
16,063,,,,0.22,0.31,
16,065,,,,0.2,0.4,
16,067,,,,0.29,0.3,
16,069,0.34,0.31,,0.27,0.44,
16,071,,,,,0.28,
16,073,,,,0.24,0.3,
16,075,,,,0.2,0.35,
16,077,,,,0.37,0.44,
16,079,,,,,0.38,
16,081,,,,0.22,0.36,
16,083,,0.54,,0.33,0.46,
16,085,,,,,0.42,
16,087,,,,0.33,0.24,
17,000,0.49,0.56,0.38,0.42,0.53,
17,001,,0.31,0.31,0.21,0.36,
17,003,,,0.3,,0.42,
17,005,,,0.44,,0.44,
17,007,,0.73,0.44,0.37,0.5,
17,009,,,,,0.33,
17,011,,0.27,,0.4,0.44,
17,013,,,,,0.4,
17,015,,,,,0.48,
17,017,,,,0.15,0.43,
17,019,,0.51,0.36,0.41,0.52,
17,021,,,,,0.4,
17,023,,,,,0.42,
17,025,,,,,0.33,
17,027,,,0.29,,0.45,
17,029,,0.67,0.24,0.06,0.46,
17,031,0.52,0.57,0.38,0.43,0.57,
17,033,,,,,0.45,
17,035,,,,,0.4,
17,037,,0.68,0.37,0.36,0.56,
17,039,,,,,0.4,
17,041,,,,0.44,0.4,
17,043,,0.59,0.47,0.44,0.6,
17,045,,,,,0.34,
17,047,,,,,0.36,
17,049,,0.55,,,0.38,
17,051,,,,,0.4,
17,053,,,,,0.27,
17,055,,,,,0.38,
17,057,,,,,0.38,
17,059,,,,,0.34,
17,061,,,,,0.39,
17,063,,0.5,0.32,0.34,0.49,
17,065,,,,,0.33,
17,067,,,,,0.37,
17,069,,,,,0.2,
17,071,,,,,0.44,
17,073,,,,0.18,0.47,
17,075,,,0.27,0.39,0.4,
17,077,,0.46,0.29,0.31,0.46,
17,079,,,,,0.41,
17,081,,0.23,0.32,0.58,0.42,
17,083,,,,,0.45,
17,085,,,,,0.49,
17,087,,,,,0.41,
17,089,,0.56,0.44,0.4,0.58,
17,091,,0.67,0.36,0.3,0.51,
17,093,,0.65,0.4,0.44,0.56,
17,095,,,0.52,0.47,0.55,
17,097,,0.56,0.4,0.42,0.61,
17,099,,0.52,0.34,0.39,0.46,
17,101,,,,,0.46,
17,103,,,0.3,0.35,0.46,
17,105,,,0.31,0.31,0.52,
17,107,,,,,0.43,
17,109,,,0.32,,0.37,
17,111,,0.52,0.42,0.45,0.57,
17,113,,0.63,0.47,0.38,0.6,
17,115,,0.61,0.36,0.34,0.5,
17,117,,,0.43,,0.4,
17,119,,0.47,0.37,0.46,0.52,
17,121,,0.61,0.39,,0.45,
17,123,,,,,0.48,
17,125,,,,,0.42,
17,127,,,0.43,,0.44,
17,129,,,,,0.43,
17,131,,,,,0.48,
17,133,,,,,0.55,
17,135,,,,,0.42,
17,137,,,0.29,0.25,0.46,
17,139,,,,,0.44,
17,141,,,0.25,0.46,0.5,
17,143,,0.6,0.42,0.4,0.56,
17,145,,,0.3,,0.34,
17,147,,,,,0.47,
17,149,,,,,0.2,
17,151,,,,,0.32,
17,153,,,0.32,,0.42,
17,155,,,,,0.43,
17,157,,,0.22,,0.3,
17,159,,,,,0.49,
17,161,,0.56,0.39,0.43,0.55,
17,163,,0.46,0.34,0.44,0.48,
17,165,,,0.25,,0.29,
17,167,,0.52,0.38,0.44,0.55,
17,169,,,,,0.36,
17,171,,,,,0.4,
17,173,,,,,0.39,
17,175,,,,,0.39,
17,177,,0.5,0.4,0.22,0.5,
17,179,,0.51,0.45,0.45,0.56,
17,181,,,0.48,0.39,0.5,
17,183,,0.43,0.27,0.11,0.35,
17,185,,,,,0.42,
17,187,,,,0.38,0.36,
17,189,,,,,0.48,
17,191,,,,,0.36,
17,193,,,,,0.37,
17,195,,,0.3,0.44,0.48,
17,197,,0.51,0.38,0.37,0.52,
17,199,,0.53,0.36,0.5,0.42,
17,201,,0.51,0.37,0.35,0.53,
17,203,,,,,0.49,
18,000,0.43,0.51,0.37,0.36,0.52,
18,001,,,,0.51,0.41,
18,003,,0.48,0.36,0.31,0.55,
18,005,,0.68,0.54,0.4,0.6,
18,007,,,,,0.49,
18,009,,,,,0.39,
18,011,,0.62,0.54,,0.57,
18,013,,,,,0.52,
18,015,,,,,0.49,
18,017,,,0.32,0.17,0.42,
18,019,,0.52,0.44,0.14,0.52,
18,021,,,,,0.41,
18,023,,,,0.32,0.53,
18,025,,,,,0.4,
18,027,,,,,0.4,
18,029,,,,,0.55,
18,031,,,,,0.42,
18,033,,,,0.31,0.49,
18,035,,0.57,0.41,,0.56,
18,037,,,,0.14,0.52,
